year,gen_tech,BuildGen,text
2023,Hydro,12.391502000000001,12.39
2023,Thermal,5.8215,5.82
2023,Run of River,0.7820499999999999,
2023,Solar,0.75217,
2023,Wind,0.032,
2024,Hydro,12.391502001101655,12.39
2024,Thermal,5.8735,5.87
2024,Solar,2.2916700112627546,2.29
2024,Run of River,0.7820499999999999,
2024,Wind,0.032,
2024,Biomass,1.6544811601763942e-12,
2024,Geothermal,1.6457774763141582e-12,
2025,Hydro,12.391502001113507,12.39
2025,Thermal,5.8735,5.87
2025,Solar,2.401670012087504,2.40
2025,Run of River,0.7820499999999999,
2025,Wind,0.032,
2025,Biomass,1.4668263504113603e-10,
2025,Geothermal,1.466139580704287e-10,
2026,Hydro,13.591502001120856,13.59
2026,Thermal,5.8735,5.87
2026,Solar,2.6196700131425454,2.62
2026,Run of River,0.7820499999999999,
2026,Wind,0.032,
2026,Geothermal,5.05752014644251e-10,
2026,Biomass,5.05746926499963e-10,
2027,Hydro,13.591502001155652,13.59
2027,Thermal,5.8735,5.87
2027,Solar,2.7476700152761797,2.75
2027,Run of River,0.7820499999999999,
2027,Wind,0.6783775477772174,
2027,Geothermal,9.48840779637605e-10,
2027,Biomass,9.488334378185383e-10,
2028,Hydro,13.591502001446543,13.59
2028,Thermal,5.8735,5.87
2028,Solar,2.8756700174140684,2.88
2028,Wind,1.1283775477833964,1.13
2028,Run of River,0.7820499999999999,
2028,Geothermal,1.3940409987964609e-09,
2028,Biomass,1.394009838994314e-09,
2029,Hydro,13.59150200188374,13.59
2029,Thermal,5.8735,5.87
2029,Solar,2.9986700195626197,3.00
2029,Wind,1.6203775477905136,1.62
2029,Run of River,0.7820499999999999,
2029,Geothermal,1.8464227242927574e-09,
2029,Biomass,1.846328571184145e-09,
2030,Hydro,13.591502002351037,13.59
2030,Thermal,5.8735,5.87
2030,Solar,3.1076700217619884,3.11
2030,Wind,1.7548769385368412,1.75
2030,Run of River,0.7820499999999999,
2030,Geothermal,2.341577221483877e-09,
2030,Biomass,2.341375142457306e-09,
2031,Hydro,13.591502002767866,13.59
2031,Thermal,5.8735,5.87
2031,Solar,3.216670026537139,3.22
2031,Wind,2.3023725286259196,2.30
2031,Run of River,0.7820499999999999,
2031,Geothermal,3.274056482097839e-09,
2031,Biomass,3.273620647935751e-09,
2032,Hydro,13.59150200318771,13.59
2032,Thermal,5.8735,5.87
2032,Solar,3.3076700300636874,3.31
2032,Wind,2.7155310949119214,2.72
2032,Run of River,0.7820499999999999,
2032,Geothermal,0.03191148015130894,
2032,Biomass,0.03185793135039961,
2033,Hydro,13.591502003607351,13.59
2033,Thermal,5.8735,5.87
2033,Solar,3.386670031947974,3.39
2033,Wind,3.180840842096163,3.18
2033,Run of River,0.7820499999999999,
2033,Geothermal,0.03191148017839938,
2033,Biomass,0.03185793136931654,
2034,Hydro,13.591502004034856,13.59
2034,Thermal,5.8735,5.87
2034,Solar,3.4666700349006425,3.47
2034,Wind,3.226229223666653,3.23
2034,Run of River,0.7820499999999999,
2034,Biomass,0.09881104464552641,
2034,Geothermal,0.05584976513537438,
2035,Hydro,13.591502004451886,13.59
2035,Thermal,5.8735,5.87
2035,Solar,4.123201163954891,4.12
2035,Wind,3.5794898986703445,3.58
2035,Run of River,0.7820499999999999,
2035,Geothermal,0.15000000524143686,
2035,Biomass,0.10000000532383443,
