PERIOD,AnnualEmissions_tCO2_per_yr,AnnualEmissions_MtCO2_per_yr
2024,5.89,5.89
2025,5.13,5.13
2026,4.63,4.63
2027,3.96,3.96
2028,3.7,3.7
2029,3.63,3.63
2030,3.74,3.74
2031,2.89,2.89
2032,2.6,2.6
2033,2.59,2.59
2034,3.01,3.01
2035,2.8,2.8
