component,npv_cost
TotalGenFixedCosts,111505044417.6124
StorageEnergyFixedCost,0
TxFixedCosts,6312839656.504178
EmissionsCosts,0
GenVariableOMCostsInTP,2798343528.332681
FuelCostsPerTP,3683162558.407085
