GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
H_AutCemNare,2026,Hidro,Antioquia,Water,9,0,.,2.49723e+06,394020
H_Ayura,2023,Hidro,Antioquia,Water,16.7,0,.,4.63375e+06,731126
H_Ayura,2026,Hidro,Antioquia,Water,16.7,0,.,4.63375e+06,731126
H_Barrancas,2023,Hidro,Antioquia,Water,4.7,0,.,1.30411e+06,205766
H_Barrancas,2026,Hidro,Antioquia,Water,4.7,0,.,1.30411e+06,205766
H_Barroso,2023,Hidro,Antioquia,Water,19.9,0,.,2.25308e+06,871222
H_Barroso,2026,Hidro,Antioquia,Water,19.9,0,.,2.25308e+06,871222
H_Bayona,2023,Hidro,Surocciden,Water,0.6,0,.,166482,26268
H_Bayona,2026,Hidro,Surocciden,Water,0.6,0,.,166482,26268
H_Belmonte,2023,Hidro,Surocciden,Water,3.4,0,.,943398,148852
H_Belmonte,2026,Hidro,Surocciden,Water,3.4,0,.,943398,148852
H_CampestreC,2023,Hidro,Surocciden,Water,0.7,0,.,194229,30646
H_CampestreC,2026,Hidro,Surocciden,Water,0.7,0,.,194229,30646
H_Cantayus,2023,Hidro,Antioquia,Water,4.32,0,.,1.19867e+06,189130
H_Cantayus,2026,Hidro,Antioquia,Water,4.32,0,.,1.19867e+06,189130
H_Caracoli,2023,RunOfRiver,Antioquia,Water,3.75,0,.,1.04051e+06,164175
H_Caracoli,2026,RunOfRiver,Antioquia,Water,3.75,0,.,1.04051e+06,164175
H_Caruquia,2023,Hidro,Antioquia,Water,9.5,0,.,1.09184e+06,415910
H_Caruquia,2026,Hidro,Antioquia,Water,9.5,0,.,1.09184e+06,415910
H_Cascada,2023,Hidro,Nordeste,Water,3,0,.,832410,131340
H_Cascada,2026,Hidro,Nordeste,Water,3,0,.,832410,131340
H_CascadaAbe,2023,Hidro,Antioquia,Water,3,0,.,832410,131340
H_CascadaAbe,2026,Hidro,Antioquia,Water,3,0,.,832410,131340
H_CascadaAnt,2023,Hidro,Antioquia,Water,2.3,0,.,638181,100694
H_CascadaAnt,2026,Hidro,Antioquia,Water,2.3,0,.,638181,100694
H_CascadaGra,2023,Hidro,Antioquia,Water,2.09,0,.,579912,91500.2
H_CascadaGra,2026,Hidro,Antioquia,Water,2.09,0,.,579912,91500.2
H_Bello,2023,Hidro,Antioquia,Water,0.35,0,.,97114.5,15323
H_Bello,2026,Hidro,Antioquia,Water,0.35,0,.,97114.5,15323
H_Cauya,2023,Hidro,Surocciden,Water,1.51,0,.,418980,66107.8
H_Cauya,2026,Hidro,Surocciden,Water,1.51,0,.,418980,66107.8
H_Chorrera,2023,Hidro,Antioquia,Water,15,0,.,4.16205e+06,656700
H_Chorrera,2026,Hidro,Antioquia,Water,15,0,.,4.16205e+06,656700
H_PalmasSanGil,2023,Hidro,Nordeste,Water,15,0,.,4.16205e+06,656700
H_PalmasSanGil,2026,Hidro,Nordeste,Water,15,0,.,4.16205e+06,656700
H_Coconuco,2023,Hidro,Surocciden,Water,4.5,0,.,1.24862e+06,197010
H_Coconuco,2026,Hidro,Surocciden,Water,4.5,0,.,1.24862e+06,197010
H_Cocuyo,2023,Hidro,Surocciden,Water,0.7,0,.,194229,30646
H_Cocuyo,2026,Hidro,Surocciden,Water,0.7,0,.,194229,30646
H_Coello,2023,Hidro,Surocciden,Water,1.2,0,.,332964,52536
H_Coello,2026,Hidro,Surocciden,Water,1.2,0,.,332964,52536
H_Currucucue,2023,Hidro,Surocciden,Water,1.25,0,.,346838,54725
H_Currucucue,2026,Hidro,Surocciden,Water,1.25,0,.,346838,54725
H_ElBosque,2023,Hidro,Surocciden,Water,2.28,0,.,632632,99818.4
H_ElBosque,2026,Hidro,Surocciden,Water,2.28,0,.,632632,99818.4
H_ElEden,2023,Hidro,Surocciden,Water,19.9,0,.,5.52165e+06,871222
H_ElEden,2026,Hidro,Surocciden,Water,19.9,0,.,5.52165e+06,871222
H_ElLimonar,2023,Hidro,Oriental,Water,18,0,.,4.99446e+06,788040
H_ElLimonar,2026,Hidro,Oriental,Water,18,0,.,4.99446e+06,788040
H_LAGUNETA,2023,Hidro,Oriental,Water,18,0,.,4.99446e+06,788040
H_LAGUNETA,2026,Hidro,Oriental,Water,18,0,.,4.99446e+06,788040
H_ElMolino,2023,Hidro,Antioquia,Water,19.9,0,.,5.52165e+06,871222
H_ElMolino,2026,Hidro,Antioquia,Water,19.9,0,.,5.52165e+06,871222
H_ElPopal,2023,Hidro,Antioquia,Water,19.9,0,.,2.33009e+06,871222
H_ElPopal,2026,Hidro,Antioquia,Water,19.9,0,.,2.33009e+06,871222
H_Florida,2023,RunOfRiver,Surocciden,Water,19.9,0,.,5.52165e+06,871222
H_Florida,2026,RunOfRiver,Surocciden,Water,19.9,0,.,5.52165e+06,871222
H_Frisolera,2023,Hidro,Surocciden,Water,0.47,0,.,130411,20576.6
H_Frisolera,2026,Hidro,Surocciden,Water,0.47,0,.,130411,20576.6
H_Guacaica,2023,Hidro,Surocciden,Water,0.86,0,.,238624,37650.8
H_Guacaica,2026,Hidro,Surocciden,Water,0.86,0,.,238624,37650.8
H_Guanaquita,2023,Hidro,Antioquia,Water,9.5,0,.,1.12433e+06,415910
H_Guanaquita,2026,Hidro,Antioquia,Water,9.5,0,.,1.12433e+06,415910
H_Guaviomeno,2023,Hidro,Oriental,Water,9.9,0,.,2.74695e+06,433422
H_Guaviomeno,2026,Hidro,Oriental,Water,9.9,0,.,2.74695e+06,433422
H_Herradura,2023,RunOfRiver,Antioquia,Water,19.8,0,.,5.49391e+06,866844
H_Herradura,2026,RunOfRiver,Antioquia,Water,19.8,0,.,5.49391e+06,866844
H_Inza,2023,Hidro,Surocciden,Water,0.75,0,.,208103,32835
H_Inza,2026,Hidro,Surocciden,Water,0.75,0,.,208103,32835
H_IquiraI,2023,Hidro,Surocciden,Water,4.32,0,.,1.19867e+06,189130
H_IquiraI,2026,Hidro,Surocciden,Water,4.32,0,.,1.19867e+06,189130
H_IquiraII,2023,Hidro,Surocciden,Water,1.38,0,.,382909,60416.4
H_IquiraII,2026,Hidro,Surocciden,Water,1.38,0,.,382909,60416.4
H_JuanGarcia,2023,Hidro,Antioquia,Water,4.52,0,.,1.25416e+06,197886
H_JuanGarcia,2026,Hidro,Antioquia,Water,4.52,0,.,1.25416e+06,197886
H_La_Vuelta,2023,Hidro,Antioquia,Water,11.6,0,.,3.21865e+06,507848
H_La_Vuelta,2026,Hidro,Antioquia,Water,11.6,0,.,3.21865e+06,507848
H_LaPita,2023,Hidro,Surocciden,Water,1.42,0,.,394007,62167.6
H_LaPita,2026,Hidro,Surocciden,Water,1.42,0,.,394007,62167.6
H_LaRebusca,2023,Hidro,Antioquia,Water,0.7,0,.,194229,30646
H_LaRebusca,2026,Hidro,Antioquia,Water,0.7,0,.,194229,30646
H_LasPalmas,2023,Hidro,Antioquia,Water,2.8,0,.,776916,122584
H_LasPalmas,2026,Hidro,Antioquia,Water,2.8,0,.,776916,122584
H_Libertad,2023,Hidro,Nordeste,Water,1.2,0,.,332964,52536
H_Libertad,2026,Hidro,Nordeste,Water,1.2,0,.,332964,52536
H_LuzMaI,2023,Hidro,Antioquia,Water,19.6,0,.,5.43841e+06,858088
H_LuzMaI,2026,Hidro,Antioquia,Water,19.6,0,.,5.43841e+06,858088
H_LuzMaII,2023,Hidro,Antioquia,Water,19.6,0,.,5.43841e+06,858088
H_LuzMaII,2026,Hidro,Antioquia,Water,19.6,0,.,5.43841e+06,858088
H_Magallo,2023,Hidro,Antioquia,Water,5.7,0,.,1.58158e+06,249546
H_Magallo,2026,Hidro,Antioquia,Water,5.7,0,.,1.58158e+06,249546
H_Mirolindo,2023,Hidro,Surocciden,Water,3.75,0,.,1.04051e+06,164175
H_Mirolindo,2026,Hidro,Surocciden,Water,3.75,0,.,1.04051e+06,164175
H_Mondomo,2023,Hidro,Surocciden,Water,0.75,0,.,208103,32835
H_Mondomo,2026,Hidro,Surocciden,Water,0.75,0,.,208103,32835
H_Montanitas,2023,RunOfRiver,Antioquia,Water,19.9,0,.,2.41248e+06,871222
H_Montanitas,2026,RunOfRiver,Antioquia,Water,19.9,0,.,2.41248e+06,871222
H_MorroAzul,2023,Hidro,Surocciden,Water,19.9,0,.,2.41427e+06,871222
H_MorroAzul,2026,Hidro,Surocciden,Water,19.9,0,.,2.41427e+06,871222
H_Municipal,2023,Hidro,Surocciden,Water,1.4,0,.,388458,61292
H_Municipal,2026,Hidro,Surocciden,Water,1.4,0,.,388458,61292
H_Naveta,2023,Hidro,Oriental,Water,4.8,0,.,1.33186e+06,210144
H_Naveta,2026,Hidro,Oriental,Water,4.8,0,.,1.33186e+06,210144
H_Nima,2023,Hidro,Surocciden,Water,6.7,0,.,1.85905e+06,293326
H_Nima,2026,Hidro,Surocciden,Water,6.7,0,.,1.85905e+06,293326
H_Niquia,2023,Hidro,Antioquia,Water,19,0,.,5.27193e+06,831820
H_Niquia,2026,Hidro,Antioquia,Water,19,0,.,5.27193e+06,831820
H_Nuevoliba,2023,Hidro,Surocciden,Water,5.1,0,.,1.4151e+06,223278
H_Nuevoliba,2026,Hidro,Surocciden,Water,5.1,0,.,1.4151e+06,223278
H_Oibita,2023,Hidro,Nordeste,Water,19.9,0,.,5.52165e+06,871222
H_Oibita,2026,Hidro,Nordeste,Water,19.9,0,.,5.52165e+06,871222
H_Ovejas,2023,Hidro,Surocciden,Water,0.82,0,.,227525,35899.6
H_Ovejas,2026,Hidro,Surocciden,Water,0.82,0,.,227525,35899.6
H_Pajarito,2023,Hidro,Antioquia,Water,13.2,0,.,3.6626e+06,577896
H_Pajarito,2026,Hidro,Antioquia,Water,13.2,0,.,3.6626e+06,577896
H_Pastales,2023,Hidro,Surocciden,Water,0.7,0,.,194229,30646
H_Pastales,2026,Hidro,Surocciden,Water,0.7,0,.,194229,30646
H_PaticoCab,2023,Hidro,Surocciden,Water,1.48,0,.,410656,64794.4
H_PaticoCab,2026,Hidro,Surocciden,Water,1.48,0,.,410656,64794.4
H_Pocune,2023,Hidro,Antioquia,Water,1,0,.,277470,43780
H_Pocune,2026,Hidro,Antioquia,Water,1,0,.,277470,43780
H_Porce3Meno,2023,Hidro,Antioquia,Water,1.8,0,.,499446,78804
H_Porce3Meno,2026,Hidro,Antioquia,Water,1.8,0,.,499446,78804
H_ProvidencI,2023,Hidro,Caribe,Water,4.9,0,.,604611,214522
H_ProvidencI,2026,Hidro,Caribe,Water,4.9,0,.,604611,214522
H_Puente_Gui,2023,Hidro,Nordeste,Water,4.2,0,.,1.16537e+06,183876
H_Puente_Gui,2026,Hidro,Nordeste,Water,4.2,0,.,1.16537e+06,183876
H_Remedios,2023,Hidro,Antioquia,Water,0.75,0,.,208103,32835
H_Remedios,2026,Hidro,Antioquia,Water,0.75,0,.,208103,32835
H_Rio_Recio,2023,Hidro,Surocciden,Water,0.984,0,.,273030,43079.5
H_Rio_Recio,2026,Hidro,Surocciden,Water,0.984,0,.,273030,43079.5
H_RioBobo,2023,Hidro,Surocciden,Water,4,0,.,1.10988e+06,175120
H_RioBobo,2026,Hidro,Surocciden,Water,4,0,.,1.10988e+06,175120
H_RioCali,2023,Hidro,Surocciden,Water,1.8,0,.,499446,78804
H_RioCali,2026,Hidro,Surocciden,Water,1.8,0,.,499446,78804
H_RioFrioI,2023,Hidro,Surocciden,Water,1.67,0,.,463375,73112.6
H_RioFrioI,2026,Hidro,Surocciden,Water,1.67,0,.,463375,73112.6
H_RioFrioII,2023,RunOfRiver,Surocciden,Water,10,0,.,2.7747e+06,437800
H_RioFrioII,2026,RunOfRiver,Surocciden,Water,10,0,.,2.7747e+06,437800
H_RioFrioTam,2023,Hidro,Antioquia,Water,1,0,.,277470,43780
H_RioFrioTam,2026,Hidro,Antioquia,Water,1,0,.,277470,43780
H_RioGrande,2023,Hidro,Surocciden,Water,0.31,0,.,86015.7,13571.8
H_RioGrande,2026,Hidro,Surocciden,Water,0.31,0,.,86015.7,13571.8
H_RioMayo,2023,RunOfRiver,Surocciden,Water,19.8,0,.,5.49391e+06,866844
H_RioMayo,2026,RunOfRiver,Surocciden,Water,19.8,0,.,5.49391e+06,866844
H_RioMulato2,2023,Hidro,Antioquia,Water,7.34,0,.,2.03663e+06,321345
H_RioMulato2,2026,Hidro,Antioquia,Water,7.34,0,.,2.03663e+06,321345
H_RioNegro,2023,Hidro,Surocciden,Water,10.2,0,.,2.83019e+06,446556
H_RioNegro,2026,Hidro,Surocciden,Water,10.2,0,.,2.83019e+06,446556
H_RioPalo,2023,Hidro,Surocciden,Water,1.44,0,.,399557,63043.2
H_RioPalo,2026,Hidro,Surocciden,Water,1.44,0,.,399557,63043.2
H_RioPiedras,2023,RunOfRiver,Antioquia,Water,19.9,0,.,5.52165e+06,871222
H_RioPiedras,2026,RunOfRiver,Antioquia,Water,19.9,0,.,5.52165e+06,871222
H_RioSapuye,2023,Hidro,Surocciden,Water,1.65,0,.,457826,72237
H_RioSapuye,2026,Hidro,Surocciden,Water,1.65,0,.,457826,72237
H_Rumor,2023,Hidro,Surocciden,Water,2.5,0,.,693675,109450
H_Rumor,2026,Hidro,Surocciden,Water,2.5,0,.,693675,109450
H_Sajandi,2023,Hidro,Surocciden,Water,3.2,0,.,887904,140096
H_Sajandi,2026,Hidro,Surocciden,Water,3.2,0,.,887904,140096
H_SanAndres2,2023,Hidro,Antioquia,Water,19.9,0,.,5.52165e+06,871222
H_SanAndres2,2026,Hidro,Antioquia,Water,19.9,0,.,5.52165e+06,871222
H_SanCancio,2023,Hidro,Surocciden,Water,2,0,.,554940,87560
H_SanCancio,2026,Hidro,Surocciden,Water,2,0,.,554940,87560
H_SanJose,2023,Hidro,Surocciden,Water,0.38,0,.,105439,16636.4
H_SanJose,2026,Hidro,Surocciden,Water,0.38,0,.,105439,16636.4
