TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Antioquia,Caribe,175,1055.0
Antioquia,Caribe,176,1055.0
Antioquia,Caribe,177,1055.0
Antioquia,Caribe,178,1055.0
Antioquia,Caribe,179,1055.0
Antioquia,Caribe,180,1055.0
Antioquia,Caribe,181,1055.0
Antioquia,Caribe,182,1055.0
Antioquia,Caribe,183,1055.0
Antioquia,Caribe,184,1055.0
Antioquia,Caribe,185,1055.0
Antioquia,Caribe,186,1055.0
Antioquia,Caribe,187,1055.0
Antioquia,Caribe,188,1055.0
Antioquia,Caribe,189,1055.0
Antioquia,Caribe,190,1055.0
Antioquia,Caribe,191,1055.0
Antioquia,Caribe,192,1055.0
Antioquia,Caribe,385,1055.0
Antioquia,Caribe,386,1055.0
Antioquia,Caribe,387,1055.0
Antioquia,Caribe,388,1012.7085
Antioquia,Caribe,389,985.88194
Antioquia,Caribe,390,1011.7945
Antioquia,Caribe,391,1013.5168
Antioquia,Caribe,392,833.53447
Antioquia,Caribe,393,691.29025
Antioquia,Caribe,394,614.39105
Antioquia,Caribe,395,545.00659
Antioquia,Caribe,396,574.61251
Antioquia,Caribe,397,660.23492
Antioquia,Caribe,398,752.45025
Antioquia,Caribe,399,934.07839
Antioquia,Caribe,400,1055.0
Antioquia,Caribe,401,1055.0
Antioquia,Caribe,402,1055.0
Antioquia,Caribe,403,1055.0
Antioquia,Caribe,404,1055.0
Antioquia,Caribe,405,1055.0
Antioquia,Caribe,406,1055.0
Antioquia,Caribe,407,1055.0
Antioquia,Caribe,408,1055.0
Antioquia,Caribe,409,1055.0
Antioquia,Caribe,410,1055.0
Antioquia,Caribe,411,1055.0
Antioquia,Caribe,412,1007.6683
Antioquia,Caribe,413,964.18421
Antioquia,Caribe,414,1005.949
Antioquia,Caribe,415,1042.4224
Antioquia,Caribe,416,878.14753
Antioquia,Caribe,417,757.39718
Antioquia,Caribe,418,698.36431
Antioquia,Caribe,419,616.11085
Antioquia,Caribe,420,647.84012
Antioquia,Caribe,421,756.41444
Antioquia,Caribe,422,853.07072
Antioquia,Caribe,423,1043.5065
Antioquia,Caribe,424,1055.0
Antioquia,Caribe,425,1055.0
Antioquia,Caribe,426,1055.0
Antioquia,Caribe,427,1055.0
Antioquia,Caribe,428,1055.0
Antioquia,Caribe,429,1055.0
Antioquia,Caribe,430,1055.0
Antioquia,Caribe,431,1055.0
Antioquia,Caribe,432,1055.0
Antioquia,Caribe,433,1055.0
Antioquia,Caribe,434,1055.0
Antioquia,Caribe,435,1055.0
Antioquia,Caribe,436,1055.0
Antioquia,Caribe,437,1051.498
Antioquia,Caribe,438,1055.0
Antioquia,Caribe,439,1055.0
Antioquia,Caribe,440,960.67204
Antioquia,Caribe,441,880.5899
Antioquia,Caribe,442,812.35186
Antioquia,Caribe,443,755.24303
Antioquia,Caribe,444,789.4855
Antioquia,Caribe,445,891.30359
Antioquia,Caribe,446,978.29809
Antioquia,Caribe,447,1055.0
Antioquia,Caribe,448,1055.0
Antioquia,Caribe,449,1055.0
Antioquia,Caribe,450,1055.0
Antioquia,Caribe,451,1055.0
Antioquia,Caribe,452,1055.0
Antioquia,Caribe,453,1055.0
Antioquia,Caribe,454,1055.0
Antioquia,Caribe,455,1055.0
Antioquia,Caribe,456,1055.0
Antioquia,Caribe,457,1055.0
Antioquia,Caribe,458,1055.0
Antioquia,Caribe,459,1055.0
Antioquia,Caribe,460,1055.0
Antioquia,Caribe,461,1055.0
Antioquia,Caribe,462,1055.0
Antioquia,Caribe,463,1055.0
Antioquia,Caribe,464,1055.0
Antioquia,Caribe,465,992.74885
Antioquia,Caribe,466,924.5582
Antioquia,Caribe,467,863.79598
Antioquia,Caribe,468,911.54026
Antioquia,Caribe,469,1017.3523
Antioquia,Caribe,470,1055.0
Antioquia,Caribe,471,1055.0
Antioquia,Caribe,472,1055.0
Antioquia,Caribe,473,1055.0
Antioquia,Caribe,474,1055.0
Antioquia,Caribe,475,1055.0
Antioquia,Caribe,476,1055.0
Antioquia,Caribe,477,1055.0
Antioquia,Caribe,478,1055.0
Antioquia,Caribe,479,1055.0
Antioquia,Caribe,480,1055.0
Antioquia,Caribe,481,1055.0
Antioquia,Caribe,482,1055.0
Antioquia,Caribe,483,1055.0
Antioquia,Caribe,484,1055.0
Antioquia,Caribe,485,1055.0
Antioquia,Caribe,486,1055.0
Antioquia,Caribe,487,1055.0
Antioquia,Caribe,488,1020.6015
Antioquia,Caribe,489,996.39178
Antioquia,Caribe,490,983.0222
Antioquia,Caribe,491,957.63336
Antioquia,Caribe,492,994.1627
Antioquia,Caribe,493,1055.0
Antioquia,Caribe,494,1055.0
Antioquia,Caribe,495,1055.0
Antioquia,Caribe,496,1055.0
Antioquia,Caribe,497,1055.0
Antioquia,Caribe,498,1055.0
Antioquia,Caribe,499,1055.0
Antioquia,Caribe,500,1055.0
Antioquia,Caribe,501,1055.0
Antioquia,Caribe,502,1055.0
Antioquia,Caribe,503,1055.0
