gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Thermal,Antioquia,ACPM,2024,264.4609211085972,2459486.566309953,129312.50453515475,433.0,54791821.79232248,62014260.0,450.9761512539605,0.06972194657339079,0.0,0.0
Thermal,Antioquia,ACPM,2025,266.08161089064384,2474558.981282988,130104.9673833989,433.0,54791821.79232248,62014260.0,448.2859239101206,0.07014922197545102,0.0,0.0
Thermal,Antioquia,ACPM,2026,263.2981599026218,2448672.887094383,128743.95337420936,433.0,54791821.79232248,62014260.0,452.9266544191651,0.06941539854224582,0.0,0.0
Thermal,Antioquia,ACPM,2027,264.11442849606743,2456264.1850134274,129143.0812897795,433.0,54791821.79232248,62014260.0,451.5555876914604,0.06963059795629603,0.0,0.0
Thermal,Antioquia,ACPM,2028,263.56198594974956,2451126.469332671,128872.9554466996,433.0,54791821.79232248,62014260.0,452.4825832978532,0.06948495311191683,0.0,0.0
Thermal,Antioquia,ACPM,2029,264.74995088443694,2462174.5432252632,129453.83038413993,433.0,54791821.79232248,62014260.0,450.4939696385749,0.06979814580352561,0.0,0.0
Thermal,Antioquia,ACPM,2030,265.83156318106495,2472233.537583904,129982.70245501786,433.0,54791821.79232248,62014260.0,448.69884487216723,0.07008329989904376,0.0,0.0
Thermal,Antioquia,ACPM,2031,266.31720004737826,2476749.960440618,130220.16256524637,433.0,54791821.79232248,62014260.0,447.897588783385,0.07021133222799894,0.0,0.0
Thermal,Antioquia,ACPM,2032,266.9374589817137,2482518.368529937,130523.44834343619,433.0,54791821.79232248,62014260.0,446.87845840708394,0.07037485604883463,0.0,0.0
Thermal,Antioquia,ACPM,2033,267.2138949324301,2485089.2228716,130658.6162350886,433.0,54791821.79232248,62014260.0,446.4257782903057,0.0704477350681847,0.0,0.0
Thermal,Antioquia,ACPM,2034,266.66719966895175,2480004.9569212515,130391.30062020852,433.0,54791821.79232248,62014260.0,447.32193122112085,0.0703036054259208,0.0,0.0
Thermal,Antioquia,ACPM,2035,268.3647601235789,2495792.269149284,131221.35064448992,433.0,54791821.79232248,62014260.0,444.5511922151576,0.07075114685785136,0.0,0.0
Thermal,Antioquia,CARBON,2023,1242.0719835976086,10422360.191677704,0.0,6.5,1799460.058863031,930930.0,10.58936231090597,21.813698342072502,0.0,0.0
Thermal,Antioquia,CARBON,2024,725.0333096355769,6083832.8243254665,0.0,6.5,1799460.058863031,930930.0,12.156990259687221,12.73328608422158,0.0,0.0
Thermal,Antioquia,CARBON,2025,734.3020085683855,6161607.478340403,0.0,6.5,1799460.058863031,930930.0,12.109455555677298,12.89606618490315,0.0,0.0
Thermal,Antioquia,CARBON,2026,724.1707640854404,6076595.111436063,0.0,6.5,1799460.058863031,930930.0,12.16147572792653,12.71813776054514,0.0,0.0
Thermal,Antioquia,CARBON,2027,727.5322757217605,6104801.918710442,0.0,6.5,1799460.058863031,930930.0,12.144055009529817,12.777173792092734,0.0,0.0
Thermal,Antioquia,CARBON,2028,729.5690192918004,6121892.454029944,0.0,6.5,1799460.058863031,930930.0,12.133577877917528,12.812943788054096,0.0,0.0
Thermal,Antioquia,CARBON,2029,729.2058260199278,6118844.860050982,0.0,6.5,1799460.058863031,930930.0,12.135441878205977,12.806565262028936,0.0,0.0
Thermal,Antioquia,CARBON,2030,730.4486683307746,6129273.684141824,0.0,6.5,1799460.058863031,930930.0,12.129070976679317,12.828392489124944,0.0,0.0
Thermal,Antioquia,CARBON,2031,731.2590312030753,6136073.52654437,0.0,6.5,1799460.058863031,930930.0,12.124928660122253,12.842624362540835,0.0,0.0
Thermal,Antioquia,CARBON,2032,732.6734766306121,6147942.290925125,0.0,6.5,1799460.058863031,930930.0,12.117720421131466,12.86746534300337,0.0,0.0
Thermal,Antioquia,CARBON,2033,734.5112226265196,6163363.016102972,0.0,6.5,1799460.058863031,930930.0,12.108396442416579,12.899740474649095,0.0,0.0
Thermal,Antioquia,CARBON,2034,735.9129353771166,6175124.939216055,0.0,6.5,1799460.058863031,930930.0,12.101316025265243,12.924357839429511,0.0,0.0
Thermal,Antioquia,CARBON,2035,735.419985789704,6170988.545976212,0.0,6.5,1799460.058863031,930930.0,12.103802965431814,12.915700488052405,0.0,0.0
Thermal,Antioquia,GASNACIO,2023,242.3505037711431,1694030.0213602902,105409.86691425114,272.0,34296481.12188921,38955840.0,309.2477629591518,0.1017117008171934,0.0,0.0
Thermal,Antioquia,GASNACIO,2024,278.22643135135127,1944802.7551459456,121014.02986340752,272.0,34296481.12188921,38955840.0,270.27311356365834,0.11676841229827727,0.0,0.0
Thermal,Antioquia,GASNACIO,2025,279.3487783671612,1952647.9607864567,121502.19245324002,272.0,34296481.12188921,38955840.0,269.2153139965776,0.1172394483477543,0.0,0.0
Thermal,Antioquia,GASNACIO,2026,276.95487399665814,1935914.5692366406,120460.96853509845,272.0,34296481.12188921,38955840.0,271.4819010263495,0.11623475439693211,0.0,0.0
Thermal,Antioquia,GASNACIO,2027,277.5044905969375,1939756.3892725934,120700.02317615677,272.0,34296481.12188921,38955840.0,270.95805674861975,0.11646542212133085,0.0,0.0
Thermal,Antioquia,GASNACIO,2028,276.9198936482604,1935670.0566013404,120445.75390252355,272.0,34296481.12188921,38955840.0,271.51531147846396,0.11622007354966608,0.0,0.0
Thermal,Antioquia,GASNACIO,2029,277.9037945174013,1942547.5236766352,120873.69961775465,272.0,34296481.12188921,38955840.0,270.57877628532134,0.11663300535413362,0.0,0.0
Thermal,Antioquia,GASNACIO,2030,278.77474499876934,1948635.4675413978,121252.5177877247,272.0,34296481.12188921,38955840.0,269.75526993940065,0.11699853318844398,0.0,0.0
Thermal,Antioquia,GASNACIO,2031,279.1228613690565,1951068.8009697055,121403.9303067484,272.0,34296481.12188921,38955840.0,269.42755442530705,0.11714463359901979,0.0,0.0
Thermal,Antioquia,GASNACIO,2032,279.5788842315577,1954256.4007785884,121602.27653874754,272.0,34296481.12188921,38955840.0,268.9994908928061,0.11733602111517831,0.0,0.0
Thermal,Antioquia,GASNACIO,2033,279.71626492197754,1955216.6918046228,121662.02999528425,272.0,34296481.12188921,38955840.0,268.8708067608145,0.11739367820053447,0.0,0.0
Thermal,Antioquia,GASNACIO,2034,279.23229719704256,1951833.7574073279,121451.52920125928,272.0,34296481.12188921,38955840.0,269.3247007391416,0.11719056254912139,0.0,0.0
Thermal,Antioquia,GASNACIO,2035,280.72896823624336,1962295.4879713412,122102.50327641758,272.0,34296481.12188921,38955840.0,267.9260964139788,0.1178186980577841,0.0,0.0
Thermal,Caribe,ACPM,2023,57.482972840304924,534591.6474148359,36272.905521689216,88.0,11127600.364000458,12603360.0,422.1346046041862,0.0745679909198642,0.0,0.0
Thermal,Caribe,ACPM,2024,167.03777323101835,1553451.2910484707,105404.1756642372,88.0,11127600.364000458,12603360.0,151.36942480716513,0.21668453356037035,0.0,0.0
Thermal,Caribe,ACPM,2025,167.26149905826043,1555531.9412418222,105545.3511357435,88.0,11127600.364000458,12603360.0,151.17939542341722,0.2169747549012303,0.0,0.0
Thermal,Caribe,ACPM,2026,167.45900169635522,1557368.7157761035,105669.97925043407,88.0,11127600.364000458,12603360.0,151.01206160078866,0.21723095902910333,0.0,0.0
Thermal,Caribe,ACPM,2027,167.57633730811074,1558459.9369654302,105744.02036816406,88.0,11127600.364000458,12603360.0,150.91283594812091,0.2173831689862374,0.0,0.0
Thermal,Caribe,ACPM,2028,168.0096163544955,1562489.4320968085,106017.42811201377,88.0,11127600.364000458,12603360.0,150.5476314089594,0.21794522669481048,0.0,0.0
Thermal,Caribe,ACPM,2029,167.538065258601,1558104.0069049892,105719.86993948239,88.0,11127600.364000458,12603360.0,150.94518569180607,0.21733352176551596,0.0,0.0
Thermal,Caribe,ACPM,2030,167.36191206885252,1556465.7822403286,105608.7137536873,88.0,11127600.364000458,12603360.0,151.09427129296637,0.21710501254261685,0.0,0.0
Thermal,Caribe,ACPM,2031,167.34252413242453,1556285.4744315483,105596.47957804252,88.0,11127600.364000458,12603360.0,151.11069926506693,0.21707986214770714,0.0,0.0
Thermal,Caribe,ACPM,2032,167.35115083118083,1556365.7027299819,105601.92319749173,88.0,11127600.364000458,12603360.0,151.10338913796647,0.21709105286319633,0.0,0.0
Thermal,Caribe,ACPM,2033,167.53633965030497,1558087.9587478363,105718.78104613544,88.0,11127600.364000458,12603360.0,150.94664462368934,0.21733128327405682,0.0,0.0
Thermal,Caribe,ACPM,2034,167.89379184851606,1561412.2641911996,105944.34053225062,88.0,11127600.364000458,12603360.0,150.64507358921267,0.21779497697244193,0.0,0.0
