,timestamp,Values_Type,GeneReal
90,2023_Q1_holidays_4h,COGENERADOR,105257.18923076923
91,2023_Q1_holidays_4h,EOLICA,18192.33923076923
92,2023_Q1_holidays_4h,HIDRAULICA,5842998.582307692
93,2023_Q1_holidays_4h,SOLAR,0.0
94,2023_Q1_holidays_4h,TERMICA,1281154.7684615385
95,2023_Q1_holidays_5h,COGENERADOR,101707.33461538462
96,2023_Q1_holidays_5h,EOLICA,17712.73846153846
97,2023_Q1_holidays_5h,HIDRAULICA,5807230.932307692
98,2023_Q1_holidays_5h,SOLAR,0.0
99,2023_Q1_holidays_5h,TERMICA,1233853.8523076924
100,2023_Q1_holidays_6h,COGENERADOR,100346.36538461539
101,2023_Q1_holidays_6h,EOLICA,16250.666923076924
102,2023_Q1_holidays_6h,HIDRAULICA,5776403.989230769
103,2023_Q1_holidays_6h,SOLAR,30.633846153846154
104,2023_Q1_holidays_6h,TERMICA,1201536.8907692307
105,2023_Q1_holidays_7h,COGENERADOR,99412.53153846154
106,2023_Q1_holidays_7h,EOLICA,14058.55076923077
107,2023_Q1_holidays_7h,HIDRAULICA,5606667.970769231
108,2023_Q1_holidays_7h,SOLAR,17616.60923076923
109,2023_Q1_holidays_7h,TERMICA,1123236.9784615384
110,2023_Q1_holidays_8h,COGENERADOR,100861.03
111,2023_Q1_holidays_8h,EOLICA,13636.209230769231
112,2023_Q1_holidays_8h,HIDRAULICA,5697074.138461539
113,2023_Q1_holidays_8h,SOLAR,108487.02
114,2023_Q1_holidays_8h,TERMICA,1143178.5476923077
115,2023_Q1_holidays_9h,COGENERADOR,100050.26307692307
116,2023_Q1_holidays_9h,EOLICA,17331.384615384617
117,2023_Q1_holidays_9h,HIDRAULICA,5978853.66
118,2023_Q1_holidays_9h,SOLAR,189822.79
119,2023_Q1_holidays_9h,TERMICA,1171990.3992307691
120,2023_Q1_labor_0h,COGENERADOR,106074.56935064936
121,2023_Q1_labor_0h,EOLICA,21928.22974025974
122,2023_Q1_labor_0h,HIDRAULICA,6966895.811948052
123,2023_Q1_labor_0h,SOLAR,0.016753246753246753
124,2023_Q1_labor_0h,TERMICA,1499314.782077922
125,2023_Q1_labor_10h,COGENERADOR,99354.63935064935
126,2023_Q1_labor_10h,EOLICA,19168.037402597405
127,2023_Q1_labor_10h,HIDRAULICA,7670990.523246753
128,2023_Q1_labor_10h,SOLAR,243176.32012987012
129,2023_Q1_labor_10h,TERMICA,1442358.29
130,2023_Q1_labor_11h,COGENERADOR,97921.31155844156
131,2023_Q1_labor_11h,EOLICA,20669.737792207794
132,2023_Q1_labor_11h,HIDRAULICA,7953249.152987013
133,2023_Q1_labor_11h,SOLAR,262800.58207792207
134,2023_Q1_labor_11h,TERMICA,1471604.5483116882
135,2023_Q1_labor_12h,COGENERADOR,98104.20012987014
136,2023_Q1_labor_12h,EOLICA,22083.99194805195
137,2023_Q1_labor_12h,HIDRAULICA,8187346.466233766
138,2023_Q1_labor_12h,SOLAR,270546.6641558442
