timestamp,Tech,GeneReal
2023_Q1_holidays_9h,Hydro,1859.2523433333333
2023_Q1_holidays_9h,Run of River,200.548315
2023_Q1_holidays_9h,Solar,94.911395
2023_Q1_holidays_9h,Thermal,262.48458111111114
2023_Q1_holidays_9h,Wind,18.775666666666666
2023_Q1_labor_0h,Hydro,2199.5874366233766
2023_Q1_labor_0h,Run of River,185.2698016993464
2023_Q1_labor_0h,Solar,0.000645
2023_Q1_labor_0h,Thermal,321.91401057291665
2023_Q1_labor_0h,Wind,21.92822974025974
2023_Q1_labor_10h,Hydro,2422.2869137662337
2023_Q1_labor_10h,Run of River,206.0794252317881
2023_Q1_labor_10h,Solar,121.58816006493505
2023_Q1_labor_10h,Thermal,312.39972515789475
2023_Q1_labor_10h,Wind,19.42024842105263
2023_Q1_labor_11h,Hydro,2517.6604849350647
2023_Q1_labor_11h,Run of River,206.8497500671141
2023_Q1_labor_11h,Solar,131.40029103896106
2023_Q1_labor_11h,Thermal,317.20076433070864
2023_Q1_labor_11h,Wind,20.94170802631579
2023_Q1_labor_12h,Hydro,2594.5313970129873
2023_Q1_labor_12h,Run of River,204.53240256578945
2023_Q1_labor_12h,Solar,135.27333207792208
2023_Q1_labor_12h,Thermal,322.3212497382199
2023_Q1_labor_12h,Wind,22.374570789473683
2023_Q1_labor_13h,Hydro,2583.8647653246753
2023_Q1_labor_13h,Run of River,187.42485694805194
2023_Q1_labor_13h,Solar,134.3721046103896
2023_Q1_labor_13h,Thermal,325.89398864229764
2023_Q1_labor_13h,Wind,23.75101592105263
2023_Q1_labor_14h,Hydro,2600.9110990476192
2023_Q1_labor_14h,Run of River,173.5622337254902
2023_Q1_labor_14h,Solar,129.06309922077924
2023_Q1_labor_14h,Thermal,329.5362329581152
2023_Q1_labor_14h,Wind,25.247731184210526
2023_Q1_labor_15h,Hydro,2637.5176412121214
2023_Q1_labor_15h,Run of River,175.9688742
2023_Q1_labor_15h,Solar,119.72760181818182
2023_Q1_labor_15h,Thermal,332.84360309711286
2023_Q1_labor_15h,Wind,25.824113466666667
2023_Q1_labor_16h,Hydro,2639.270942857143
2023_Q1_labor_16h,Run of River,173.6741634640523
2023_Q1_labor_16h,Solar,101.9005011764706
2023_Q1_labor_16h,Thermal,335.0430437007874
2023_Q1_labor_16h,Wind,26.0896644
2023_Q1_labor_17h,Hydro,2602.6955065367965
2023_Q1_labor_17h,Run of River,179.2658153896104
2023_Q1_labor_17h,Solar,64.90123837837838
2023_Q1_labor_17h,Thermal,335.57998320209975
2023_Q1_labor_17h,Wind,26.02258434210526
2023_Q1_labor_18h,Hydro,2564.0277687445887
2023_Q1_labor_18h,Run of River,185.66581844155843
2023_Q1_labor_18h,Solar,14.140560088495576
2023_Q1_labor_18h,Thermal,336.8053271315789
2023_Q1_labor_18h,Wind,26.106335789473682
2023_Q1_labor_19h,Hydro,2719.1182290043294
2023_Q1_labor_19h,Run of River,203.27150662337664
2023_Q1_labor_19h,Solar,0.0224646511627907
2023_Q1_labor_19h,Thermal,342.00539856396864
2023_Q1_labor_19h,Wind,25.701163289473683
2023_Q1_labor_1h,Hydro,2080.71618995671
2023_Q1_labor_1h,Run of River,168.36475307189542
2023_Q1_labor_1h,Solar,0.0012699999999999999
2023_Q1_labor_1h,Thermal,304.4823162597403
2023_Q1_labor_1h,Wind,20.540196103896104
2023_Q1_labor_20h,Hydro,2750.9289304329004
2023_Q1_labor_20h,Run of River,209.3661487012987
2023_Q1_labor_20h,Solar,4e-05
2023_Q1_labor_20h,Thermal,344.77485489583336
2023_Q1_labor_20h,Wind,24.303351818181817
2023_Q1_labor_21h,Hydro,2665.21538995671
2023_Q1_labor_21h,Run of River,208.126287012987
2023_Q1_labor_21h,Solar,3.0000000000000004e-05
2023_Q1_labor_21h,Thermal,345.1287154947917
2023_Q1_labor_21h,Wind,23.228203896103896
2023_Q1_labor_22h,Hydro,2536.619384718615
2023_Q1_labor_22h,Run of River,204.99558292207794
2023_Q1_labor_22h,Thermal,338.83918180156655
2023_Q1_labor_22h,Wind,22.79565974025974
2023_Q1_labor_23h,Hydro,2358.5525787012984
2023_Q1_labor_23h,Run of River,196.36513136363638
2023_Q1_labor_23h,Thermal,330.8119015104167
2023_Q1_labor_23h,Wind,22.503550909090908
2023_Q1_labor_2h,Hydro,2005.9208888311687
2023_Q1_labor_2h,Run of River,166.38117013071894
2023_Q1_labor_2h,Solar,0.0008449999999999999
2023_Q1_labor_2h,Thermal,296.6776388250653
2023_Q1_labor_2h,Wind,19.9055512987013
2023_Q1_labor_3h,Hydro,1953.618782987013
2023_Q1_labor_3h,Run of River,166.43664777777778
2023_Q1_labor_3h,Solar,0.0012249999999999997
2023_Q1_labor_3h,Thermal,289.11938183246076
2023_Q1_labor_3h,Wind,19.210129090909092
2023_Q1_labor_4h,Hydro,1927.61924004329
2023_Q1_labor_4h,Run of River,166.9328677272727
2023_Q1_labor_4h,Solar,0.0008900000000000001
2023_Q1_labor_4h,Thermal,287.5871376923077
