component,npv_cost
TotalGenFixedCosts,48882501075.45872
StorageEnergyFixedCost,0
TxFixedCosts,3177255448.303281
EmissionsCosts,0
GenVariableOMCostsInTP,2922417760.999357
FuelCostsPerTP,9101057240.901073
