load_zone,fuel,period,fuel_cost
Antioquia,ACPM,2032,5.4009
Oriental,ACPM,2032,5.433
Caribe,GASIMPOR,2033,11.02450789
Caribe,GASNACIO,2033,7.515938226
Nordeste,GASNACIO,2033,4.435780959
Antioquia,GASNACIO,2033,7.515938226
Caribe,CARBON,2033,3.945212869
Surocciden,CARBON,2033,2.390404299
Oriental,CARBON,2033,2.493673116
Antioquia,CARBON,2033,2.596262404
Nordeste,CARBON,2033,2.390404299
Caribe,COMBUSTOLEO,2033,11.45496011
Surocciden,ACPM,2033,5.625
Caribe,ACPM,2033,5.515
Antioquia,ACPM,2033,5.2009
Oriental,ACPM,2033,5.233
Caribe,GASIMPOR,2034,11.01019436
Caribe,GASNACIO,2034,7.507724351
Nordeste,GASNACIO,2034,4.429286785
Antioquia,GASNACIO,2034,7.507724351
Caribe,CARBON,2034,3.969336837
Surocciden,CARBON,2034,2.40502101
Oriental,CARBON,2034,2.50892129
Antioquia,CARBON,2034,2.612137885
Nordeste,CARBON,2034,2.40502101
Caribe,COMBUSTOLEO,2034,11.35404088
Surocciden,ACPM,2034,5.425
Caribe,ACPM,2034,5.315
Antioquia,ACPM,2034,5.0009
Oriental,ACPM,2034,5.033
Caribe,GASIMPOR,2035,10.95382675
Caribe,GASNACIO,2035,7.475377566
Nordeste,GASNACIO,2035,4.403712298
Antioquia,GASNACIO,2035,7.475377566
Caribe,CARBON,2035,4.035975654
Surocciden,CARBON,2035,2.445397466
Oriental,CARBON,2035,2.551042066
Antioquia,CARBON,2035,2.655991502
Nordeste,CARBON,2035,2.445397466
Caribe,COMBUSTOLEO,2035,11.26643432
Surocciden,ACPM,2035,5.225
Caribe,ACPM,2035,5.115
Antioquia,ACPM,2035,4.8009
Oriental,ACPM,2035,4.833
