GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
H_CascadaGra,2023,3083000,43780,.
H_Bello,1997,3083000,43780,.
H_Remedios,2007,3083000,43780,.
H_RioGrande,2007,3083000,43780,.
H_Urrao,2007,3083000,43780,.
H_Inza,2009,3083000,43780,.
H_Amaime,2010,1246000,43780,.
H_Caruquia,2010,1277000,43780,.
H_Currucucue,2010,3083000,43780,.
H_Guanaquita,2010,1315000,43780,.
H_SantaRita,2010,3083000,43780,.
H_Santiago,2010,3083000,43780,.
H_Barroso,2012,1258000,43780,.
H_Montanitas,2012,1347000,43780,.
H_SFrancisPu,2012,3083000,43780,.
H_TuluaAlto,2012,1415000,43780,.
AMOYA,2013,1247000,43780,.
H_Suba,2013,3083000,43780,.
H_Usaquen,2013,3083000,43780,.
H_AutGold,2022,3083000,43780,.
H_ElPopal,2014,1301000,43780,.
SOGAMOSO,2014,1388000,43780,.
C_LLERAS_R,2015,1262000,43780,.
CUCUANA,2015,1292000,43780,.
SNMIGUEL,2015,1387000,43780,.
H_Alejandria,2016,1244000,43780,.
S_SolBolivar,2018,1327000,15970,.
S_Yumbo,2017,1327000,15970,.
ESCUELAMINAS,2019,3083000,43780,.
S_Cabelleros,2021,1327000,15970,.
S_Montelibano,2022,1327000,15970,.
S_Lanceros,2023,1327000,15970,.
S_SanFelipe,2023,1327000,15970,.
S_Cienaguero,2023,1327000,15970,.
S_Yuma,2023,1327000,15970,.
S_Tucanes,2022,1327000,15970,.
S_Paila,2021,1327000,15970,.
S_Aurora,2022,1327000,15970,.
S_Cerrito,2021,1327000,15970,.
S_Medin,2021,1327000,15970,.
S_Sierpe,2021,1327000,15970,.
S_Victoria_I,2023,1327000,15970,.
S_Victoria_II,2023,1327000,15970,.
S_Flandes,2023,1327000,15970,.
S_BSLI,2020,1327000,15970,.
S_BSLII,2021,1327000,15970,.
S_BSLIII,2020,1327000,15970,.
S_TierraLind,2023,1327000,15970,.
S_Tolua,2023,1327000,15970,.
ITUANGO,2022,3083000,43780,.
H_PAGUA,1986,1317000,43780,.
H_GUATRON,1966,1259000,43780,.
H_ALBAN,2000,1363000,43780,.
S_Dulima,2023,1327000,15970,.
S_Cauca,2022,1327000,15970,.
S_Ferch2,2022,1327000,15970,.
S_Salado,2023,1327000,15970,.
S_AutJeans,2023,1327000,15970,.
S_AutPintuco,2023,1327000,15970,.
S_Palmira3,2023,1327000,15970,.
S_Belmonte,2021,1327000,15970,.
S_Termotasajero,2022,1327000,15970,.
S_Espinal,2020,1327000,15970,.
S_Girasoles,2023,1327000,15970,.
S_PortonSol,2023,1327000,15970,.
S_Since,2022,1327000,15970,.
S_HeliosI,2022,1327000,15970,.
E_Jepirachi,2004,1718000,27570,.
E_Wesp01,2022,1718000,27570,.
E_GuajiraI,2023,1718000,27570,.
S_Fundacion,2023,1327000,15970,.
S_PetaCesaII,2023,1327000,15970,.
S_BayuncaI,2020,1327000,15970,.
S_Palmira3_Franca,2023,1327000,15970,.
S_SalvadorI,2023,1327000,15970,.
S_SalvadorII,2023,1327000,15970,.
