component,npv_cost
TotalGenFixedCosts,90458343945.46933
StorageEnergyFixedCost,0
TxFixedCosts,1.650915139929042e+16
EmissionsCosts,0
GenVariableOMCostsInTP,2236440849.28618
FuelCostsPerTP,4129918289.166952
