component,npv_cost
TotalGenFixedCosts,55198256825.46924
StorageEnergyFixedCost,0
TxFixedCosts,3132638528.918758
EmissionsCosts,0
GenVariableOMCostsInTP,1612163119.769407
FuelCostsPerTP,1898189280.858664
