PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2023,5407889888.071222,5597166034.153728,70.36057534404625,79549747.94883263
2024,5229174989.444271,5601622978.0674515,68.23679570838691,82090944.04148526
2025,5122379179.556289,5679273358.901904,67.46069588856795,84186403.4175243
2026,5060571684.47293,5807122404.244299,66.96253584892237,86721960.72959433
2027,4945323726.782407,5873493267.290044,65.75563914682932,89323035.15710345
2028,4840653996.866627,5950399708.639179,64.68361417361709,91992381.45023452
2029,4730241430.081397,6018188079.371874,63.50875147433037,94761555.52836475
2030,4645206382.969961,6116849743.654941,62.669006392920515,97605660.2095089
2031,4556059643.70471,6209441629.686749,61.77137146821464,100522968.52243127
2032,4462875550.867605,6295326720.860162,60.78863167302956,103560921.63287243
2033,4365268027.531288,6373159127.844167,59.756166370291695,106652744.22645424
2034,4283463341.266375,6472607199.87975,58.922649326826125,109849222.22315827
2035,4192139913.4009633,6556322623.413175,57.94350729587759,113150254.95323488
