timestamp,Zone,demand_mw,Date
Q1_0h,Antioquia,1026.5792307692307,2023-02-26 00:00:00
Q1_0h,Caribe,2257.253846153846,2023-02-26 00:00:00
Q1_0h,Nordeste,904.4769230769232,2023-02-26 00:00:00
Q1_0h,Oriental,2024.352307692308,2023-02-26 00:00:00
Q1_0h,Suroccidente,1703.0830769230768,2023-02-26 00:00:00
Q1_1h,Suroccidente,1664.0484615384617,2023-02-26 01:00:00
Q1_1h,Oriental,1977.9515384615383,2023-02-26 01:00:00
Q1_1h,Nordeste,883.7469230769232,2023-02-26 01:00:00
Q1_1h,Caribe,2205.5146153846154,2023-02-26 01:00:00
Q1_1h,Antioquia,1003.0469230769231,2023-02-26 01:00:00
Q1_2h,Oriental,1912.190769230769,2023-02-26 02:00:00
Q1_2h,Nordeste,854.3630769230768,2023-02-26 02:00:00
Q1_2h,Caribe,2132.1876923076925,2023-02-26 02:00:00
Q1_2h,Antioquia,969.7,2023-02-26 02:00:00
Q1_2h,Suroccidente,1608.720769230769,2023-02-26 02:00:00
Q1_3h,Antioquia,942.2784615384616,2023-02-26 03:00:00
Q1_3h,Caribe,2071.896923076923,2023-02-26 03:00:00
Q1_3h,Nordeste,830.2046153846154,2023-02-26 03:00:00
Q1_3h,Oriental,1858.1215384615386,2023-02-26 03:00:00
Q1_3h,Suroccidente,1563.2338461538461,2023-02-26 03:00:00
Q1_4h,Caribe,2026.2692307692307,2023-02-26 04:00:00
Q1_4h,Antioquia,921.5315384615385,2023-02-26 04:00:00
Q1_4h,Nordeste,811.9230769230769,2023-02-26 04:00:00
Q1_4h,Oriental,1817.1999999999998,2023-02-26 04:00:00
Q1_4h,Suroccidente,1528.8076923076924,2023-02-26 04:00:00
Q1_5h,Antioquia,910.3469230769231,2023-02-26 05:00:00
Q1_5h,Caribe,2001.6838461538462,2023-02-26 05:00:00
Q1_5h,Nordeste,802.0715384615385,2023-02-26 05:00:00
Q1_5h,Suroccidente,1510.26,2023-02-26 05:00:00
Q1_5h,Oriental,1795.1515384615386,2023-02-26 05:00:00
Q1_6h,Suroccidente,1495.5415384615385,2023-02-26 06:00:00
Q1_6h,Oriental,1777.6592307692308,2023-02-26 06:00:00
Q1_6h,Nordeste,794.2561538461539,2023-02-26 06:00:00
Q1_6h,Caribe,1982.18,2023-02-26 06:00:00
Q1_6h,Antioquia,901.4776923076922,2023-02-26 06:00:00
Q1_7h,Antioquia,873.72,2023-02-26 07:00:00
Q1_7h,Nordeste,769.8007692307692,2023-02-26 07:00:00
Q1_7h,Oriental,1722.9253846153845,2023-02-26 07:00:00
Q1_7h,Suroccidente,1449.4953846153844,2023-02-26 07:00:00
Q1_7h,Caribe,1921.1484615384616,2023-02-26 07:00:00
Q1_8h,Suroccidente,1496.9930769230768,2023-02-26 08:00:00
Q1_8h,Oriental,1779.383076923077,2023-02-26 08:00:00
Q1_8h,Antioquia,902.3515384615384,2023-02-26 08:00:00
Q1_8h,Caribe,1984.103846153846,2023-02-26 08:00:00
Q1_8h,Nordeste,795.0284615384614,2023-02-26 08:00:00
Q1_9h,Suroccidente,1582.940769230769,2023-02-26 09:00:00
Q1_9h,Antioquia,954.16,2023-02-26 09:00:00
Q1_9h,Caribe,2098.0176923076924,2023-02-26 09:00:00
Q1_9h,Nordeste,840.6707692307692,2023-02-26 09:00:00
Q1_9h,Oriental,1881.5461538461536,2023-02-26 09:00:00
Q1_10h,Oriental,1975.7746153846153,2023-02-26 10:00:00
Q1_10h,Nordeste,882.7738461538461,2023-02-26 10:00:00
Q1_10h,Suroccidente,1662.2153846153847,2023-02-26 10:00:00
Q1_10h,Antioquia,1001.9438461538462,2023-02-26 10:00:00
Q1_10h,Caribe,2203.086923076923,2023-02-26 10:00:00
Q1_11h,Antioquia,1040.4515384615386,2023-02-26 11:00:00
Q1_11h,Oriental,2051.710769230769,2023-02-26 11:00:00
Q1_11h,Nordeste,916.7023076923076,2023-02-26 11:00:00
Q1_11h,Caribe,2287.7592307692307,2023-02-26 11:00:00
Q1_11h,Suroccidente,1726.0992307692309,2023-02-26 11:00:00
Q1_12h,Antioquia,1072.9161538461537,2023-02-26 12:00:00
Q1_12h,Caribe,2359.1407692307694,2023-02-26 12:00:00
Q1_12h,Nordeste,945.303076923077,2023-02-26 12:00:00
Q1_12h,Oriental,2115.726923076923,2023-02-26 12:00:00
Q1_12h,Suroccidente,1779.9584615384615,2023-02-26 12:00:00
Q1_13h,Caribe,2389.9453846153847,2023-02-26 13:00:00
Q1_13h,Antioquia,1086.9246153846154,2023-02-26 13:00:00
Q1_13h,Nordeste,957.6461538461538,2023-02-26 13:00:00
Q1_13h,Oriental,2143.3546153846155,2023-02-26 13:00:00
Q1_13h,Suroccidente,1803.1984615384617,2023-02-26 13:00:00
Q1_14h,Suroccidente,1799.78,2023-02-26 14:00:00
Q1_14h,Oriental,2139.286923076923,2023-02-26 14:00:00
Q1_14h,Nordeste,955.8307692307692,2023-02-26 14:00:00
Q1_14h,Antioquia,1084.8638461538462,2023-02-26 14:00:00
Q1_14h,Caribe,2385.412307692308,2023-02-26 14:00:00
Q1_15h,Antioquia,1073.9715384615383,2023-02-26 15:00:00
Q1_15h,Caribe,2361.4615384615386,2023-02-26 15:00:00
Q1_15h,Nordeste,946.2346153846154,2023-02-26 15:00:00
Q1_15h,Oriental,2117.808461538462,2023-02-26 15:00:00
Q1_15h,Suroccidente,1781.71,2023-02-26 15:00:00
Q1_16h,Suroccidente,1766.086923076923,2023-02-26 16:00:00
Q1_16h,Nordeste,937.9399999999999,2023-02-26 16:00:00
Q1_16h,Oriental,2099.24,2023-02-26 16:00:00
Q1_16h,Antioquia,1064.5553846153848,2023-02-26 16:00:00
Q1_16h,Caribe,2340.756923076923,2023-02-26 16:00:00
Q1_17h,Oriental,2082.5915384615387,2023-02-26 17:00:00
Q1_17h,Suroccidente,1752.0807692307692,2023-02-26 17:00:00
Q1_17h,Nordeste,930.5,2023-02-26 17:00:00
Q1_17h,Caribe,2322.1953846153847,2023-02-26 17:00:00
Q1_17h,Antioquia,1056.1123076923077,2023-02-26 17:00:00
Q1_18h,Suroccidente,1761.7446153846154,2023-02-26 18:00:00
Q1_18h,Oriental,2094.0784615384614,2023-02-26 18:00:00
Q1_18h,Nordeste,935.6307692307693,2023-02-26 18:00:00
Q1_18h,Caribe,2335.0015384615385,2023-02-26 18:00:00
Q1_18h,Antioquia,1061.9376923076923,2023-02-26 18:00:00
Q1_19h,Oriental,2273.4284615384613,2023-02-26 19:00:00
Q1_19h,Nordeste,1015.7638461538462,2023-02-26 19:00:00
Q1_19h,Antioquia,1152.8884615384616,2023-02-26 19:00:00
Q1_19h,Caribe,2534.986923076923,2023-02-26 19:00:00
Q1_19h,Suroccidente,1912.633076923077,2023-02-26 19:00:00
Q1_20h,Antioquia,1183.6615384615384,2023-02-26 20:00:00
