Quarter,gen_tech,Type,Hour,gen_max_capacity_factor
Quarter 1,Eolica,labor,14,0.8043129637272045
Quarter 1,Eolica,labor,15,0.8151204879812609
Quarter 1,Eolica,labor,16,0.8340691632922276
Quarter 1,Eolica,labor,17,0.8702659310261128
Quarter 1,Eolica,labor,18,0.8937200111801747
Quarter 1,Eolica,labor,19,0.8952720664503157
Quarter 1,Eolica,labor,20,0.8917543633766708
Quarter 1,Eolica,labor,21,0.8816447998036433
Quarter 1,Eolica,labor,22,0.8697906229154438
Quarter 1,Eolica,labor,23,0.8518951853869484
Quarter 2,Eolica,labor,0,0.803354885088826
Quarter 2,Eolica,labor,1,0.7958590371303603
Quarter 2,Eolica,labor,2,0.7885317575502366
Quarter 2,Eolica,labor,3,0.7854055485350702
Quarter 2,Eolica,labor,4,0.7845550935299165
Quarter 2,Eolica,labor,5,0.7807669163087706
Quarter 2,Eolica,labor,6,0.7588435583373601
Quarter 2,Eolica,labor,7,0.7490244593524719
Quarter 2,Eolica,labor,8,0.7430550459886641
Quarter 2,Eolica,labor,9,0.751448823766428
Quarter 2,Eolica,labor,10,0.7581986813500031
Quarter 2,Eolica,labor,11,0.7601316468760886
Quarter 2,Eolica,labor,12,0.7509609253221344
Quarter 2,Eolica,labor,13,0.7462221369010519
Quarter 2,Eolica,labor,14,0.7497992475609266
Quarter 2,Eolica,labor,15,0.7663222748247606
Quarter 2,Eolica,labor,16,0.7793396517180149
Quarter 2,Eolica,labor,17,0.8113663050219451
Quarter 2,Eolica,labor,18,0.8371084617910401
Quarter 2,Eolica,labor,19,0.841346568584514
Quarter 2,Eolica,labor,20,0.8387209396127101
Quarter 2,Eolica,labor,21,0.8351613473549012
Quarter 2,Eolica,labor,22,0.8249693096954941
Quarter 2,Eolica,labor,23,0.8135697427929044
Quarter 3,Eolica,labor,0,0.7960685945373291
Quarter 3,Eolica,labor,1,0.7794747290020888
Quarter 3,Eolica,labor,2,0.7710209800856725
Quarter 3,Eolica,labor,3,0.7716197861428808
Quarter 3,Eolica,labor,4,0.7713726558649053
Quarter 3,Eolica,labor,5,0.7853567232134105
Quarter 3,Eolica,labor,6,0.7838530232922324
Quarter 3,Eolica,labor,7,0.7571398461395038
Quarter 3,Eolica,labor,8,0.7487900171856721
Quarter 3,Eolica,labor,9,0.7478560188404614
Quarter 3,Eolica,labor,10,0.7457848521075391
Quarter 3,Eolica,labor,11,0.745102651045633
Quarter 3,Eolica,labor,12,0.7326176789400148
Quarter 3,Eolica,labor,13,0.7182335056210908
Quarter 3,Eolica,labor,14,0.711568001825552
Quarter 3,Eolica,labor,15,0.709274096038425
Quarter 3,Eolica,labor,16,0.7178392607450209
Quarter 3,Eolica,labor,17,0.7552357893181757
Quarter 3,Eolica,labor,18,0.804776354629682
Quarter 3,Eolica,labor,19,0.8221047950720405
Quarter 3,Eolica,labor,20,0.8295245954774377
Quarter 3,Eolica,labor,21,0.8305368283575096
Quarter 3,Eolica,labor,22,0.8192157856698801
Quarter 3,Eolica,labor,23,0.8059418368875081
Quarter 4,Eolica,labor,0,0.7240384874101803
Quarter 4,Eolica,labor,1,0.7110764142106465
Quarter 4,Eolica,labor,2,0.6995305025312494
Quarter 4,Eolica,labor,3,0.69121547259504
Quarter 4,Eolica,labor,4,0.6862341816118039
Quarter 4,Eolica,labor,5,0.676032674964966
Quarter 4,Eolica,labor,6,0.6728699733363324
Quarter 4,Eolica,labor,7,0.643778176403355
Quarter 4,Eolica,labor,8,0.6280977601355368
Quarter 4,Eolica,labor,9,0.6170360317365055
Quarter 4,Eolica,labor,10,0.6058663731829803
Quarter 4,Eolica,labor,11,0.5899476197929551
Quarter 4,Eolica,labor,12,0.5709812106431665
Quarter 4,Eolica,labor,13,0.5582584261075525
Quarter 4,Eolica,labor,14,0.5581540069538298
Quarter 4,Eolica,labor,15,0.579128525279999
Quarter 4,Eolica,labor,16,0.6228079834489264
Quarter 4,Eolica,labor,17,0.6916944198711571
Quarter 4,Eolica,labor,18,0.739260361848924
Quarter 4,Eolica,labor,19,0.758898498728464
Quarter 4,Eolica,labor,20,0.7669271914136718
Quarter 4,Eolica,labor,21,0.7653122643059325
Quarter 4,Eolica,labor,22,0.7565006708090386
Quarter 4,Eolica,labor,23,0.7398658786473936
Quarter 1,Hidro,labor,0,0.5872839358455014
Quarter 1,Hidro,labor,1,0.5873456462082297
Quarter 1,Hidro,labor,2,0.586019133533355
Quarter 1,Hidro,labor,3,0.5846206344213795
Quarter 1,Hidro,labor,4,0.5839453476120299
Quarter 1,Hidro,labor,5,0.5834262369251649
Quarter 1,Hidro,labor,6,0.5822138307558213
Quarter 1,Hidro,labor,7,0.5837423281073145
Quarter 1,Hidro,labor,8,0.5839330465756499
Quarter 1,Hidro,labor,9,0.5859963574568282
Quarter 1,Hidro,labor,10,0.5893089198674201
Quarter 1,Hidro,labor,11,0.5931211663922931
Quarter 1,Hidro,labor,12,0.5953578144870388
Quarter 1,Hidro,labor,13,0.5971325618837432
Quarter 1,Hidro,labor,14,0.594787664837926
Quarter 1,Hidro,labor,15,0.5915852492320903
Quarter 1,Hidro,labor,16,0.5908876724472553
Quarter 1,Hidro,labor,17,0.594540435068362
Quarter 1,Hidro,labor,18,0.6019523336228526
Quarter 1,Hidro,labor,19,0.6022260500321233
Quarter 1,Hidro,labor,20,0.601192273455114
Quarter 1,Hidro,labor,21,0.5958926535952677
Quarter 1,Hidro,labor,22,0.5927239536373717
Quarter 1,Hidro,labor,23,0.5898334231071982
Quarter 2,Hidro,labor,0,0.6327336340221382
Quarter 2,Hidro,labor,1,0.6328601266227242
Quarter 2,Hidro,labor,2,0.6324281360880906
Quarter 2,Hidro,labor,3,0.6303687413200069
Quarter 2,Hidro,labor,4,0.629210408276088
Quarter 2,Hidro,labor,5,0.6285290966642424
Quarter 2,Hidro,labor,6,0.6310643260614955
Quarter 2,Hidro,labor,7,0.6301845987438713
Quarter 2,Hidro,labor,8,0.6291377138098739
Quarter 2,Hidro,labor,9,0.631492847757074
Quarter 2,Hidro,labor,10,0.6331313234462088
Quarter 2,Hidro,labor,11,0.6358086632728573
Quarter 2,Hidro,labor,12,0.640694737457177
Quarter 2,Hidro,labor,13,0.6426272532838209
Quarter 2,Hidro,labor,14,0.6424232860654133
Quarter 2,Hidro,labor,15,0.6375690495459415
Quarter 2,Hidro,labor,16,0.6363492937418038
Quarter 2,Hidro,labor,17,0.639922542916373
Quarter 2,Hidro,labor,18,0.6464434480762046
Quarter 2,Hidro,labor,19,0.6476104215889366
Quarter 2,Hidro,labor,20,0.6469306705892262
Quarter 2,Hidro,labor,21,0.644169774979917
Quarter 2,Hidro,labor,22,0.641441762825899
Quarter 2,Hidro,labor,23,0.6390023618889782
Quarter 3,Hidro,labor,0,0.6653535437159807
Quarter 3,Hidro,labor,1,0.6659164454383535
Quarter 3,Hidro,labor,2,0.6645958360419225
Quarter 3,Hidro,labor,3,0.6637517883517657
Quarter 3,Hidro,labor,4,0.6644502321161208
Quarter 3,Hidro,labor,5,0.6646370284772019
Quarter 3,Hidro,labor,6,0.66639246311797
Quarter 3,Hidro,labor,7,0.6644009591771762
Quarter 3,Hidro,labor,8,0.6624351322395274
Quarter 3,Hidro,labor,9,0.6613786315510708
Quarter 3,Hidro,labor,10,0.6601245968597004
Quarter 3,Hidro,labor,11,0.6611158940749761
Quarter 3,Hidro,labor,12,0.663427803866916
Quarter 3,Hidro,labor,13,0.6653115711894644
Quarter 3,Hidro,labor,14,0.6660566321480944
Quarter 3,Hidro,labor,15,0.664762527102833
Quarter 3,Hidro,labor,16,0.6635257775078707
Quarter 3,Hidro,labor,17,0.6651129236795521
Quarter 3,Hidro,labor,18,0.6700471907208022
Quarter 3,Hidro,labor,19,0.6723263887349883
Quarter 3,Hidro,labor,20,0.6716825196042115
Quarter 3,Hidro,labor,21,0.6697419245440661
Quarter 3,Hidro,labor,22,0.6676787256101109
Quarter 3,Hidro,labor,23,0.664335387303223
Quarter 4,Hidro,labor,0,0.6288597733120252
Quarter 4,Hidro,labor,1,0.6270483531898625
Quarter 4,Hidro,labor,2,0.6245196658069164
Quarter 4,Hidro,labor,3,0.6238119903838354
Quarter 4,Hidro,labor,4,0.6228114404235603
Quarter 4,Hidro,labor,5,0.6232096539422869
Quarter 4,Hidro,labor,6,0.6243765100917066
Quarter 4,Hidro,labor,7,0.6245966220981869
Quarter 4,Hidro,labor,8,0.624464949344257
Quarter 4,Hidro,labor,9,0.6253628674338493
Quarter 4,Hidro,labor,10,0.6252552000493996
Quarter 4,Hidro,labor,11,0.6260563339556241
Quarter 4,Hidro,labor,12,0.6294861035550517
Quarter 4,Hidro,labor,13,0.630624578286948
Quarter 4,Hidro,labor,14,0.6295586391325962
Quarter 4,Hidro,labor,15,0.6287101590795393
Quarter 4,Hidro,labor,16,0.6288876434143179
Quarter 4,Hidro,labor,17,0.6305350028631802
Quarter 4,Hidro,labor,18,0.6358090456362362
Quarter 4,Hidro,labor,19,0.6357608158492495
