timestamp,Tech,DispatchGen_MW,Quarter,DayType,Hour,Source,Subplot
2023_Q1_H_10h,Thermal,1330.8053538461538,Q1,Holiday,10h,Real,Real-Holiday
2023_Q1_H_11h,Thermal,1385.9855630769232,Q1,Holiday,11h,Real,Real-Holiday
2023_Q1_H_12h,Thermal,1412.3199323076924,Q1,Holiday,12h,Real,Real-Holiday
2023_Q1_H_13h,Thermal,1440.7696984615384,Q1,Holiday,13h,Real,Real-Holiday
2023_Q1_H_14h,Thermal,1445.0571692307692,Q1,Holiday,14h,Real,Real-Holiday
2023_Q1_H_15h,Thermal,1466.3143792307694,Q1,Holiday,15h,Real,Real-Holiday
2023_Q1_H_16h,Thermal,1481.0490046153848,Q1,Holiday,16h,Real,Real-Holiday
2023_Q1_H_17h,Thermal,1502.1279846153848,Q1,Holiday,17h,Real,Real-Holiday
2023_Q1_H_18h,Thermal,1520.73071,Q1,Holiday,18h,Real,Real-Holiday
2023_Q1_H_19h,Thermal,1561.0536738461535,Q1,Holiday,19h,Real,Real-Holiday
2023_Q1_H_20h,Thermal,1567.1753853846155,Q1,Holiday,20h,Real,Real-Holiday
2023_Q1_H_21h,Thermal,1559.883756153846,Q1,Holiday,21h,Real,Real-Holiday
2023_Q1_H_22h,Thermal,1532.5796053846154,Q1,Holiday,22h,Real,Real-Holiday
2023_Q1_H_23h,Thermal,1526.77373,Q1,Holiday,23h,Real,Real-Holiday
2023_Q1_H_6h,Solar,0.09956,Q1,Holiday,6h,Real,Real-Holiday
2023_Q1_H_7h,Solar,17.61660923076923,Q1,Holiday,7h,Real,Real-Holiday
2023_Q1_H_8h,Solar,108.48702,Q1,Holiday,8h,Real,Real-Holiday
2023_Q1_H_9h,Solar,189.82279,Q1,Holiday,9h,Real,Real-Holiday
2023_Q1_H_10h,Solar,233.6937323076923,Q1,Holiday,10h,Real,Real-Holiday
2023_Q1_H_11h,Solar,265.8960715384615,Q1,Holiday,11h,Real,Real-Holiday
2023_Q1_H_12h,Solar,269.04437538461536,Q1,Holiday,12h,Real,Real-Holiday
2023_Q1_H_13h,Solar,269.3413076923077,Q1,Holiday,13h,Real,Real-Holiday
2023_Q1_H_14h,Solar,253.44489615384612,Q1,Holiday,14h,Real,Real-Holiday
2023_Q1_H_15h,Solar,239.5931392307692,Q1,Holiday,15h,Real,Real-Holiday
2023_Q1_H_16h,Solar,206.2919523076923,Q1,Holiday,16h,Real,Real-Holiday
2023_Q1_H_17h,Solar,118.20721846153846,Q1,Holiday,17h,Real,Real-Holiday
2023_Q1_H_18h,Solar,20.290775384615383,Q1,Holiday,18h,Real,Real-Holiday
2023_Q1_H_19h,Solar,0.031355,Q1,Holiday,19h,Real,Real-Holiday
2023_Q1_H_0h,Wind,20.023810769230767,Q1,Holiday,0h,Real,Real-Holiday
2023_Q1_H_1h,Wind,19.79884769230769,Q1,Holiday,1h,Real,Real-Holiday
2023_Q1_H_2h,Wind,18.509237692307693,Q1,Holiday,2h,Real,Real-Holiday
2023_Q1_H_3h,Wind,17.932244615384615,Q1,Holiday,3h,Real,Real-Holiday
2023_Q1_H_4h,Wind,18.192339230769228,Q1,Holiday,4h,Real,Real-Holiday
2023_Q1_H_5h,Wind,17.71273846153846,Q1,Holiday,5h,Real,Real-Holiday
2023_Q1_H_6h,Wind,16.250666923076924,Q1,Holiday,6h,Real,Real-Holiday
2023_Q1_H_7h,Wind,14.058550769230768,Q1,Holiday,7h,Real,Real-Holiday
2023_Q1_H_8h,Wind,14.77256,Q1,Holiday,8h,Real,Real-Holiday
2023_Q1_H_9h,Wind,18.775666666666663,Q1,Holiday,9h,Real,Real-Holiday
2023_Q1_H_10h,Wind,19.815294166666664,Q1,Holiday,10h,Real,Real-Holiday
2023_Q1_H_11h,Wind,20.656546666666667,Q1,Holiday,11h,Real,Real-Holiday
2023_Q1_H_12h,Wind,22.92231,Q1,Holiday,12h,Real,Real-Holiday
2023_Q1_H_13h,Wind,25.319405,Q1,Holiday,13h,Real,Real-Holiday
2023_Q1_H_14h,Wind,25.597529166666664,Q1,Holiday,14h,Real,Real-Holiday
2023_Q1_H_15h,Wind,26.09617333333333,Q1,Holiday,15h,Real,Real-Holiday
2023_Q1_H_16h,Wind,26.05793416666667,Q1,Holiday,16h,Real,Real-Holiday
2023_Q1_H_17h,Wind,24.70745615384616,Q1,Holiday,17h,Real,Real-Holiday
2023_Q1_H_18h,Wind,25.040038461538465,Q1,Holiday,18h,Real,Real-Holiday
2023_Q1_H_19h,Wind,24.55031384615385,Q1,Holiday,19h,Real,Real-Holiday
2023_Q1_H_20h,Wind,22.90508307692308,Q1,Holiday,20h,Real,Real-Holiday
2023_Q1_H_21h,Wind,22.771668461538464,Q1,Holiday,21h,Real,Real-Holiday
2023_Q1_H_22h,Wind,22.784487692307696,Q1,Holiday,22h,Real,Real-Holiday
2023_Q1_H_23h,Wind,21.93121307692308,Q1,Holiday,23h,Real,Real-Holiday
2023_Q1_H_0h,Hydro,6504.6700092867,Q1,Holiday,0h,Pred,Pred-Holiday
2023_Q1_H_1h,Hydro,6138.99669833,Q1,Holiday,1h,Pred,Pred-Holiday
2023_Q1_H_2h,Hydro,6231.924691993,Q1,Holiday,2h,Pred,Pred-Holiday
2023_Q1_H_3h,Hydro,5816.770322903,Q1,Holiday,3h,Pred,Pred-Holiday
2023_Q1_H_4h,Hydro,5981.112374603,Q1,Holiday,4h,Pred,Pred-Holiday
2023_Q1_H_5h,Hydro,5777.074718213,Q1,Holiday,5h,Pred,Pred-Holiday
2023_Q1_H_6h,Hydro,5848.512220417,Q1,Holiday,6h,Pred,Pred-Holiday
2023_Q1_H_7h,Hydro,5583.81025788,Q1,Holiday,7h,Pred,Pred-Holiday
2023_Q1_H_8h,Hydro,5719.661484907,Q1,Holiday,8h,Pred,Pred-Holiday
2023_Q1_H_9h,Hydro,5894.576315293,Q1,Holiday,9h,Pred,Pred-Holiday
2023_Q1_H_10h,Hydro,5844.9509942800005,Q1,Holiday,10h,Pred,Pred-Holiday
2023_Q1_H_11h,Hydro,6153.5997155,Q1,Holiday,11h,Pred,Pred-Holiday
2023_Q1_H_12h,Hydro,6515.51693356,Q1,Holiday,12h,Pred,Pred-Holiday
2023_Q1_H_13h,Hydro,6542.14255149,Q1,Holiday,13h,Pred,Pred-Holiday
2023_Q1_H_14h,Hydro,6400.799906253,Q1,Holiday,14h,Pred,Pred-Holiday
2023_Q1_H_15h,Hydro,6459.38657797,Q1,Holiday,15h,Pred,Pred-Holiday
2023_Q1_H_16h,Hydro,6497.10770807,Q1,Holiday,16h,Pred,Pred-Holiday
2023_Q1_H_17h,Hydro,6575.05231784,Q1,Holiday,17h,Pred,Pred-Holiday
2023_Q1_H_18h,Hydro,6636.8890710733,Q1,Holiday,18h,Pred,Pred-Holiday
2023_Q1_H_19h,Hydro,7109.102130997,Q1,Holiday,19h,Pred,Pred-Holiday
2023_Q1_H_20h,Hydro,7037.7256090930005,Q1,Holiday,20h,Pred,Pred-Holiday
2023_Q1_H_21h,Hydro,7209.246116247,Q1,Holiday,21h,Pred,Pred-Holiday
2023_Q1_H_22h,Hydro,7062.0694967933,Q1,Holiday,22h,Pred,Pred-Holiday
2023_Q1_H_23h,Hydro,6578.45335491,Q1,Holiday,23h,Pred,Pred-Holiday
2023_Q1_H_0h,Run of River,272.5998066,Q1,Holiday,0h,Pred,Pred-Holiday
2023_Q1_H_1h,Run of River,443.5047535,Q1,Holiday,1h,Pred,Pred-Holiday
2023_Q1_H_2h,Run of River,238.5231293,Q1,Holiday,2h,Pred,Pred-Holiday
2023_Q1_H_3h,Run of River,493.5003916,Q1,Holiday,3h,Pred,Pred-Holiday
2023_Q1_H_4h,Run of River,229.4513441,Q1,Holiday,4h,Pred,Pred-Holiday
2023_Q1_H_5h,Run of River,390.8339283,Q1,Holiday,5h,Pred,Pred-Holiday
2023_Q1_H_6h,Run of River,212.0739355,Q1,Holiday,6h,Pred,Pred-Holiday
2023_Q1_H_7h,Run of River,313.5206935,Q1,Holiday,7h,Pred,Pred-Holiday
2023_Q1_H_8h,Run of River,195.6170422,Q1,Holiday,8h,Pred,Pred-Holiday
2023_Q1_H_9h,Run of River,266.8992138,Q1,Holiday,9h,Pred,Pred-Holiday
2023_Q1_H_10h,Run of River,402.6361915,Q1,Holiday,10h,Pred,Pred-Holiday
2023_Q1_H_11h,Run of River,317.15549289999996,Q1,Holiday,11h,Pred,Pred-Holiday
2023_Q1_H_12h,Run of River,216.08884749999999,Q1,Holiday,12h,Pred,Pred-Holiday
2023_Q1_H_13h,Run of River,215.0130193,Q1,Holiday,13h,Pred,Pred-Holiday
2023_Q1_H_14h,Run of River,406.466421,Q1,Holiday,14h,Pred,Pred-Holiday
2023_Q1_H_15h,Run of River,419.7708511,Q1,Holiday,15h,Pred,Pred-Holiday
2023_Q1_H_16h,Run of River,362.5197271,Q1,Holiday,16h,Pred,Pred-Holiday
2023_Q1_H_17h,Run of River,348.192232,Q1,Holiday,17h,Pred,Pred-Holiday
2023_Q1_H_18h,Run of River,350.3547024,Q1,Holiday,18h,Pred,Pred-Holiday
2023_Q1_H_19h,Run of River,503.4561126,Q1,Holiday,19h,Pred,Pred-Holiday
2023_Q1_H_20h,Run of River,578.1283912,Q1,Holiday,20h,Pred,Pred-Holiday
2023_Q1_H_21h,Run of River,372.7238208,Q1,Holiday,21h,Pred,Pred-Holiday
2023_Q1_H_22h,Run of River,275.5732852,Q1,Holiday,22h,Pred,Pred-Holiday
2023_Q1_H_23h,Run of River,545.7047282,Q1,Holiday,23h,Pred,Pred-Holiday
2023_Q1_H_0h,Thermal,1268.66675,Q1,Holiday,0h,Pred,Pred-Holiday
2023_Q1_H_1h,Thermal,1217.38534,Q1,Holiday,1h,Pred,Pred-Holiday
2023_Q1_H_2h,Thermal,1143.763173,Q1,Holiday,2h,Pred,Pred-Holiday
2023_Q1_H_3h,Thermal,1083.580747,Q1,Holiday,3h,Pred,Pred-Holiday
2023_Q1_H_4h,Thermal,1037.84611,Q1,Holiday,4h,Pred,Pred-Holiday
2023_Q1_H_5h,Thermal,1013.309876,Q1,Holiday,5h,Pred,Pred-Holiday
2023_Q1_H_6h,Thermal,972.313259,Q1,Holiday,6h,Pred,Pred-Holiday
2023_Q1_H_7h,Thermal,858.006386,Q1,Holiday,7h,Pred,Pred-Holiday
2023_Q1_H_8h,Thermal,854.139653,Q1,Holiday,8h,Pred,Pred-Holiday
2023_Q1_H_9h,Thermal,909.9365,Q1,Holiday,9h,Pred,Pred-Holiday
2023_Q1_H_10h,Thermal,972.8933959999999,Q1,Holiday,10h,Pred,Pred-Holiday
2023_Q1_H_11h,Thermal,1038.87224,Q1,Holiday,11h,Pred,Pred-Holiday
2023_Q1_H_12h,Thermal,1112.8168249999999,Q1,Holiday,12h,Pred,Pred-Holiday
2023_Q1_H_13h,Thermal,1169.12168,Q1,Holiday,13h,Pred,Pred-Holiday
2023_Q1_H_14h,Thermal,1210.71076,Q1,Holiday,14h,Pred,Pred-Holiday
2023_Q1_H_15h,Thermal,1245.96573,Q1,Holiday,15h,Pred,Pred-Holiday
2023_Q1_H_16h,Thermal,1288.2023,Q1,Holiday,16h,Pred,Pred-Holiday
2023_Q1_H_17h,Thermal,1321.1228213,Q1,Holiday,17h,Pred,Pred-Holiday
2023_Q1_H_18h,Thermal,1315.5,Q1,Holiday,18h,Pred,Pred-Holiday
2023_Q1_H_19h,Thermal,1424.17966,Q1,Holiday,19h,Pred,Pred-Holiday
2023_Q1_H_20h,Thermal,1612.6053200000001,Q1,Holiday,20h,Pred,Pred-Holiday
2023_Q1_H_21h,Thermal,1580.90838,Q1,Holiday,21h,Pred,Pred-Holiday
2023_Q1_H_22h,Thermal,1517.873082,Q1,Holiday,22h,Pred,Pred-Holiday
2023_Q1_H_23h,Thermal,1393.279012,Q1,Holiday,23h,Pred,Pred-Holiday
2023_Q1_H_0h,Solar,0.0,Q1,Holiday,0h,Pred,Pred-Holiday
2023_Q1_H_1h,Solar,0.0,Q1,Holiday,1h,Pred,Pred-Holiday
2023_Q1_H_2h,Solar,0.0,Q1,Holiday,2h,Pred,Pred-Holiday
2023_Q1_H_3h,Solar,0.0,Q1,Holiday,3h,Pred,Pred-Holiday
2023_Q1_H_4h,Solar,0.0,Q1,Holiday,4h,Pred,Pred-Holiday
2023_Q1_H_5h,Solar,0.061496348553689996,Q1,Holiday,5h,Pred,Pred-Holiday
2023_Q1_H_6h,Solar,45.67554386059,Q1,Holiday,6h,Pred,Pred-Holiday
2023_Q1_H_7h,Solar,168.0885285326,Q1,Holiday,7h,Pred,Pred-Holiday
2023_Q1_H_8h,Solar,320.9859012616,Q1,Holiday,8h,Pred,Pred-Holiday
2023_Q1_H_9h,Solar,458.7576466862,Q1,Holiday,9h,Pred,Pred-Holiday
2023_Q1_H_10h,Solar,561.0092624476,Q1,Holiday,10h,Pred,Pred-Holiday
2023_Q1_H_11h,Solar,611.8969121836,Q1,Holiday,11h,Pred,Pred-Holiday
2023_Q1_H_12h,Solar,608.7741536391,Q1,Holiday,12h,Pred,Pred-Holiday
2023_Q1_H_13h,Solar,549.8028345542,Q1,Holiday,13h,Pred,Pred-Holiday
2023_Q1_H_14h,Solar,441.8436073452,Q1,Holiday,14h,Pred,Pred-Holiday
2023_Q1_H_15h,Solar,303.8139091599,Q1,Holiday,15h,Pred,Pred-Holiday
2023_Q1_H_16h,Solar,156.9057674928,Q1,Holiday,16h,Pred,Pred-Holiday
2023_Q1_H_17h,Solar,33.09587889467,Q1,Holiday,17h,Pred,Pred-Holiday
2023_Q1_H_18h,Solar,0.03207050886011,Q1,Holiday,18h,Pred,Pred-Holiday
2023_Q1_H_19h,Solar,0.0,Q1,Holiday,19h,Pred,Pred-Holiday
2023_Q1_H_20h,Solar,0.0,Q1,Holiday,20h,Pred,Pred-Holiday
2023_Q1_H_21h,Solar,0.0,Q1,Holiday,21h,Pred,Pred-Holiday
2023_Q1_H_22h,Solar,0.0,Q1,Holiday,22h,Pred,Pred-Holiday
2023_Q1_H_23h,Solar,0.0,Q1,Holiday,23h,Pred,Pred-Holiday
2023_Q1_H_0h,Wind,27.26037,Q1,Holiday,0h,Pred,Pred-Holiday
2023_Q1_H_1h,Wind,26.8855369,Q1,Holiday,1h,Pred,Pred-Holiday
2023_Q1_H_2h,Wind,27.062806000000002,Q1,Holiday,2h,Pred,Pred-Holiday
2023_Q1_H_3h,Wind,26.928477,Q1,Holiday,3h,Pred,Pred-Holiday
2023_Q1_H_4h,Wind,27.061588,Q1,Holiday,4h,Pred,Pred-Holiday
2023_Q1_H_5h,Wind,26.9589323,Q1,Holiday,5h,Pred,Pred-Holiday
2023_Q1_H_6h,Wind,26.523018,Q1,Holiday,6h,Pred,Pred-Holiday
2023_Q1_H_7h,Wind,26.4265182,Q1,Holiday,7h,Pred,Pred-Holiday
2023_Q1_H_8h,Wind,26.084426,Q1,Holiday,8h,Pred,Pred-Holiday
2023_Q1_H_9h,Wind,25.5128582,Q1,Holiday,9h,Pred,Pred-Holiday
2023_Q1_H_10h,Wind,25.7047689,Q1,Holiday,10h,Pred,Pred-Holiday
2023_Q1_H_11h,Wind,25.4877447,Q1,Holiday,11h,Pred,Pred-Holiday
2023_Q1_H_12h,Wind,25.2780231,Q1,Holiday,12h,Pred,Pred-Holiday
2023_Q1_H_13h,Wind,25.2369556,Q1,Holiday,13h,Pred,Pred-Holiday
2023_Q1_H_14h,Wind,25.5723224,Q1,Holiday,14h,Pred,Pred-Holiday
2023_Q1_H_15h,Wind,26.041336199999996,Q1,Holiday,15h,Pred,Pred-Holiday
2023_Q1_H_16h,Wind,26.969459999999998,Q1,Holiday,16h,Pred,Pred-Holiday
2023_Q1_H_17h,Wind,28.142248000000002,Q1,Holiday,17h,Pred,Pred-Holiday
2023_Q1_H_18h,Wind,28.766824,Q1,Holiday,18h,Pred,Pred-Holiday
2023_Q1_H_19h,Wind,28.63174,Q1,Holiday,19h,Pred,Pred-Holiday
2023_Q1_H_20h,Wind,28.493409,Q1,Holiday,20h,Pred,Pred-Holiday
2023_Q1_H_21h,Wind,28.148286,Q1,Holiday,21h,Pred,Pred-Holiday
2023_Q1_H_22h,Wind,27.634495,Q1,Holiday,22h,Pred,Pred-Holiday
2023_Q1_H_23h,Wind,27.100167999999996,Q1,Holiday,23h,Pred,Pred-Holiday
