timestamp,Tech,DispatchGen_MW,Quarter,DayType,Hour,Source,Subplot
2023_Q1_L_11h,Thermal,1569.52585987013,Q1,Labor,11h,Real,Real-Labor
2023_Q1_L_12h,Thermal,1599.048277922078,Q1,Labor,12h,Real,Real-Labor
2023_Q1_L_13h,Thermal,1621.0051642857145,Q1,Labor,13h,Real,Real-Labor
2023_Q1_L_14h,Thermal,1634.8420907792208,Q1,Labor,14h,Real,Real-Labor
2023_Q1_L_15h,Thermal,1646.9274387012988,Q1,Labor,15h,Real,Real-Labor
2023_Q1_L_16h,Thermal,1657.8103850649352,Q1,Labor,16h,Real,Real-Labor
2023_Q1_L_17h,Thermal,1660.4671896103896,Q1,Labor,17h,Real,Real-Labor
2023_Q1_L_18h,Thermal,1662.1561598701298,Q1,Labor,18h,Real,Real-Labor
2023_Q1_L_19h,Thermal,1701.1437357142856,Q1,Labor,19h,Real,Real-Labor
2023_Q1_L_20h,Thermal,1719.396678961039,Q1,Labor,20h,Real,Real-Labor
2023_Q1_L_21h,Thermal,1721.1613863636364,Q1,Labor,21h,Real,Real-Labor
2023_Q1_L_22h,Thermal,1685.3948912987012,Q1,Labor,22h,Real,Real-Labor
2023_Q1_L_23h,Thermal,1649.763249090909,Q1,Labor,23h,Real,Real-Labor
2023_Q1_L_0h,Solar,0.000645,Q1,Labor,0h,Real,Real-Labor
2023_Q1_L_1h,Solar,0.0012699999999999,Q1,Labor,1h,Real,Real-Labor
2023_Q1_L_2h,Solar,0.0008449999999999,Q1,Labor,2h,Real,Real-Labor
2023_Q1_L_3h,Solar,0.0012249999999999,Q1,Labor,3h,Real,Real-Labor
2023_Q1_L_4h,Solar,0.00089,Q1,Labor,4h,Real,Real-Labor
2023_Q1_L_5h,Solar,0.001185,Q1,Labor,5h,Real,Real-Labor
2023_Q1_L_6h,Solar,0.086921304347826,Q1,Labor,6h,Real,Real-Labor
2023_Q1_L_7h,Solar,19.16086896103896,Q1,Labor,7h,Real,Real-Labor
2023_Q1_L_8h,Solar,116.54004506493506,Q1,Labor,8h,Real,Real-Labor
2023_Q1_L_9h,Solar,196.93674831168832,Q1,Labor,9h,Real,Real-Labor
2023_Q1_L_10h,Solar,243.1763201298701,Q1,Labor,10h,Real,Real-Labor
2023_Q1_L_11h,Solar,262.8005820779221,Q1,Labor,11h,Real,Real-Labor
2023_Q1_L_12h,Solar,270.54666415584416,Q1,Labor,12h,Real,Real-Labor
