timestamp,Zone,demand_mw,Date
Q1_0h,Antioquia,1093.7797402597403,2023-02-28 00:00:00
Q1_0h,Caribe,2405.0177922077924,2023-02-28 00:00:00
Q1_0h,Nordeste,963.6863636363637,2023-02-28 00:00:00
Q1_0h,Oriental,2156.8706493506493,2023-02-28 00:00:00
Q1_0h,Suroccidente,1814.571038961039,2023-02-28 00:00:00
Q1_1h,Suroccidente,1712.9877922077922,2023-02-28 01:00:00
Q1_1h,Oriental,2036.1238961038962,2023-02-28 01:00:00
Q1_1h,Nordeste,909.7379220779221,2023-02-28 01:00:00
Q1_1h,Caribe,2270.3794805194807,2023-02-28 01:00:00
Q1_1h,Antioquia,1032.5477922077923,2023-02-28 01:00:00
Q1_2h,Oriental,1966.5618181818184,2023-02-28 02:00:00
Q1_2h,Nordeste,878.6564935064936,2023-02-28 02:00:00
Q1_2h,Caribe,2192.8136363636363,2023-02-28 02:00:00
Q1_2h,Antioquia,997.2715584415585,2023-02-28 02:00:00
Q1_2h,Suroccidente,1654.4644155844155,2023-02-28 02:00:00
Q1_3h,Antioquia,972.2632467532468,2023-02-28 03:00:00
Q1_3h,Caribe,2137.8255844155847,2023-02-28 03:00:00
Q1_3h,Nordeste,856.6228571428572,2023-02-28 03:00:00
Q1_3h,Oriental,1917.2472727272727,2023-02-28 03:00:00
Q1_3h,Suroccidente,1612.9764935064936,2023-02-28 03:00:00
Q1_4h,Caribe,2111.4135064935062,2023-02-28 04:00:00
Q1_4h,Antioquia,960.2516883116883,2023-02-28 04:00:00
Q1_4h,Nordeste,846.0405194805195,2023-02-28 04:00:00
Q1_4h,Oriental,1893.55987012987,2023-02-28 04:00:00
Q1_4h,Suroccidente,1593.0489610389611,2023-02-28 04:00:00
Q1_5h,Antioquia,975.0553246753246,2023-02-28 05:00:00
Q1_5h,Caribe,2143.9653246753246,2023-02-28 05:00:00
Q1_5h,Nordeste,859.0824675324676,2023-02-28 05:00:00
Q1_5h,Suroccidente,1617.6088311688313,2023-02-28 05:00:00
Q1_5h,Oriental,1922.7532467532467,2023-02-28 05:00:00
Q1_6h,Suroccidente,1684.1725974025974,2023-02-28 06:00:00
Q1_6h,Oriental,2001.8742857142859,2023-02-28 06:00:00
Q1_6h,Nordeste,894.4348051948051,2023-02-28 06:00:00
Q1_6h,Caribe,2232.1903896103895,2023-02-28 06:00:00
Q1_6h,Antioquia,1015.1792207792208,2023-02-28 06:00:00
Q1_7h,Antioquia,1038.83012987013,2023-02-28 07:00:00
Q1_7h,Nordeste,915.2724675324674,2023-02-28 07:00:00
Q1_7h,Oriental,2048.512337662338,2023-02-28 07:00:00
Q1_7h,Suroccidente,1723.4097402597401,2023-02-28 07:00:00
Q1_7h,Caribe,2284.193116883117,2023-02-28 07:00:00
Q1_8h,Suroccidente,1827.442077922078,2023-02-28 08:00:00
Q1_8h,Oriental,2172.1687012987013,2023-02-28 08:00:00
Q1_8h,Antioquia,1101.5377922077923,2023-02-28 08:00:00
Q1_8h,Caribe,2422.0762337662336,2023-02-28 08:00:00
Q1_8h,Nordeste,970.521818181818,2023-02-28 08:00:00
