,Quarter,DayType,Tech,DispatchGen_MW,DispatchGW,Category
0,Q1,Holiday,Hydro,147433.23431153846,147.43323431153846,Q1-Holiday
1,Q1,Holiday,Run of River,8912.508040769231,8.91250804076923,Q1-Holiday
2,Q1,Holiday,Solar,2191.8608026923075,2.1918608026923074,Q1-Holiday
3,Q1,Holiday,Thermal,34430.02580615385,34.43002580615385,Q1-Holiday
4,Q1,Holiday,Wind,507.1821160897436,0.5071821160897436,Q1-Holiday
5,Q1,Labor,Hydro,171118.18687545456,171.11818687545457,Q1-Labor
6,Q1,Labor,Run of River,8928.409746233767,8.928409746233767,Q1-Labor
7,Q1,Labor,Solar,2223.577478490495,2.2235774784904954,Q1-Labor
8,Q1,Labor,Thermal,37732.21421051948,37.73221421051948,Q1-Labor
9,Q1,Labor,Wind,514.666226510663,0.5146662265106631,Q1-Labor
10,Q2,Holiday,Hydro,146843.55496230768,146.84355496230768,Q2-Holiday
11,Q2,Holiday,Run of River,10774.42559923077,10.77442559923077,Q2-Holiday
12,Q2,Holiday,Solar,2206.753843931624,2.206753843931624,Q2-Holiday
13,Q2,Holiday,Thermal,30576.092357692305,30.576092357692303,Q2-Holiday
14,Q2,Holiday,Wind,489.5368691981352,0.4895368691981352,Q2-Holiday
15,Q2,Labor,Hydro,169638.75547658227,169.63875547658228,Q2-Labor
16,Q2,Labor,Run of River,10495.261951898734,10.495261951898733,Q2-Labor
17,Q2,Labor,Solar,2306.9913032160266,2.3069913032160265,Q2-Labor
18,Q2,Labor,Thermal,34495.218927594935,34.495218927594934,Q2-Labor
19,Q2,Labor,Wind,538.4834057530292,0.5384834057530291,Q2-Labor
20,Q3,Holiday,Hydro,133518.58283846153,133.51858283846153,Q3-Holiday
21,Q3,Holiday,Run of River,9362.144525384616,9.362144525384617,Q3-Holiday
22,Q3,Holiday,Solar,3122.0969606837607,3.1220969606837605,Q3-Holiday
23,Q3,Holiday,Thermal,45280.50765692307,45.28050765692307,Q3-Holiday
24,Q3,Holiday,Wind,513.3898989918415,0.5133898989918415,Q3-Holiday
25,Q3,Labor,Hydro,158496.41997088608,158.49641997088608,Q3-Labor
26,Q3,Labor,Run of River,9243.15970443038,9.24315970443038,Q3-Labor
27,Q3,Labor,Solar,3157.841557539437,3.157841557539437,Q3-Labor
28,Q3,Labor,Thermal,48797.45926379747,48.79745926379747,Q3-Labor
29,Q3,Labor,Wind,504.1714594994578,0.5041714594994577,Q3-Labor
30,Q4,Holiday,Hydro,122160.03631461538,122.16003631461538,Q4-Holiday
31,Q4,Holiday,Run of River,8152.726906153846,8.152726906153847,Q4-Holiday
32,Q4,Holiday,Solar,3938.015446153846,3.938015446153846,Q4-Holiday
33,Q4,Holiday,Thermal,66441.16641076923,66.44116641076923,Q4-Holiday
34,Q4,Holiday,Wind,336.5130983045843,0.33651309830458426,Q4-Holiday
35,Q4,Labor,Hydro,146904.06021435896,146.90406021435896,Q4-Labor
36,Q4,Labor,Run of River,7850.2278037179485,7.8502278037179485,Q4-Labor
37,Q4,Labor,Solar,4321.167692307692,4.321167692307692,Q4-Labor
38,Q4,Labor,Thermal,71983.81671192308,71.98381671192308,Q4-Labor
39,Q4,Labor,Wind,370.8755070170681,0.3708755070170681,Q4-Labor
