PERIOD,AnnualEmissions_tCO2_per_yr,carbon_cap_tco2_per_yr,carbon_cap_dual_future_dollar_per_tco2,carbon_cost_dollar_per_tco2,carbon_cost_annual_total
2023,1.31556e+07,inf,.,0,0
2024,1.37694e+07,inf,.,0,0
2025,1.52756e+07,inf,.,0,0
2026,1.66479e+07,inf,.,0,0
2027,1.69775e+07,inf,.,0,0
2028,1.67147e+07,inf,.,0,0
2029,1.6181e+07,inf,.,0,0
2030,1.77764e+07,inf,.,0,0
2031,1.91705e+07,inf,.,0,0
2032,2.05824e+07,inf,.,0,0
2033,2.20059e+07,inf,.,0,0
2034,2.33228e+07,inf,.,0,0
2035,2.48232e+07,inf,.,0,0
