gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Eolica,Wind,2023,214.2788484926763,0.0,0.0,32.0,5395834.247909282,882240.0,29.298618562082936,0.7644079926251293,0.0,0.0
Eolica,Wind,2024,214.27884785233337,0.0,0.0,32.0,5395834.247909282,882240.0,29.298618649637834,0.764407990340801,0.0,0.0
Eolica,Wind,2025,214.27884766224417,0.0,0.0,32.0,5395834.247909282,882240.0,29.298618675628973,0.764407989662686,0.0,0.0
Eolica,Wind,2026,214.27884777349755,0.0,0.0,32.0,5395834.247909282,882240.0,29.298618660417155,0.7644079900595658,0.0,0.0
Eolica,Wind,2027,1911.9612161932241,0.0,0.0,287.0,44823935.53766147,7912590.0,27.582424314370545,0.7604892432315179,0.0,0.0
Eolica,Wind,2028,4842.962813278155,0.0,0.0,737.0,114402937.81369475,20319090.0,27.81810082132402,0.7501351916132528,0.0,0.0
Eolica,Wind,2029,8148.905402179025,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.532472059641755,0.7569083341859238,0.0,0.0
Eolica,Wind,2030,8148.905402208831,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.532472059541053,0.7569083341886923,0.0,0.0
Eolica,Wind,2031,8148.905402194154,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.532472059590642,0.7569083341873291,0.0,0.0
Eolica,Wind,2032,8148.90540220601,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.53247205955059,0.7569083341884303,0.0,0.0
Eolica,Wind,2033,8148.9054022024075,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.532472059562757,0.7569083341880957,0.0,0.0
Eolica,Wind,2034,8148.9054021364445,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.532472059785626,0.7569083341819687,0.0,0.0
Eolica,Wind,2035,8148.905402184608,0.0,0.0,1229.0,190475980.3021578,33883530.0,27.532472059622897,0.7569083341864423,0.0,0.0
Hidro,Water,2023,59260.73473771022,82369756.85657538,0.0,12391.502,1821177345.413436,542499957.56,41.276016415528574,0.5459325315701222,0.0,0.0
Hidro,Water,2024,59260.734736648774,82369756.85674398,0.0,12391.502,1821177345.413436,542499957.56,41.27601641627072,0.5459325315603439,0.0,0.0
Hidro,Water,2025,59260.7347372208,82369756.8573961,0.0,12391.502,1821177345.413436,542499957.56,41.276016415883305,0.5459325315656136,0.0,0.0
Hidro,Water,2026,59260.73473644514,82369756.85640046,0.0,12391.502,1821177345.413436,542499957.56,41.276016416406776,0.5459325315584678,0.0,0.0
Hidro,Water,2027,59260.73473593165,82369756.85587266,0.0,12391.502,1821177345.413436,542499957.56,41.27601641675551,0.5459325315537374,0.0,0.0
Hidro,Water,2028,59260.73473599066,82369756.85574223,0.0,12391.502,1821177345.413436,542499957.56,41.27601641671221,0.5459325315542811,0.0,0.0
