component,npv_cost
TotalGenFixedCosts,111624549418.5949
StorageEnergyFixedCost,0
TxFixedCosts,6083792004.498166
EmissionsCosts,0
GenVariableOMCostsInTP,2946927404.59357
FuelCostsPerTP,3488175789.545077
