gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Hidro,Antioquia,Water,2025,34182.94331567699,47511626.784952804,0.0,5684.4600001626195,919639495.3328528,248865658.8076529,35.57378806428786,0.6864614191755994,0.0,0.0
Hidro,Antioquia,Water,2026,44694.9433143011,62123306.78339792,0.0,6884.46000016299,1252603506.2247179,301401658.8076703,36.1590898650647,0.741112952748756,0.0,0.0
Hidro,Antioquia,Water,2027,44694.94331475609,62123306.78382762,0.0,6884.460000163745,1252603506.2249503,301401658.8077058,36.159089864712215,0.7411129527562191,0.0,0.0
Hidro,Antioquia,Water,2028,44647.738769042466,62057692.4662794,0.0,6884.460000164763,1252603506.2252638,301401658.80775374,36.195850048733746,0.7403302266206053,0.0,0.0
Hidro,Antioquia,Water,2029,44694.94331443194,62123306.7834405,0.0,6884.460000166881,1252603506.2259161,301401658.80785346,36.159089864990705,0.7411129527505066,0.0,0.0
Hidro,Antioquia,Water,2030,44694.94331448293,62123306.783468574,0.0,6884.460000181767,1252603506.2304993,301401658.80855393,36.159089865068296,0.7411129527497495,0.0,0.0
Hidro,Antioquia,Water,2031,44694.94331441987,62123306.78341519,0.0,6884.460000193987,1252603506.2342615,301401658.809129,36.15908986521516,0.7411129527473885,0.0,0.0
Hidro,Antioquia,Water,2032,44694.94331433654,62123306.78332672,0.0,6884.460000205388,1252603506.2377717,301401658.80966556,36.159089865371136,0.7411129527447794,0.0,0.0
Hidro,Antioquia,Water,2033,44694.94330504455,62123306.77102154,0.0,6884.460000218378,1252603506.2417712,301401658.81027687,36.1590898727164,0.7411129525893052,0.0,0.0
Hidro,Antioquia,Water,2034,44364.1610576672,61663519.44930523,0.0,6884.460000231231,1252603506.2457285,301401658.81088173,36.418330607126144,0.7356280589984084,0.0,0.0
Hidro,Antioquia,Water,2035,44694.943313743635,62123306.78277525,0.0,6884.460000241968,1252603506.2490344,301401658.811387,36.15908986612898,0.7411129527310103,0.0,0.0
Hidro,Caribe,Water,2023,1320.2175359954713,1835102.3750337046,0.0,342.9,94389474.08762093,15012162.0,84.25637096145662,0.439515206716374,0.0,0.0
Hidro,Caribe,Water,2024,1320.217535999133,1835102.3750387947,0.0,342.9,94389474.08762093,15012162.0,84.25637096122678,0.43951520671759303,0.0,0.0
Hidro,Caribe,Water,2025,1320.2175359959392,1835102.3750343556,0.0,342.9,94389474.08762093,15012162.0,84.25637096142725,0.43951520671652977,0.0,0.0
Hidro,Caribe,Water,2026,1320.2175358547681,1835102.3748381278,0.0,342.9,94389474.08762093,15012162.0,84.25637097028816,0.4395152066695324,0.0,0.0
Hidro,Caribe,Water,2027,1320.217535832882,1835102.3748077063,0.0,342.9,94389474.08762093,15012162.0,84.2563709716619,0.4395152066622462,0.0,0.0
Hidro,Caribe,Water,2028,1320.217522716482,1835102.3565759095,0.0,342.9,94389474.08762093,15012162.0,84.25637179494173,0.4395152022956497,0.0,0.0
Hidro,Caribe,Water,2029,1320.2175356502332,1835102.3745538238,0.0,342.9,94389474.08762093,15012162.0,84.25637098312625,0.4395152066014404,0.0,0.0
Hidro,Caribe,Water,2030,1320.2175356744053,1835102.3745874232,0.0,342.9,94389474.08762093,15012162.0,84.25637098160901,0.4395152066094876,0.0,0.0
Hidro,Caribe,Water,2031,1320.2175356342998,1835102.3745316765,0.0,342.9,94389474.08762093,15012162.0,84.25637098412635,0.4395152065961359,0.0,0.0
Hidro,Caribe,Water,2032,1320.2175355847044,1835102.374462739,0.0,342.9,94389474.08762093,15012162.0,84.25637098723931,0.4395152065796252,0.0,0.0
Hidro,Caribe,Water,2033,1320.2175301442994,1835102.366900576,0.0,342.9,94389474.08762093,15012162.0,84.25637132871836,0.43951520476845335,0.0,0.0
Hidro,Caribe,Water,2034,1320.0008268769402,1834801.1493589468,0.0,342.9,94389474.08762093,15012162.0,84.26997542127306,0.43944306182325477,0.0,0.0
Hidro,Caribe,Water,2035,1320.2175352275174,1835102.3739662487,0.0,342.9,94389474.08762093,15012162.0,84.25637100965893,0.43951520646071357,0.0,0.0
Hidro,Nordeste,Water,2023,5315.234292125588,7388175.666054567,0.0,882.2,119845587.9203285,38622716.0,31.20398282952383,0.6877827085624443,0.0,0.0
