TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
Antioquia-Caribe,2023,283.8377884238844
Antioquia-Caribe,2024,215.8138672879716
Antioquia-Caribe,2025,44.59010715817137
Antioquia-Caribe,2026,4.134678632033374e-09
Antioquia-Caribe,2027,3.2535576983651693e-10
Antioquia-Caribe,2028,2.555452813675257e-10
Antioquia-Caribe,2029,2.424444373464943e-10
Antioquia-Caribe,2030,2.6419768891900747e-10
Antioquia-Caribe,2031,3.1027598580815105e-10
Antioquia-Caribe,2032,4.0133678682693786e-10
Antioquia-Caribe,2033,5.317644570947369e-10
Antioquia-Caribe,2034,7.686671521464665e-10
Antioquia-Caribe,2035,1.5237195027082657e-09
Antioquia-Nordeste,2023,3.314024738908143e-10
Antioquia-Nordeste,2024,1.6275094191215954e-10
Antioquia-Nordeste,2025,1.86998667335266e-10
Antioquia-Nordeste,2026,2.150889586883305e-10
Antioquia-Nordeste,2027,2.3195433753885443e-10
Antioquia-Nordeste,2028,2.6117933773793376e-10
Antioquia-Nordeste,2029,3.0297598247751404e-10
Antioquia-Nordeste,2030,3.660169405652747e-10
Antioquia-Nordeste,2031,4.656535464119759e-10
Antioquia-Nordeste,2032,6.301389875691657e-10
Antioquia-Nordeste,2033,9.82606419197248e-10
Antioquia-Nordeste,2034,1.9956054069626403e-09
Antioquia-Nordeste,2035,4.9621779823674325e-08
Antioquia-Oriental,2023,1.9981134044667841e-10
Antioquia-Oriental,2024,1.5102290780597306e-10
Antioquia-Oriental,2025,2.3448228707654645e-10
Antioquia-Oriental,2026,5.30686029465043e-10
Antioquia-Oriental,2027,2.476298577816208e-10
Antioquia-Oriental,2028,2.980405672960799e-10
Antioquia-Oriental,2029,7.120146797286402e-10
Antioquia-Oriental,2030,1.0382076702629438e-09
Antioquia-Oriental,2031,3.1349349188470695e-09
Antioquia-Oriental,2032,1.5350264382043206e-09
Antioquia-Oriental,2033,6.982157955834185e-10
Antioquia-Oriental,2034,1.246943516167616e-09
Antioquia-Oriental,2035,1.1498531949572017e-08
Antioquia-Surocciden,2023,4.2034959967695255e-10
Antioquia-Surocciden,2024,1.2543249652455759e-10
Antioquia-Surocciden,2025,1.4599699359885392e-10
Antioquia-Surocciden,2026,1.642379431084574e-10
Antioquia-Surocciden,2027,1.8570345362457457e-10
Antioquia-Surocciden,2028,2.113491717668481e-10
Antioquia-Surocciden,2029,2.5942869888709694e-10
Antioquia-Surocciden,2030,4.0812430650527017e-10
Antioquia-Surocciden,2031,7.895733108335781e-10
Antioquia-Surocciden,2032,6.325092146530706e-10
Antioquia-Surocciden,2033,4.813854975662444e-10
Antioquia-Surocciden,2034,8.246987732681276e-10
Antioquia-Surocciden,2035,3.3983368151473437e-09
Caribe-Nordeste,2023,5.149281534684454e-10
Caribe-Nordeste,2024,5.307484232292279e-10
Caribe-Nordeste,2025,6.66176271002856e-10
Caribe-Nordeste,2026,7.532412997105735e-10
Caribe-Nordeste,2027,2.7577986765749564e-10
Caribe-Nordeste,2028,2.4099313205631186e-10
Caribe-Nordeste,2029,2.458633857329306e-10
Caribe-Nordeste,2030,2.873197408035238e-10
Caribe-Nordeste,2031,3.500187889832767e-10
Caribe-Nordeste,2032,4.4815510430055597e-10
Caribe-Nordeste,2033,6.305511625340147e-10
Caribe-Nordeste,2034,1.0952888666238344e-09
Caribe-Nordeste,2035,4.298249727107042e-09
Nordeste-Oriental,2023,3.2223445266966955e-10
Nordeste-Oriental,2024,1.902500643050189e-10
Nordeste-Oriental,2025,2.1329308870166223e-10
Nordeste-Oriental,2026,2.47234209471624e-10
Nordeste-Oriental,2027,3.0253616130436656e-10
Nordeste-Oriental,2028,3.946559780774923e-10
Nordeste-Oriental,2029,5.675918225016939e-10
Nordeste-Oriental,2030,1.0042648601506198e-09
Nordeste-Oriental,2031,4.288288761291748e-09
Nordeste-Oriental,2032,1.0530656564473373e-09
Nordeste-Oriental,2033,5.784052666621983e-10
Nordeste-Oriental,2034,8.960790242655089e-10
Nordeste-Oriental,2035,2.006118797531558e-09
Oriental-Surocciden,2023,3.037334801840466e-10
Oriental-Surocciden,2024,1.566184520263346e-10
Oriental-Surocciden,2025,1.6352150941694678e-10
Oriental-Surocciden,2026,1.7379486018100528e-10
Oriental-Surocciden,2027,1.9280709838383535e-10
Oriental-Surocciden,2028,2.2324004312782608e-10
Oriental-Surocciden,2029,2.557522445464147e-10
Oriental-Surocciden,2030,2.950397055632111e-10
Oriental-Surocciden,2031,3.6245377786910096e-10
Oriental-Surocciden,2032,4.5628428951215884e-10
Oriental-Surocciden,2033,5.78118966454351e-10
Oriental-Surocciden,2034,8.502426861070702e-10
Oriental-Surocciden,2035,1.7812641832906028e-09
