component,npv_cost
TotalGenFixedCosts,53542681901.26343
StorageEnergyFixedCost,0
TxFixedCosts,3272521440.418894
EmissionsCosts,0
GenVariableOMCostsInTP,1765754491.484366
FuelCostsPerTP,2090284388.802062
