GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
H_ALBAN,2000,427.0
S_Dulima,2023,21.9
S_Cauca,2022,0.3
S_Ferch2,2022,0.01
S_Salado,2023,0.1
S_AutJeans,2023,1.39
S_AutPintuco,2023,1.41
S_Palmira3,2023,7.4
S_Belmonte,2021,5.06
S_Termotasajero,2022,4.0
S_Espinal,2020,9.9
S_Girasoles,2023,9.5
S_PortonSol,2023,102.0
S_Since,2022,18.5
S_HeliosI,2022,16.0
E_Jepirachi,2004,18.42
E_Wesp01,2022,12.0
E_GuajiraI,2023,20.0
S_Fundacion,2023,100.0
S_PetaCesaII,2023,9.9
S_BayuncaI,2020,3.0
S_Palmira3_Franca,2023,2.9
S_SalvadorI,2023,0.01
S_SalvadorII,2023,0.0
S_AutSolla,2023,6.4
S_AutEncanto,2023,0.9900000000000002
S_Uruaco,2023,1.0
S_Harinas,2022,2.45
S_AutLevapan,2022,4.99
S_AutGragas,2023,4.0
S_Carmelo,2020,9.9
E_ParqueAlph,2029,212.0
E_ParqueBeta,2029,280.0
E_Camelia,2028,250.0
E_Windpeshi,2028,200.0
S_BSLlanos4,2021,19.9
S_BSLlanos5,2021,17.9
S_CaracoliI,2024,50.0
S_LaLoma,2024,150.0
S_ParqueUrra,2024,19.9
S_Tepuy,2024,83.0
S_El_Paso,2023,68.0
S_LaMata,2024,80.0
S_Escobal6,2026,99.0
S_Union,2024,100.0
S_Nabusimake,2024,100.0
S_Guayepo,2024,370.0
S_Sunnorte,2024,35.0
E_CasaElec,2027,180.0
E_Apoto,2027,75.0
TermoCaribe3,2024,52.0
DST_Surocciden,2024,27.8566230966177
DST_Surocciden,2025,33.3068319633473
DST_Surocciden,2026,36.031936396712
DST_Surocciden,2027,38.7570408300768
DST_Surocciden,2028,38.7570408300768
DST_Surocciden,2029,37.2430939226519
DST_Surocciden,2030,33.0040425818623
DST_Surocciden,2031,33.0040425818623
DST_Surocciden,2032,27.5538337151327
DST_Surocciden,2033,23.920361137313
DST_Surocciden,2034,24.223150518798
DST_Surocciden,2035,20.5896779409783
