load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw,StorageNetCharge
Antioquia,2023_Q2_holidays_8h,3516.9,0,-2602.82,914.074,0
Antioquia,2023_Q2_holidays_9h,3649.58,0,-2686.46,963.115,0
Antioquia,2023_Q2_holidays_10h,3754.26,0,-2745.83,1008.42,0
Antioquia,2023_Q2_holidays_11h,3843.3,0,-2797.77,1045.53,0
Antioquia,2023_Q2_holidays_12h,3920.87,0,-2844.83,1076.04,0
Antioquia,2023_Q2_holidays_13h,3959.98,0,-2870.55,1089.43,0
Antioquia,2023_Q2_holidays_14h,3971.52,0,-2882.79,1088.74,0
Antioquia,2023_Q2_holidays_15h,3954.44,0,-2880.06,1074.39,0
Antioquia,2023_Q2_holidays_16h,3941.65,0,-2878.36,1063.29,0
Antioquia,2023_Q2_holidays_17h,3935.24,0,-2880.96,1054.29,0
Antioquia,2023_Q2_holidays_18h,3945.69,0,-2889.37,1056.32,0
Antioquia,2023_Q2_holidays_19h,4141.01,0,-2997.53,1143.48,0
Antioquia,2023_Q2_holidays_20h,4221.5,0,-3039.03,1182.47,0
Antioquia,2023_Q2_holidays_21h,4190.22,0,-3022.48,1167.74,0
Antioquia,2023_Q2_holidays_22h,4111.64,0,-2981.73,1129.91,0
Antioquia,2023_Q2_holidays_23h,3993.19,0,-2917.39,1075.81,0
Antioquia,2023_Q3_labor_0h,3698.91,0,-2573.55,1125.36,0
Antioquia,2023_Q3_labor_1h,3557.19,0,-2496.71,1060.48,0
Antioquia,2023_Q3_labor_2h,3460.85,0,-2437.32,1023.53,0
Antioquia,2023_Q3_labor_3h,3393.18,0,-2396,997.183,0
Antioquia,2023_Q3_labor_4h,3361.26,0,-2376.59,984.67,0
Antioquia,2023_Q3_labor_5h,3401.65,0,-2401.24,1000.42,0
Antioquia,2023_Q3_labor_6h,3485.13,0,-2448.15,1036.99,0
Antioquia,2023_Q3_labor_7h,3521.35,0,-2460.79,1060.56,0
Antioquia,2023_Q3_labor_8h,3664.72,0,-2537.09,1127.63,0
