PERIOD,AnnualEmissions_tCO2_per_yr,carbon_cap_tco2_per_yr,carbon_cap_dual_future_dollar_per_tco2,carbon_cost_dollar_per_tco2,carbon_cost_annual_total
2023,1.31556e+07,14260000,2.24048e-07,0,0
2025,7.17491e+06,13280000,1.01525e-07,0,0
2030,2.78977e+06,10820000,1.2062e-07,0,0
2035,2.90033e+06,8370000,1.43228e-07,0,0
2040,2.65943e+06,5910000,1.69836e-07,0,0
2045,3.46e+06,3460000,-9.67025,0,0
2050,1e+06,1000000,-175.183,0,0
