component,npv_cost
TotalGenFixedCosts,111624626219.5348
StorageEnergyFixedCost,0
TxFixedCosts,6083389037.891736
EmissionsCosts,0
GenVariableOMCostsInTP,3006509675.640141
FuelCostsPerTP,3488186623.390567
