GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
CHARQUITO,2025,Hidro,Oriental,Water,0,0,0
CHARQUITO,2030,Hidro,Oriental,Water,0,0,0
CHARQUITO,2035,Hidro,Oriental,Water,0,0,0
CHARQUITO,2040,Hidro,Oriental,Water,0,0,0
CHARQUITO,2045,Hidro,Oriental,Water,0,0,0
CHARQUITO,2050,Hidro,Oriental,Water,0,0,0
CHIVOR,2023,Hidro,Oriental,Water,0,0,0
CHIVOR,2025,Hidro,Oriental,Water,0,0,0
CHIVOR,2030,Hidro,Oriental,Water,0,0,0
CHIVOR,2035,Hidro,Oriental,Water,0,0,0
CHIVOR,2040,Hidro,Oriental,Water,0,0,0
CHIVOR,2045,Hidro,Oriental,Water,0,0,0
CHIVOR,2050,Hidro,Oriental,Water,0,0,0
CUCUANA,2023,RunOfRiver,Surocciden,Water,0,0,0
CUCUANA,2025,RunOfRiver,Surocciden,Water,0,0,0
CUCUANA,2030,RunOfRiver,Surocciden,Water,0,0,0
CUCUANA,2035,RunOfRiver,Surocciden,Water,0,0,0
CUCUANA,2040,RunOfRiver,Surocciden,Water,0,0,0
CUCUANA,2045,RunOfRiver,Surocciden,Water,0,0,0
CUCUANA,2050,RunOfRiver,Surocciden,Water,0,0,0
DARIO VALENC,2023,RunOfRiver,Oriental,Water,0,0,0
DARIO VALENC,2025,RunOfRiver,Oriental,Water,0,0,0
DARIO VALENC,2030,RunOfRiver,Oriental,Water,0,0,0
DARIO VALENC,2035,RunOfRiver,Oriental,Water,0,0,0
DARIO VALENC,2040,RunOfRiver,Oriental,Water,0,0,0
DARIO VALENC,2045,RunOfRiver,Oriental,Water,0,0,0
DARIO VALENC,2050,RunOfRiver,Oriental,Water,0,0,0
EL QUIMBO,2023,Hidro,Surocciden,Water,0,0,0
EL QUIMBO,2025,Hidro,Surocciden,Water,0,0,0
EL QUIMBO,2030,Hidro,Surocciden,Water,0,0,0
EL QUIMBO,2035,Hidro,Surocciden,Water,0,0,0
EL QUIMBO,2040,Hidro,Surocciden,Water,0,0,0
EL QUIMBO,2045,Hidro,Surocciden,Water,0,0,0
EL QUIMBO,2050,Hidro,Surocciden,Water,0,0,0
ELTESORITO,2023,Thermal,Caribe,GASNACIO,0,0,0
ELTESORITO,2025,Thermal,Caribe,GASNACIO,0,0,0
ELTESORITO,2030,Thermal,Caribe,GASNACIO,0,0,0
ELTESORITO,2035,Thermal,Caribe,GASNACIO,0,0,0
ELTESORITO,2040,Thermal,Caribe,GASNACIO,0,0,0
ELTESORITO,2045,Thermal,Caribe,GASNACIO,0,0,0
ELTESORITO,2050,Thermal,Caribe,GASNACIO,0,0,0
ESCUELAMINAS,2023,RunOfRiver,Antioquia,Water,0,0,0
ESCUELAMINAS,2025,RunOfRiver,Antioquia,Water,0,0,0
ESCUELAMINAS,2030,RunOfRiver,Antioquia,Water,0,0,0
ESCUELAMINAS,2035,RunOfRiver,Antioquia,Water,0,0,0
ESCUELAMINAS,2040,RunOfRiver,Antioquia,Water,0,0,0
ESCUELAMINAS,2045,RunOfRiver,Antioquia,Water,0,0,0
ESCUELAMINAS,2050,RunOfRiver,Antioquia,Water,0,0,0
ESMERALDA,2023,RunOfRiver,Surocciden,Water,0,0,0
ESMERALDA,2025,RunOfRiver,Surocciden,Water,0,0,0
ESMERALDA,2030,RunOfRiver,Surocciden,Water,0,0,0
ESMERALDA,2035,RunOfRiver,Surocciden,Water,0,0,0
ESMERALDA,2040,RunOfRiver,Surocciden,Water,0,0,0
ESMERALDA,2045,RunOfRiver,Surocciden,Water,0,0,0
ESMERALDA,2050,RunOfRiver,Surocciden,Water,0,0,0
FLORES 1,2023,Thermal,Caribe,GASIMPOR,0,0,0
