GEN_TPS_1,GEN_TPS_2,DispatchGen
AMOYA,447,80.0
AMOYA,448,80.0
AMOYA,449,80.0
AMOYA,450,0.00303
AMOYA,451,80.0
AMOYA,452,0.00303
AMOYA,453,80.0
AMOYA,454,80.0
AMOYA,455,4.2009284
AMOYA,456,80.0
AMOYA,457,0.02993
AMOYA,458,0.02993
AMOYA,459,0.02993
AMOYA,460,0.02993
AMOYA,461,80.0
AMOYA,462,80.0
AMOYA,463,80.0
AMOYA,464,0.02993
AMOYA,465,80.0
AMOYA,466,80.0
AMOYA,467,80.0
AMOYA,468,0.02993
AMOYA,469,80.0
AMOYA,470,80.0
AMOYA,471,80.0
AMOYA,472,0.02993
AMOYA,473,80.0
AMOYA,474,80.0
AMOYA,475,80.0
AMOYA,476,0.02993
AMOYA,477,80.0
AMOYA,478,60.122726
AMOYA,479,80.0
AMOYA,480,0.02993
AMOYA,481,80.0
AMOYA,482,51.496778
AMOYA,483,80.0
AMOYA,484,80.0
AMOYA,485,0.03678
AMOYA,486,0.03678
AMOYA,487,80.0
AMOYA,488,80.0
AMOYA,489,80.0
AMOYA,490,80.0
AMOYA,491,0.03678
AMOYA,492,80.0
AMOYA,493,0.03678
AMOYA,494,80.0
AMOYA,495,80.0
AMOYA,496,80.0
AMOYA,497,80.0
AMOYA,498,80.0
AMOYA,499,80.0
AMOYA,500,80.0
AMOYA,501,80.0
AMOYA,502,80.0
AMOYA,503,30.728111
AMOYA,504,0.03678
AMOYA,505,80.0
AMOYA,506,1.4006
AMOYA,507,1.4006
AMOYA,508,80.0
AMOYA,509,1.4006
AMOYA,510,1.4006
AMOYA,511,80.0
AMOYA,512,80.0
AMOYA,513,80.0
AMOYA,514,80.0
AMOYA,515,1.4006
AMOYA,516,80.0
AMOYA,517,80.0
AMOYA,518,80.0
AMOYA,519,80.0
AMOYA,520,52.724211
AMOYA,521,80.0
AMOYA,522,1.4006
AMOYA,523,80.0
AMOYA,524,80.0
AMOYA,525,80.0
AMOYA,526,80.0
AMOYA,527,80.0
AMOYA,528,80.0
AMOYA,529,0.00135
AMOYA,530,80.0
AMOYA,531,80.0
AMOYA,532,80.0
AMOYA,533,0.00135
AMOYA,534,80.0
AMOYA,535,80.0
AMOYA,536,0.00135
AMOYA,537,0.00135
AMOYA,538,80.0
AMOYA,539,80.0
AMOYA,540,0.00135
AMOYA,541,80.0
AMOYA,542,0.00135
AMOYA,543,80.0
AMOYA,544,80.0
AMOYA,545,0.00135
AMOYA,546,80.0
AMOYA,547,80.0
AMOYA,548,80.0
AMOYA,549,80.0
AMOYA,550,80.0
AMOYA,551,0.00135
AMOYA,552,50.740205
AMOYA,553,80.0
AMOYA,554,80.0
AMOYA,555,0.00781
AMOYA,556,60.901646
AMOYA,557,0.00781
AMOYA,558,0.00781
AMOYA,559,0.00781
AMOYA,560,80.0
AMOYA,561,80.0
AMOYA,562,0.00781
AMOYA,563,80.0
AMOYA,564,0.00781
AMOYA,565,80.0
AMOYA,566,80.0
AMOYA,567,80.0
AMOYA,568,80.0
AMOYA,569,74.000212
AMOYA,570,0.00781
AMOYA,571,0.00781
AMOYA,572,80.0
AMOYA,573,80.0
AMOYA,574,55.642332
AMOYA,575,0.00781
AMOYA,576,80.0
AMOYA,1345,0.00585
AMOYA,1346,1.5013317
AMOYA,1347,80.0
AMOYA,1348,32.235595
AMOYA,1349,59.009791
AMOYA,1350,80.0
AMOYA,1351,0.00585
AMOYA,1352,0.00585
AMOYA,1353,0.00585
AMOYA,1354,0.00585
AMOYA,1355,0.00585
AMOYA,1356,80.0
AMOYA,1357,0.00585
AMOYA,1358,80.0
AMOYA,1359,0.00585
AMOYA,1360,80.0
AMOYA,1361,0.00585
AMOYA,1362,0.00585
AMOYA,1363,0.00585
AMOYA,1364,80.0
AMOYA,1365,80.0
AMOYA,1366,80.0
AMOYA,1367,80.0
AMOYA,1368,0.00585
AMOYA,1369,0.53926
AMOYA,1370,0.53926
AMOYA,1371,0.53926
AMOYA,1372,0.53926
AMOYA,1373,0.53926
AMOYA,1374,80.0
AMOYA,1375,80.0
AMOYA,1376,80.0
AMOYA,1377,80.0
AMOYA,1378,80.0
AMOYA,1379,0.53926
AMOYA,1380,0.53926
AMOYA,1381,0.53926
AMOYA,1382,0.53926
AMOYA,1383,80.0
AMOYA,1384,0.53926
AMOYA,1385,80.0
AMOYA,1386,0.53926
AMOYA,1387,0.53926
AMOYA,1388,80.0
AMOYA,1389,0.53926
AMOYA,1390,45.068467
AMOYA,1391,80.0
AMOYA,1392,80.0
AMOYA,1393,80.0
AMOYA,1394,0.00303
AMOYA,1395,80.0
