HYDRO_GEN_TS_1,HYDRO_GEN_TS_2,Relax_Enforce_Hydro_Avg_Flow_up
H_AuresBajo,2024_Q1_holidays,1.072343318536552e-17
H_AuresBajo,2024_Q2_labor,1.0723433123211755e-17
H_AuresBajo,2024_Q2_holidays,1.0723433117253948e-17
H_AuresBajo,2024_Q3_labor,1.0723433118162665e-17
H_AuresBajo,2024_Q3_holidays,1.0723433129775372e-17
H_AuresBajo,2024_Q4_labor,1.0723433096136833e-17
H_AuresBajo,2024_Q4_holidays,1.0723433113183783e-17
H_AutCemNare,2023_Q1_labor,1.0723433325345894e-17
H_AutCemNare,2023_Q1_holidays,1.0723433309051193e-17
H_AutCemNare,2023_Q2_labor,1.07234332542494e-17
H_AutCemNare,2023_Q2_holidays,1.072343319780871e-17
H_AutCemNare,2023_Q3_labor,1.0723433241529383e-17
H_AutCemNare,2023_Q3_holidays,1.0723433220795413e-17
H_AutCemNare,2023_Q4_labor,1.0723433225900671e-17
H_AutCemNare,2023_Q4_holidays,1.0723433216717224e-17
H_AutCemNare,2024_Q1_labor,1.0723433325682901e-17
H_AutCemNare,2024_Q1_holidays,1.0723433316994934e-17
H_AutCemNare,2024_Q2_labor,1.0723433253882304e-17
H_AutCemNare,2024_Q2_holidays,1.0723433204259992e-17
H_AutCemNare,2024_Q3_labor,1.0723433241055968e-17
H_AutCemNare,2024_Q3_holidays,1.0723433229577661e-17
H_AutCemNare,2024_Q4_labor,1.0723433225405191e-17
H_AutCemNare,2024_Q4_holidays,1.0723433227230648e-17
H_AutGold,2023_Q1_labor,1.0723464739496602e-17
H_AutGold,2023_Q1_holidays,1.0723437022010496e-17
H_AutGold,2023_Q2_labor,1.0723430253687312e-17
H_AutGold,2023_Q2_holidays,1.0723492795717118e-17
H_AutGold,2023_Q3_labor,1.0723494540875052e-17
H_AutGold,2023_Q3_holidays,1.0723467297859044e-17
H_AutGold,2023_Q4_labor,1.0723490199280882e-17
H_AutGold,2023_Q4_holidays,1.0723495390646852e-17
H_AutGold,2024_Q1_labor,1.0723464753801356e-17
H_AutGold,2024_Q1_holidays,1.0723437096015683e-17
H_AutGold,2024_Q2_labor,1.0723430255781571e-17
H_AutGold,2024_Q2_holidays,1.0723493136746388e-17
H_AutGold,2024_Q3_labor,1.0723494530943368e-17
H_AutGold,2024_Q3_holidays,1.0723467773013185e-17
H_AutGold,2024_Q4_labor,1.0723490201964904e-17
H_AutGold,2024_Q4_holidays,1.0723495646619905e-17
H_Ayura,2023_Q1_labor,1.0723433127384225e-17
H_Ayura,2023_Q1_holidays,1.0723433211313072e-17
H_Ayura,2023_Q2_labor,1.0723433121195729e-17
H_Ayura,2023_Q2_holidays,1.0723433137955823e-17
H_Ayura,2023_Q3_labor,1.0723433120060336e-17
H_Ayura,2023_Q3_holidays,1.0723433132218675e-17
H_Ayura,2023_Q4_labor,1.0723433121502647e-17
H_Ayura,2023_Q4_holidays,1.0723433130409267e-17
H_Ayura,2024_Q1_labor,1.0723433127492549e-17
H_Ayura,2024_Q1_holidays,1.0723433218203668e-17
H_Ayura,2024_Q2_labor,1.0723433120979082e-17
H_Ayura,2024_Q2_holidays,1.0723433143197488e-17
H_Ayura,2024_Q3_labor,1.0723433119783509e-17
H_Ayura,2024_Q3_holidays,1.0723433138525525e-17
H_Ayura,2024_Q4_labor,1.072343312121579e-17
H_Ayura,2024_Q4_holidays,1.0723433137650911e-17
H_Barrancas,2023_Q1_labor,1.0723433878262453e-17
H_Barrancas,2023_Q1_holidays,1.0723433917481672e-17
H_Barrancas,2023_Q2_labor,1.0723434373510652e-17
H_Barrancas,2023_Q2_holidays,1.0723434403851334e-17
H_Barrancas,2023_Q3_labor,1.0723434113204649e-17
H_Barrancas,2023_Q3_holidays,1.0723434148006665e-17
H_Barrancas,2023_Q4_labor,1.0723434738198632e-17
H_Barrancas,2023_Q4_holidays,1.0723434533767629e-17
H_Barrancas,2024_Q1_labor,1.0723433878980599e-17
H_Barrancas,2024_Q1_holidays,1.0723433932965951e-17
H_Barrancas,2024_Q2_labor,1.072343437260996e-17
H_Barrancas,2024_Q2_holidays,1.0723434431078711e-17
H_Barrancas,2024_Q3_labor,1.0723434112289915e-17
H_Barrancas,2024_Q3_holidays,1.072343417456404e-17
H_Barrancas,2024_Q4_labor,1.072343473634108e-17
H_Barrancas,2024_Q4_holidays,1.0723434582814219e-17
H_Bayona,2023_Q1_labor,1.072343904604594e-17
H_Bayona,2023_Q1_holidays,1.072343895401287e-17
H_Bayona,2023_Q2_labor,1.0723439166098753e-17
H_Bayona,2023_Q2_holidays,1.0723439166197048e-17
H_Bayona,2023_Q3_labor,1.0723435578104947e-17
H_Bayona,2023_Q3_holidays,1.0723437275582373e-17
H_Bayona,2023_Q4_labor,1.0723438972401831e-17
H_Bayona,2023_Q4_holidays,1.0723438999512862e-17
H_Bayona,2024_Q1_labor,1.0723439058274488e-17
H_Bayona,2024_Q1_holidays,1.0723439118921751e-17
H_Bayona,2024_Q2_labor,1.072343916252407e-17
H_Bayona,2024_Q2_holidays,1.0723439361879906e-17
H_Bayona,2024_Q3_labor,1.0723435573312623e-17
H_Bayona,2024_Q3_holidays,1.072343745995944e-17
H_Bayona,2024_Q4_labor,1.0723438963563415e-17
H_Bayona,2024_Q4_holidays,1.0723439295166512e-17
H_Bello,2023_Q1_labor,1.072344249873936e-17
H_Bello,2023_Q1_holidays,1.0723442485421556e-17
H_Bello,2023_Q2_labor,1.0723442184448005e-17
H_Bello,2023_Q2_holidays,1.0723442226156665e-17
H_Bello,2023_Q3_labor,1.072344245553824e-17
H_Bello,2023_Q3_holidays,1.072344247404355e-17
H_Bello,2023_Q4_labor,1.0723442849058395e-17
H_Bello,2023_Q4_holidays,1.0723442915316427e-17
H_Bello,2024_Q1_labor,1.0723442507062235e-17
H_Bello,2024_Q1_holidays,1.0723442661818772e-17
H_Bello,2024_Q2_labor,1.0723442177246481e-17
H_Bello,2024_Q2_holidays,1.0723442428990896e-17
H_Bello,2024_Q3_labor,1.0723442445750989e-17
H_Bello,2024_Q3_holidays,1.072344272052022e-17
H_Bello,2024_Q4_labor,1.0723442837997335e-17
H_Bello,2024_Q4_holidays,1.0723443232488391e-17
H_Belmonte,2023_Q1_labor,1.0723433980939333e-17
H_Belmonte,2023_Q1_holidays,1.0723433986828936e-17
H_Belmonte,2023_Q2_labor,1.0723433764251698e-17
H_Belmonte,2023_Q2_holidays,1.0723433447835993e-17
H_Belmonte,2023_Q3_labor,1.072343399353498e-17
H_Belmonte,2023_Q3_holidays,1.0723433988977357e-17
H_Belmonte,2023_Q4_labor,1.0723433992092669e-17
H_Belmonte,2023_Q4_holidays,1.07234339842071e-17
H_Belmonte,2024_Q1_labor,1.0723433982903204e-17
H_Belmonte,2024_Q1_holidays,1.0723434011835678e-17
H_Belmonte,2024_Q2_labor,1.0723433763906665e-17
H_Belmonte,2024_Q2_holidays,1.0723433463944136e-17
H_Belmonte,2024_Q3_labor,1.0723433992556054e-17
H_Belmonte,2024_Q3_holidays,1.0723434021207689e-17
H_Belmonte,2024_Q4_labor,1.0723433990830897e-17
H_Belmonte,2024_Q4_holidays,1.072343402735807e-17
H_CampestreC,2023_Q1_labor,1.0723433643151753e-17
H_CampestreC,2023_Q1_holidays,1.0723433646088531e-17
H_CampestreC,2023_Q2_labor,1.0723433694964612e-17
H_CampestreC,2023_Q2_holidays,1.0723433690896453e-17
H_CampestreC,2023_Q3_labor,1.0723433664611894e-17
H_CampestreC,2023_Q3_holidays,1.0723433646878893e-17
H_CampestreC,2023_Q4_labor,1.0723433570524685e-17
H_CampestreC,2023_Q4_holidays,1.0723433567347189e-17
H_CampestreC,2024_Q1_labor,1.0723433643811726e-17
H_CampestreC,2024_Q1_holidays,1.0723433662993054e-17
H_CampestreC,2024_Q2_labor,1.0723433693977662e-17
H_CampestreC,2024_Q2_holidays,1.0723433717570176e-17
H_CampestreC,2024_Q3_labor,1.0723433663117426e-17
H_CampestreC,2024_Q3_holidays,1.0723433673398154e-17
H_CampestreC,2024_Q4_labor,1.0723433569559802e-17
H_CampestreC,2024_Q4_holidays,1.0723433579046155e-17
H_Cantayus,2023_Q1_labor,1.0723433905568063e-17
H_Cantayus,2023_Q1_holidays,1.0723433954558487e-17
H_Cantayus,2023_Q2_labor,1.0723433692593525e-17
H_Cantayus,2023_Q2_holidays,1.0723433631408655e-17
H_Cantayus,2023_Q3_labor,1.0723433363658403e-17
H_Cantayus,2023_Q3_holidays,1.0723433309488499e-17
H_Cantayus,2023_Q4_labor,1.0723433303007129e-17
H_Cantayus,2023_Q4_holidays,1.0723433255920396e-17
H_Cantayus,2024_Q1_labor,1.0723433906294234e-17
H_Cantayus,2024_Q1_holidays,1.0723433970650582e-17
H_Cantayus,2024_Q2_labor,1.072343369203987e-17
H_Cantayus,2024_Q2_holidays,1.0723433644571998e-17
H_Cantayus,2024_Q3_labor,1.0723433362954299e-17
H_Cantayus,2024_Q3_holidays,1.0723433319446261e-17
H_Cantayus,2024_Q4_labor,1.0723433302323083e-17
H_Cantayus,2024_Q4_holidays,1.0723433264327522e-17
H_Caracoli,2023_Q1_labor,2.57362388182079e-16
H_Caracoli,2023_Q1_holidays,2.5736238816020555e-16
H_Caracoli,2023_Q2_labor,1.0723433183588208e-17
H_Caracoli,2023_Q2_holidays,1.0723433182908176e-17
H_Caracoli,2023_Q3_labor,1.0723433179415737e-17
H_Caracoli,2023_Q3_holidays,1.0723433180308406e-17
H_Caracoli,2023_Q4_labor,1.0723433185307347e-17
H_Caracoli,2023_Q4_holidays,1.072343317862337e-17
H_Caracoli,2024_Q1_labor,2.5736238818987027e-16
H_Caracoli,2024_Q1_holidays,2.573623882482307e-16
H_Caracoli,2024_Q2_labor,1.0723433183716592e-17
H_Caracoli,2024_Q2_holidays,1.0723433183509975e-17
