HYDRO_GEN_TS_1,HYDRO_GEN_TS_2,Relax_Enforce_Hydro_Avg_Flow_down
ESCUELAMINAS,2023_Q1_labor,0.0
ESCUELAMINAS,2023_Q1_holidays,0.0
ESCUELAMINAS,2023_Q2_labor,0.0
ESCUELAMINAS,2023_Q2_holidays,0.0
ESCUELAMINAS,2023_Q3_labor,0.0
ESCUELAMINAS,2023_Q3_holidays,0.0
ESCUELAMINAS,2023_Q4_labor,0.0
ESCUELAMINAS,2023_Q4_holidays,0.0
ESCUELAMINAS,2024_Q1_labor,0.0
ESCUELAMINAS,2024_Q1_holidays,0.0
ESCUELAMINAS,2024_Q2_labor,0.0
ESCUELAMINAS,2024_Q2_holidays,0.0
ESCUELAMINAS,2024_Q3_labor,0.0
ESCUELAMINAS,2024_Q3_holidays,0.0
ESCUELAMINAS,2024_Q4_labor,0.0
ESCUELAMINAS,2024_Q4_holidays,0.0
ESMERALDA,2023_Q1_labor,0.0
ESMERALDA,2023_Q1_holidays,0.0
ESMERALDA,2023_Q2_labor,0.0
ESMERALDA,2023_Q2_holidays,0.0
ESMERALDA,2023_Q3_labor,0.0
ESMERALDA,2023_Q3_holidays,0.0
ESMERALDA,2023_Q4_labor,0.0
ESMERALDA,2023_Q4_holidays,0.0
ESMERALDA,2024_Q1_labor,0.0
ESMERALDA,2024_Q1_holidays,0.0
ESMERALDA,2024_Q2_labor,0.0
ESMERALDA,2024_Q2_holidays,0.0
ESMERALDA,2024_Q3_labor,0.0
ESMERALDA,2024_Q3_holidays,0.0
ESMERALDA,2024_Q4_labor,0.0
ESMERALDA,2024_Q4_holidays,0.0
GUATAPE,2023_Q1_labor,0.0
GUATAPE,2023_Q1_holidays,0.0
GUATAPE,2023_Q2_labor,0.0
GUATAPE,2023_Q2_holidays,0.0
GUATAPE,2023_Q3_labor,0.0
GUATAPE,2023_Q3_holidays,0.0
GUATAPE,2023_Q4_labor,0.0
GUATAPE,2023_Q4_holidays,0.0
GUATAPE,2024_Q1_labor,0.0
GUATAPE,2024_Q1_holidays,0.0
GUATAPE,2024_Q2_labor,0.0
GUATAPE,2024_Q2_holidays,0.0
GUATAPE,2024_Q3_labor,0.0
GUATAPE,2024_Q3_holidays,0.0
GUATAPE,2024_Q4_labor,0.0
GUATAPE,2024_Q4_holidays,0.0
GUAVIO,2023_Q1_labor,0.0
GUAVIO,2023_Q1_holidays,0.0
GUAVIO,2023_Q2_labor,0.0
GUAVIO,2023_Q2_holidays,0.0
GUAVIO,2023_Q3_labor,0.0
GUAVIO,2023_Q3_holidays,0.0
GUAVIO,2023_Q4_labor,0.0
GUAVIO,2023_Q4_holidays,0.0
GUAVIO,2024_Q1_labor,0.0
GUAVIO,2024_Q1_holidays,0.0
GUAVIO,2024_Q2_labor,0.0
GUAVIO,2024_Q2_holidays,0.0
GUAVIO,2024_Q3_labor,0.0
GUAVIO,2024_Q3_holidays,0.0
GUAVIO,2024_Q4_labor,0.0
GUAVIO,2024_Q4_holidays,0.0
H_ALBAN,2023_Q1_labor,0.0
H_ALBAN,2023_Q1_holidays,0.0
H_ALBAN,2023_Q2_labor,0.0
H_ALBAN,2023_Q2_holidays,0.0
H_ALBAN,2023_Q3_labor,0.0
H_ALBAN,2023_Q3_holidays,0.0
H_ALBAN,2023_Q4_labor,0.0
H_ALBAN,2023_Q4_holidays,0.0
H_ALBAN,2024_Q1_labor,0.0
H_ALBAN,2024_Q1_holidays,0.0
H_ALBAN,2024_Q2_labor,0.0
H_ALBAN,2024_Q2_holidays,0.0
H_ALBAN,2024_Q3_labor,0.0
H_ALBAN,2024_Q3_holidays,0.0
H_ALBAN,2024_Q4_labor,0.0
H_ALBAN,2024_Q4_holidays,0.0
H_Amalfi,2023_Q1_labor,0.0
H_Amalfi,2023_Q1_holidays,0.0
H_Amalfi,2023_Q2_labor,0.0
H_Amalfi,2023_Q2_holidays,0.0
H_Amalfi,2023_Q3_labor,0.0
H_Amalfi,2023_Q3_holidays,0.0
H_Amalfi,2023_Q4_labor,0.0
H_Amalfi,2023_Q4_holidays,0.0
H_Amalfi,2024_Q1_labor,0.0
H_Amalfi,2024_Q1_holidays,0.0
H_Amalfi,2024_Q2_labor,0.0
H_Amalfi,2024_Q2_holidays,0.0
H_Amalfi,2024_Q3_labor,0.0
H_Amalfi,2024_Q3_holidays,0.0
H_Amalfi,2024_Q4_labor,0.0
H_Amalfi,2024_Q4_holidays,0.0
H_America,2023_Q1_labor,0.0
H_America,2023_Q1_holidays,0.0
H_America,2023_Q2_labor,0.0
H_America,2023_Q2_holidays,0.0
H_America,2023_Q3_labor,0.0
H_America,2023_Q3_holidays,0.0
H_America,2023_Q4_labor,0.0
H_America,2023_Q4_holidays,0.0
H_America,2024_Q1_labor,0.0
H_America,2024_Q1_holidays,0.0
H_America,2024_Q2_labor,0.0
H_America,2024_Q2_holidays,0.0
H_America,2024_Q3_labor,0.0
H_America,2024_Q3_holidays,0.0
H_America,2024_Q4_labor,0.0
H_America,2024_Q4_holidays,0.0
H_Asnazu,2023_Q1_labor,0.0
H_Asnazu,2023_Q1_holidays,0.0
H_Asnazu,2023_Q2_labor,0.0
H_Asnazu,2023_Q2_holidays,0.0
H_Asnazu,2023_Q3_labor,0.0
H_Asnazu,2023_Q3_holidays,0.0
H_Asnazu,2023_Q4_labor,0.0
H_Asnazu,2023_Q4_holidays,0.0
H_Asnazu,2024_Q1_labor,0.0
H_Asnazu,2024_Q1_holidays,0.0
H_Asnazu,2024_Q2_labor,0.0
H_Asnazu,2024_Q2_holidays,0.0
H_Asnazu,2024_Q3_labor,0.0
H_Asnazu,2024_Q3_holidays,0.0
H_Asnazu,2024_Q4_labor,0.0
H_Asnazu,2024_Q4_holidays,0.0
H_AuresBajo,2023_Q1_labor,0.0
H_AuresBajo,2023_Q1_holidays,0.0
H_AuresBajo,2023_Q2_labor,0.0
H_AuresBajo,2023_Q2_holidays,0.0
H_AuresBajo,2023_Q3_labor,0.0
H_AuresBajo,2023_Q3_holidays,0.0
H_AuresBajo,2023_Q4_labor,0.0
H_AuresBajo,2023_Q4_holidays,0.0
H_AuresBajo,2024_Q1_labor,0.0
H_AuresBajo,2024_Q1_holidays,0.0
H_AuresBajo,2024_Q2_labor,0.0
H_AuresBajo,2024_Q2_holidays,0.0
H_AuresBajo,2024_Q3_labor,0.0
H_AuresBajo,2024_Q3_holidays,0.0
H_AuresBajo,2024_Q4_labor,0.0
H_AuresBajo,2024_Q4_holidays,0.0
H_AutCemNare,2023_Q1_labor,0.0
H_AutCemNare,2023_Q1_holidays,0.0
H_AutCemNare,2023_Q2_labor,0.0
H_AutCemNare,2023_Q2_holidays,0.0
H_AutCemNare,2023_Q3_labor,0.0
H_AutCemNare,2023_Q3_holidays,0.0
H_AutCemNare,2023_Q4_labor,0.0
H_AutCemNare,2023_Q4_holidays,0.0
H_AutCemNare,2024_Q1_labor,0.0
H_AutCemNare,2024_Q1_holidays,0.0
H_AutCemNare,2024_Q2_labor,0.0
H_AutCemNare,2024_Q2_holidays,0.0
H_AutCemNare,2024_Q3_labor,0.0
H_AutCemNare,2024_Q3_holidays,0.0
H_AutCemNare,2024_Q4_labor,0.0
H_AutCemNare,2024_Q4_holidays,0.0
H_AutGold,2023_Q1_labor,0.0
H_AutGold,2023_Q1_holidays,0.0
H_AutGold,2023_Q2_labor,0.0
H_AutGold,2023_Q2_holidays,0.0
H_AutGold,2023_Q3_labor,0.0
H_AutGold,2023_Q3_holidays,0.0
H_AutGold,2023_Q4_labor,0.0
H_AutGold,2023_Q4_holidays,0.0
H_AutGold,2024_Q1_labor,0.0
H_AutGold,2024_Q1_holidays,0.0
H_AutGold,2024_Q2_labor,0.0
H_AutGold,2024_Q2_holidays,0.0
H_AutGold,2024_Q3_labor,0.0
H_AutGold,2024_Q3_holidays,0.0
H_AutGold,2024_Q4_labor,0.0
H_AutGold,2024_Q4_holidays,0.0
H_Ayura,2023_Q1_labor,0.0
H_Ayura,2023_Q1_holidays,0.0
H_Ayura,2023_Q2_labor,0.0
H_Ayura,2023_Q2_holidays,0.0
H_Ayura,2023_Q3_labor,0.0
H_Ayura,2023_Q3_holidays,0.0
H_Ayura,2023_Q4_labor,0.0
H_Ayura,2023_Q4_holidays,0.0
H_Ayura,2024_Q1_labor,0.0
H_Ayura,2024_Q1_holidays,0.0
H_Ayura,2024_Q2_labor,0.0
H_Ayura,2024_Q2_holidays,0.0
H_Ayura,2024_Q3_labor,0.0
H_Ayura,2024_Q3_holidays,0.0
H_Ayura,2024_Q4_labor,0.0
H_Ayura,2024_Q4_holidays,0.0
H_Barrancas,2023_Q1_labor,0.0
H_Barrancas,2023_Q1_holidays,0.0
H_Barrancas,2023_Q2_labor,0.0
H_Barrancas,2023_Q2_holidays,0.0
H_Barrancas,2023_Q3_labor,0.0
H_Barrancas,2023_Q3_holidays,0.0
H_Barrancas,2023_Q4_labor,0.0
H_Barrancas,2023_Q4_holidays,0.0
H_Barrancas,2024_Q1_labor,0.0
H_Barrancas,2024_Q1_holidays,0.0
H_Barrancas,2024_Q2_labor,0.0
H_Barrancas,2024_Q2_holidays,0.0
H_Barrancas,2024_Q3_labor,0.0
H_Barrancas,2024_Q3_holidays,0.0
H_Barrancas,2024_Q4_labor,0.0
H_Barrancas,2024_Q4_holidays,0.0
H_Bayona,2023_Q1_labor,0.0
H_Bayona,2023_Q1_holidays,0.0
H_Bayona,2023_Q2_labor,0.0
H_Bayona,2023_Q2_holidays,0.0
H_Bayona,2023_Q3_labor,0.0
H_Bayona,2023_Q3_holidays,0.0
H_Bayona,2023_Q4_labor,0.0
H_Bayona,2023_Q4_holidays,0.0
H_Bayona,2024_Q1_labor,0.0
H_Bayona,2024_Q1_holidays,0.0
H_Bayona,2024_Q2_labor,0.0
H_Bayona,2024_Q2_holidays,0.0
H_Bayona,2024_Q3_labor,0.0
H_Bayona,2024_Q3_holidays,0.0
H_Bayona,2024_Q4_labor,0.0
H_Bayona,2024_Q4_holidays,0.0
H_Bello,2023_Q1_labor,0.0
H_Bello,2023_Q1_holidays,0.0
H_Bello,2023_Q2_labor,0.0
H_Bello,2023_Q2_holidays,0.0
H_Bello,2023_Q3_labor,0.0
H_Bello,2023_Q3_holidays,0.0
H_Bello,2023_Q4_labor,0.0
H_Bello,2023_Q4_holidays,0.0
H_Bello,2024_Q1_labor,0.0
H_Bello,2024_Q1_holidays,0.0
H_Bello,2024_Q2_labor,0.0
H_Bello,2024_Q2_holidays,0.0
H_Bello,2024_Q3_labor,0.0
H_Bello,2024_Q3_holidays,0.0
H_Bello,2024_Q4_labor,0.0
H_Bello,2024_Q4_holidays,0.0
H_Belmonte,2023_Q1_labor,0.0
H_Belmonte,2023_Q1_holidays,0.0
H_Belmonte,2023_Q2_labor,0.0
H_Belmonte,2023_Q2_holidays,0.0
H_Belmonte,2023_Q3_labor,0.0
H_Belmonte,2023_Q3_holidays,0.0
H_Belmonte,2023_Q4_labor,0.0
H_Belmonte,2023_Q4_holidays,0.0
H_Belmonte,2024_Q1_labor,0.0
H_Belmonte,2024_Q1_holidays,0.0
H_Belmonte,2024_Q2_labor,0.0
H_Belmonte,2024_Q2_holidays,0.0
H_Belmonte,2024_Q3_labor,0.0
H_Belmonte,2024_Q3_holidays,0.0
H_Belmonte,2024_Q4_labor,0.0
H_Belmonte,2024_Q4_holidays,0.0
H_CampestreC,2023_Q1_labor,0.0
H_CampestreC,2023_Q1_holidays,0.0
H_CampestreC,2023_Q2_labor,0.0
H_CampestreC,2023_Q2_holidays,0.0
H_CampestreC,2023_Q3_labor,0.0
H_CampestreC,2023_Q3_holidays,0.0
H_CampestreC,2023_Q4_labor,0.0
H_CampestreC,2023_Q4_holidays,0.0
H_CampestreC,2024_Q1_labor,0.0
H_CampestreC,2024_Q1_holidays,0.0
H_CampestreC,2024_Q2_labor,0.0
H_CampestreC,2024_Q2_holidays,0.0
H_CampestreC,2024_Q3_labor,0.0
H_CampestreC,2024_Q3_holidays,0.0
H_CampestreC,2024_Q4_labor,0.0
H_CampestreC,2024_Q4_holidays,0.0
H_Cantayus,2023_Q1_labor,0.0
H_Cantayus,2023_Q1_holidays,0.0
H_Cantayus,2023_Q2_labor,0.0
H_Cantayus,2023_Q2_holidays,0.0
H_Cantayus,2023_Q3_labor,0.0
H_Cantayus,2023_Q3_holidays,0.0
H_Cantayus,2023_Q4_labor,0.0
H_Cantayus,2023_Q4_holidays,0.0
H_Cantayus,2024_Q1_labor,0.0
H_Cantayus,2024_Q1_holidays,0.0
H_Cantayus,2024_Q2_labor,0.0
H_Cantayus,2024_Q2_holidays,0.0
H_Cantayus,2024_Q3_labor,0.0
H_Cantayus,2024_Q3_holidays,0.0
H_Cantayus,2024_Q4_labor,0.0
H_Cantayus,2024_Q4_holidays,0.0
H_Caracoli,2023_Q1_labor,0.0
H_Caracoli,2023_Q1_holidays,0.0
H_Caracoli,2023_Q2_labor,0.0
H_Caracoli,2023_Q2_holidays,0.0
H_Caracoli,2023_Q3_labor,0.0
H_Caracoli,2023_Q3_holidays,0.0
H_Caracoli,2023_Q4_labor,0.0
H_Caracoli,2023_Q4_holidays,0.0
H_Caracoli,2024_Q1_labor,0.0
H_Caracoli,2024_Q1_holidays,0.0
H_Caracoli,2024_Q2_labor,0.0
H_Caracoli,2024_Q2_holidays,0.0
H_Caracoli,2024_Q3_labor,0.0
H_Caracoli,2024_Q3_holidays,0.0
H_Caracoli,2024_Q4_labor,0.0
H_Caracoli,2024_Q4_holidays,0.0
H_Cascada,2023_Q1_labor,0.0
H_Cascada,2023_Q1_holidays,0.0
H_Cascada,2023_Q2_labor,0.0
H_Cascada,2023_Q2_holidays,0.0
H_Cascada,2023_Q3_labor,0.0
H_Cascada,2023_Q3_holidays,0.0
H_Cascada,2023_Q4_labor,0.0
H_Cascada,2023_Q4_holidays,0.0
H_Cascada,2024_Q1_labor,0.0
H_Cascada,2024_Q1_holidays,0.0
H_Cascada,2024_Q2_labor,0.0
H_Cascada,2024_Q2_holidays,0.0
H_Cascada,2024_Q3_labor,0.0
H_Cascada,2024_Q3_holidays,0.0
H_Cascada,2024_Q4_labor,0.0
H_Cascada,2024_Q4_holidays,0.0
H_CascadaAbe,2023_Q1_labor,0.0
H_CascadaAbe,2023_Q1_holidays,0.0
H_CascadaAbe,2023_Q2_labor,0.0
H_CascadaAbe,2023_Q2_holidays,0.0
H_CascadaAbe,2023_Q3_labor,0.0
H_CascadaAbe,2023_Q3_holidays,0.0
H_CascadaAbe,2023_Q4_labor,0.0
H_CascadaAbe,2023_Q4_holidays,0.0
H_CascadaAbe,2024_Q1_labor,0.0
H_CascadaAbe,2024_Q1_holidays,0.0
H_CascadaAbe,2024_Q2_labor,0.0
H_CascadaAbe,2024_Q2_holidays,0.0
H_CascadaAbe,2024_Q3_labor,0.0
H_CascadaAbe,2024_Q3_holidays,0.0
H_CascadaAbe,2024_Q4_labor,0.0
H_CascadaAbe,2024_Q4_holidays,0.0
H_CascadaAnt,2023_Q1_labor,0.0
H_CascadaAnt,2023_Q1_holidays,0.0
H_CascadaAnt,2023_Q2_labor,0.0
H_CascadaAnt,2023_Q2_holidays,0.0
H_CascadaAnt,2023_Q3_labor,0.0
H_CascadaAnt,2023_Q3_holidays,0.0
H_CascadaAnt,2023_Q4_labor,0.0
H_CascadaAnt,2023_Q4_holidays,0.0
H_CascadaAnt,2024_Q1_labor,0.0
H_CascadaAnt,2024_Q1_holidays,0.0
H_CascadaAnt,2024_Q2_labor,0.0
H_CascadaAnt,2024_Q2_holidays,0.0
H_CascadaAnt,2024_Q3_labor,0.0
H_CascadaAnt,2024_Q3_holidays,0.0
H_CascadaAnt,2024_Q4_labor,0.0
H_CascadaAnt,2024_Q4_holidays,0.0
H_CascadaGra,2023_Q1_labor,0.0
H_CascadaGra,2023_Q1_holidays,0.0
H_CascadaGra,2023_Q2_labor,0.0
H_CascadaGra,2023_Q2_holidays,0.0
H_CascadaGra,2023_Q3_labor,0.0
H_CascadaGra,2023_Q3_holidays,0.0
H_CascadaGra,2023_Q4_labor,0.0
H_CascadaGra,2023_Q4_holidays,0.0
H_CascadaGra,2024_Q1_labor,0.0
H_CascadaGra,2024_Q1_holidays,0.0
H_CascadaGra,2024_Q2_labor,0.0
H_CascadaGra,2024_Q2_holidays,0.0
H_CascadaGra,2024_Q3_labor,0.0
H_CascadaGra,2024_Q3_holidays,0.0
H_CascadaGra,2024_Q4_labor,0.0
H_CascadaGra,2024_Q4_holidays,0.0
H_Cauya,2023_Q1_labor,0.0
H_Cauya,2023_Q1_holidays,0.0
H_Cauya,2023_Q2_labor,0.0
H_Cauya,2023_Q2_holidays,0.0
H_Cauya,2023_Q3_labor,0.0
H_Cauya,2023_Q3_holidays,0.0
H_Cauya,2023_Q4_labor,0.0
H_Cauya,2023_Q4_holidays,0.0
H_Cauya,2024_Q1_labor,0.0
H_Cauya,2024_Q1_holidays,0.0
H_Cauya,2024_Q2_labor,0.0
H_Cauya,2024_Q2_holidays,0.0
H_Cauya,2024_Q3_labor,0.0
H_Cauya,2024_Q3_holidays,0.0
H_Cauya,2024_Q4_labor,0.0
H_Cauya,2024_Q4_holidays,0.0
H_Chorrera,2023_Q1_labor,0.0
H_Chorrera,2023_Q1_holidays,0.0
H_Chorrera,2023_Q2_labor,0.0
H_Chorrera,2023_Q2_holidays,0.0
H_Chorrera,2023_Q3_labor,0.0
H_Chorrera,2023_Q3_holidays,0.0
H_Chorrera,2023_Q4_labor,0.0
H_Chorrera,2023_Q4_holidays,0.0
H_Chorrera,2024_Q1_labor,0.0
H_Chorrera,2024_Q1_holidays,0.0
H_Chorrera,2024_Q2_labor,0.0
H_Chorrera,2024_Q2_holidays,0.0
H_Chorrera,2024_Q3_labor,0.0
H_Chorrera,2024_Q3_holidays,0.0
H_Chorrera,2024_Q4_labor,0.0
H_Chorrera,2024_Q4_holidays,0.0
H_Coconuco,2023_Q1_labor,0.0
H_Coconuco,2023_Q1_holidays,0.0
H_Coconuco,2023_Q2_labor,0.0
H_Coconuco,2023_Q2_holidays,0.0
H_Coconuco,2023_Q3_labor,0.0
H_Coconuco,2023_Q3_holidays,0.0
H_Coconuco,2023_Q4_labor,0.0
H_Coconuco,2023_Q4_holidays,0.0
H_Coconuco,2024_Q1_labor,0.0
H_Coconuco,2024_Q1_holidays,0.0
H_Coconuco,2024_Q2_labor,0.0
H_Coconuco,2024_Q2_holidays,0.0
H_Coconuco,2024_Q3_labor,0.0
H_Coconuco,2024_Q3_holidays,0.0
H_Coconuco,2024_Q4_labor,0.0
H_Coconuco,2024_Q4_holidays,0.0
H_Cocuyo,2023_Q1_labor,0.0
H_Cocuyo,2023_Q1_holidays,0.0
H_Cocuyo,2023_Q2_labor,0.0
H_Cocuyo,2023_Q2_holidays,0.0
H_Cocuyo,2023_Q3_labor,0.0
H_Cocuyo,2023_Q3_holidays,0.0
H_Cocuyo,2023_Q4_labor,0.0
H_Cocuyo,2023_Q4_holidays,0.0
H_Cocuyo,2024_Q1_labor,0.0
H_Cocuyo,2024_Q1_holidays,0.0
H_Cocuyo,2024_Q2_labor,0.0
H_Cocuyo,2024_Q2_holidays,0.0
H_Cocuyo,2024_Q3_labor,0.0
H_Cocuyo,2024_Q3_holidays,0.0
H_Cocuyo,2024_Q4_labor,0.0
H_Cocuyo,2024_Q4_holidays,0.0
H_Coello,2023_Q1_labor,0.0
H_Coello,2023_Q1_holidays,0.0
H_Coello,2023_Q2_labor,0.0
H_Coello,2023_Q2_holidays,0.0
H_Coello,2023_Q3_labor,0.0
H_Coello,2023_Q3_holidays,0.0
H_Coello,2023_Q4_labor,0.0
H_Coello,2023_Q4_holidays,0.0
H_Coello,2024_Q1_labor,0.0
H_Coello,2024_Q1_holidays,0.0
H_Coello,2024_Q2_labor,0.0
H_Coello,2024_Q2_holidays,0.0
H_Coello,2024_Q3_labor,0.0
H_Coello,2024_Q3_holidays,0.0
H_Coello,2024_Q4_labor,0.0
H_Coello,2024_Q4_holidays,0.0
H_Currucucue,2023_Q1_labor,0.0
H_Currucucue,2023_Q1_holidays,0.0
H_Currucucue,2023_Q2_labor,0.0
H_Currucucue,2023_Q2_holidays,0.0
H_Currucucue,2023_Q3_labor,0.0
H_Currucucue,2023_Q3_holidays,0.0
H_Currucucue,2023_Q4_labor,0.0
H_Currucucue,2023_Q4_holidays,0.0
H_Currucucue,2024_Q1_labor,0.0
H_Currucucue,2024_Q1_holidays,0.0
H_Currucucue,2024_Q2_labor,0.0
H_Currucucue,2024_Q2_holidays,0.0
H_Currucucue,2024_Q3_labor,0.0
