var_cap_id,timepoint_id,gen_max_capacity_factor
WindCaribe,1,0.8243657044348142
WindCaribe,10,0.7929624396528001
WindCaribe,100,0.7696964778632421
WindCaribe,101,0.770690079435734
WindCaribe,102,0.7831422591198183
WindCaribe,103,0.7751662499306272
WindCaribe,104,0.75472861103216
WindCaribe,105,0.749768925983003
WindCaribe,106,0.7482718655342747
WindCaribe,107,0.7455883429926323
WindCaribe,108,0.7436852343312106
WindCaribe,109,0.7321168181277565
WindCaribe,11,0.794729707347153
WindCaribe,110,0.7192685964229665
WindCaribe,111,0.7141091735471251
WindCaribe,112,0.7137777931801378
WindCaribe,113,0.7241542374138185
WindCaribe,114,0.7619140960292712
WindCaribe,115,0.8108697561385559
WindCaribe,116,0.8249780898312101
WindCaribe,117,0.8291431633453077
WindCaribe,118,0.8272089619139318
WindCaribe,119,0.8145086411833011
WindCaribe,12,0.7904618932677406
WindCaribe,120,0.8007598548509048
WindCaribe,121,0.7879424542653304
WindCaribe,122,0.7924541263410236
WindCaribe,123,0.7868489395593447
WindCaribe,124,0.7888212260873928
WindCaribe,125,0.7609499651870416
WindCaribe,126,0.7489684498546407
WindCaribe,127,0.7540496312634065
WindCaribe,128,0.7479394377318861
WindCaribe,129,0.7520987190509252
WindCaribe,13,0.790967584049029
WindCaribe,130,0.7729548943851466
WindCaribe,131,0.773350401516763
WindCaribe,132,0.7692787904174835
WindCaribe,133,0.7720891484643791
WindCaribe,134,0.7645442703843225
WindCaribe,135,0.7622890597861692
WindCaribe,136,0.7601426184208363
WindCaribe,137,0.7627604106530644
WindCaribe,138,0.7728822000845997
WindCaribe,139,0.8249810927042945
WindCaribe,14,0.7938997869660064
WindCaribe,140,0.8329236246212939
WindCaribe,141,0.8481775744888788
WindCaribe,142,0.8438121978318978
WindCaribe,143,0.8250823414444929
WindCaribe,144,0.8109418931964593
WindCaribe,145,0.7126276604623869
WindCaribe,146,0.7002469238035712
WindCaribe,147,0.6898917417068553
WindCaribe,148,0.682802301354544
WindCaribe,149,0.6785379905130055
WindCaribe,15,0.8030743434525535
WindCaribe,150,0.6696312243328156
WindCaribe,151,0.6606409962153216
WindCaribe,152,0.6283568721399992
WindCaribe,153,0.620382421615577
WindCaribe,154,0.6117072573596873
WindCaribe,155,0.600241077528518
WindCaribe,156,0.5844670192213068
WindCaribe,157,0.5665723974056068
WindCaribe,158,0.5550677729106246
WindCaribe,159,0.5565802637342303
WindCaribe,16,0.814752775157909
WindCaribe,160,0.5782943522146643
WindCaribe,161,0.6225361345723133
WindCaribe,162,0.6941322916977456
WindCaribe,163,0.7413863427071651
WindCaribe,164,0.7575779081597444
WindCaribe,165,0.76215152414499
WindCaribe,166,0.757468521388848
WindCaribe,167,0.7461526097114993
WindCaribe,168,0.7289372715458518
WindCaribe,169,0.7226742193451786
WindCaribe,17,0.8346296878948181
WindCaribe,170,0.7155153302397398
WindCaribe,171,0.7016278779849205
WindCaribe,172,0.6978229043853462
WindCaribe,173,0.6955612576174194
WindCaribe,174,0.6871675040380641
WindCaribe,175,0.6721496053799263
WindCaribe,176,0.648111998039718
WindCaribe,177,0.6379658423024052
WindCaribe,178,0.6260020467443207
WindCaribe,179,0.6199737407119759
WindCaribe,18,0.8717417645804301
WindCaribe,180,0.6000482510829911
WindCaribe,181,0.5789391215567581
WindCaribe,182,0.566022493008493
WindCaribe,183,0.5622747877344916
WindCaribe,184,0.5804088850809436
WindCaribe,185,0.6202025833967666
WindCaribe,186,0.6775248445798829
WindCaribe,187,0.7199739023569749
WindCaribe,188,0.7474723176176769
WindCaribe,189,0.7570458363834947
WindCaribe,19,0.892039253798509
WindCaribe,190,0.746156024878203
WindCaribe,191,0.7343723773681012
WindCaribe,192,0.7246459581597758
WindCaribe,2,0.8187613923031832
WindCaribe,20,0.88998441373918
WindCaribe,21,0.8831142181945458
WindCaribe,22,0.8701716925122297
WindCaribe,23,0.8565884202263775
WindCaribe,24,0.839106678892423
WindCaribe,25,0.839296057417188
WindCaribe,26,0.8290245732430268
WindCaribe,27,0.8343918975238432
WindCaribe,28,0.8315014991025064
WindCaribe,29,0.8361420770435898
WindCaribe,3,0.8135589759783332
WindCaribe,30,0.8332216086293035
WindCaribe,31,0.8156963356126959
WindCaribe,32,0.8170301860691476
WindCaribe,33,0.8110992494402917
WindCaribe,34,0.7939223483873823
WindCaribe,35,0.7988974934063018
WindCaribe,36,0.792617561496538
WindCaribe,37,0.7875104253246231
WindCaribe,38,0.787368468237642
WindCaribe,39,0.7985300350996605
WindCaribe,4,0.8125266053435403
WindCaribe,40,0.8144226806569531
WindCaribe,41,0.8436367194266455
WindCaribe,42,0.8795684190762955
WindCaribe,43,0.8962496483164714
WindCaribe,44,0.888984829060092
WindCaribe,45,0.8813808914590674
WindCaribe,46,0.8683033288106353
WindCaribe,47,0.8509395579726854
WindCaribe,48,0.8344232867910278
WindCaribe,49,0.7893752215490811
WindCaribe,5,0.8096288491260267
WindCaribe,50,0.781237229800258
WindCaribe,51,0.774120092565013
WindCaribe,52,0.7719644474685884
WindCaribe,53,0.7721994769836987
WindCaribe,54,0.7696029343181077
WindCaribe,55,0.74808778659793
WindCaribe,56,0.7462924018639391
WindCaribe,57,0.7419971334722
WindCaribe,58,0.7482578446662238
WindCaribe,59,0.7534444446454373
WindCaribe,6,0.8088630188914839
WindCaribe,60,0.754691938871745
WindCaribe,61,0.7472497008076157
WindCaribe,62,0.7440762143858352
WindCaribe,63,0.7490620499140369
WindCaribe,64,0.7662292667635756
WindCaribe,65,0.7811781508162124
WindCaribe,66,0.8136588361417485
WindCaribe,67,0.8381180950912405
WindCaribe,68,0.8395520114206646
WindCaribe,69,0.8361955015400819
WindCaribe,7,0.7993273531514161
WindCaribe,70,0.8288269680875752
WindCaribe,71,0.8151328272342605
WindCaribe,72,0.8010404552351372
WindCaribe,73,0.7874153415843018
WindCaribe,74,0.7783088328733418
WindCaribe,75,0.7847894630855361
WindCaribe,76,0.7848370554455251
WindCaribe,77,0.7806338100438143
WindCaribe,78,0.7808795782343086
WindCaribe,79,0.7467683603286365
WindCaribe,8,0.7958639426485834
WindCaribe,80,0.744883411750093
WindCaribe,81,0.747302965077048
WindCaribe,82,0.7524486652682185
WindCaribe,83,0.7532291752103671
WindCaribe,84,0.7485903933873609
WindCaribe,85,0.7443363782611657
WindCaribe,86,0.7425829148453507
WindCaribe,87,0.749857376935876
WindCaribe,88,0.7706684380134607
WindCaribe,89,0.7862073257409762
WindCaribe,9,0.7963464504310914
WindCaribe,90,0.8002965583143932
WindCaribe,91,0.8375169869683194
WindCaribe,92,0.8395290936373615
WindCaribe,93,0.8397563207778944
WindCaribe,94,0.8254326536113076
WindCaribe,95,0.8053257210097223
WindCaribe,96,0.7869297154428304
WindCaribe,97,0.790666008943254
WindCaribe,98,0.7752802095291984
WindCaribe,99,0.7683372466291346
SolarAntioquia,1,0.0
SolarAntioquia,10,0.5312126144086621
SolarAntioquia,100,0.0
SolarAntioquia,101,0.0
SolarAntioquia,102,0.0002301437673871313
SolarAntioquia,103,0.04829311928519654
SolarAntioquia,104,0.18154491198570655
SolarAntioquia,105,0.3404775986743822
SolarAntioquia,106,0.48924390332328604
SolarAntioquia,107,0.6035354102132064
SolarAntioquia,108,0.665747881543274
SolarAntioquia,109,0.6648697754818269
SolarAntioquia,11,0.6634796569828519
SolarAntioquia,110,0.6022551936578391
SolarAntioquia,111,0.4886720605198557
SolarAntioquia,112,0.34373288723220763
SolarAntioquia,113,0.19302548326737692
SolarAntioquia,114,0.05874607187744944
SolarAntioquia,115,0.0009086069536723873
SolarAntioquia,116,0.0
SolarAntioquia,117,0.0
SolarAntioquia,118,0.0
SolarAntioquia,119,0.0
SolarAntioquia,12,0.7373817097834569
SolarAntioquia,120,0.0
SolarAntioquia,121,0.0
SolarAntioquia,122,0.0
SolarAntioquia,123,0.0
SolarAntioquia,124,0.0
SolarAntioquia,125,0.0
SolarAntioquia,126,0.00022942393776929516
SolarAntioquia,127,0.04819458301170043
SolarAntioquia,128,0.18129733273224774
SolarAntioquia,129,0.34006026141876533
SolarAntioquia,13,0.7407435954373919
SolarAntioquia,130,0.4887944967784503
SolarAntioquia,131,0.6031368645675229
SolarAntioquia,132,0.6653466866505349
SolarAntioquia,133,0.6647391753727296
SolarAntioquia,134,0.6026372091037169
SolarAntioquia,135,0.4888877427076305
SolarAntioquia,136,0.3438556121011258
SolarAntioquia,137,0.19306455164220132
SolarAntioquia,138,0.058803806649291926
SolarAntioquia,139,0.0009080635284431846
SolarAntioquia,14,0.6729989342050894
SolarAntioquia,140,0.0
SolarAntioquia,141,0.0
SolarAntioquia,142,0.0
SolarAntioquia,143,0.0
SolarAntioquia,144,0.0
SolarAntioquia,145,0.0
SolarAntioquia,146,0.0
SolarAntioquia,147,0.0
SolarAntioquia,148,0.0
SolarAntioquia,149,0.0
SolarAntioquia,15,0.5454638667288735
SolarAntioquia,150,5.811563115034234e-05
SolarAntioquia,151,0.036594668837164834
SolarAntioquia,152,0.1634485775291766
SolarAntioquia,153,0.32223806632925106
SolarAntioquia,154,0.47405914195198895
SolarAntioquia,155,0.5930250121688472
SolarAntioquia,156,0.6584492113042075
SolarAntioquia,157,0.6583495754071714
SolarAntioquia,158,0.5948448260328651
SolarAntioquia,159,0.4789965382516546
SolarAntioquia,16,0.3800493943565734
SolarAntioquia,160,0.3314124896314053
SolarAntioquia,161,0.17895287872589843
SolarAntioquia,162,0.05111735091694375
SolarAntioquia,163,0.00013525034733541714
SolarAntioquia,164,0.0
SolarAntioquia,165,0.0
SolarAntioquia,166,0.0
SolarAntioquia,167,0.0
SolarAntioquia,168,0.0
SolarAntioquia,169,0.0
SolarAntioquia,17,0.2043039759687841
SolarAntioquia,170,0.0
