GENERATION_PROJECT,Values_Name,Values_Code,Value
H_Pocune,POCUNE,3AFQ,1000.0
H_Porce3Meno,PORCE III MENOR,2S8U,1800.0
H_ProvidencI,PROVIDENCIA,PRV1,4900.0
H_Puente_Gui,PUENTE GUILLERMO,PTG1,4200.0
H_Remedios,REMEDIOS,PMR1,750.0
H_RioBobo,RIO BOBO,RBB1,4000.0
H_RioCali,RIO CALI,RCL1,1800.0
H_RioFrioI,RIO FRIO I,RFR1,1670.0
H_RioFrioII,RIO FRIO II,RFR2,10000.0
H_RioFrioTam,RIOFRIO (TAMESIS),TMS1,1000.0
H_RioGrande,RIO GRANDE,RGR1,300.0
H_RioMayo,RIO MAYO,RMYO,19800.0
H_RioMulato2,MULATOS II,2WC5,7340.0
H_RioNegro,RIONEGRO,RNG1,10200.0
H_RioPalo,RIO PALO,LPLO,1440.0
H_RioPiedras,RIO PIEDRAS,RPD1,19900.0
H_RioSapuye,RIO SAPUYES,SPY1,1650.0
H_Rio_Recio,RIO RECIO,RCIO,984.0
H_Rumor,RUMOR,RMR1,2500.0
H_SBartolome,SAN BARTOLOME,3HDE,19900.0
H_SFrancisPu,SAN FRANCISCO (PUTUMAYO),SFC1,468.0
H_Sajandi,SAJANDI,SJN1,3200.0
H_SanAndres2,SAN ANDRES DE CUERQUIA,2ZCF,19900.0
H_SanCancio,SAN CANCIO,SNC1,2000.0
H_SanJosMoII,SAN JOSE DE LA MONTAÑA II,2UR5,1100.0
H_SanJose,SAN JOSE,SJOG,380.0
H_SanMatias,SAN MATIAS,2T4P,19900.0
H_SanjoseMon,SAN JOSE DE LA MONTAÑA,SJM1,400.0
H_SantaAna,SANTA ANA,SNT1,8000.0
H_SantaRita,SANTA RITA,SRA1,1300.0
H_Santiago,SANTIAGO,STG1,2800.0
H_Silvia,SILVIA,SLV1,380.0
H_Sonson,SONSON,SNS1,18500.0
H_Suba,SUBA,SBA1,2600.0
H_Sueva2,SUEVA 2,SUV1,6000.0
H_TZII,TZ II,3H2U,-1.0
H_TuluaAlto,ALTO TULUA,ALTG,19900.0
H_TuluaBajo,BAJO TULUA,2QV2,19900.0
H_Tumaco1,CENTRAL TUMACO 1,CTMO,-1.0
H_Tunjita,TUNJITA,TUJ1,19700.0
H_Union,UNION,UNN1,700.0
H_Urrao,URRAO,PLU1,1030.0
H_Usaquen,USAQUEN,USQ1,1800.0
H_VentanaA,VENTANA A,VNTA,2500.0
H_VentanaB,VENTANA B,VNTB,2500.0
H_Violetas,LAS VIOLETAS,3DXJ,945.0
H_Zeus,ZEUS,3E9I,9900.0
INSULA,INSULA,INS1,19000.0
ITUANGO,ITUANGO,PES1,1200000.0
JAGUAS,JAGUAS,JAGS,170000.0
LA TASAJERA,LA TASAJERA,LTSJ,306000.0
MERILECTRICA,MERILECTRICA 1,MRL1,164000.0
MIEL I,MIEL I,HMLG,396000.0
PAIPA 1,PAIPA 1,PPA1,36000.0
PAIPA 2,PAIPA 2,PPA2,72000.0
PAIPA 3,PAIPA 3,PPA3,70000.0
PAIPA 4,PAIPA 4,PPA4,165000.0
PLAYAS,PLAYAS,PLYS,207000.0
PORCE II,PORCE II,PRC2,405000.0
PORCE III,PORCE III,PRC3,700000.0
PRADO,PRADO,PRDO,51000.0
PRADO4,PRADO IV,PRD4,5000.0
PROELECTRIC1,PROELECTRICA 1,PRG1,45000.0
PROELECTRIC2,PROELECTRICA 2,PRG2,45000.0
RIOGRANDE 1,RIOGRANDE I,RGRN,19000.0
SALTO II,SALTO II,2QEK,35000.0
SALVAJINA,SALVAJINA,SLVJ,315000.0
SAN CARLOS,SAN CARLOS,SNCR,1240000.0
SANFRANCISCO,SAN FRANCISCO,SNFR,135000.0
SNMIGUEL,SAN MIGUEL,SMI1,50000.0
SOGAMOSO,SOGAMOSO,SOG1,819000.0
S_Alejandria,SOLAR ALEJANDRIA,3K6T,9400.0
S_Andaluci,AGPE ANDALUCIA TALLER,3K7P,20.0
S_Aurora,GY SOLAR AURORA,3CSH,9900.0
S_AutEncanto,AGPE EL ENCANTO,3HWK,986.0
S_AutGragas,AUTOG BUGA I GRASAS,3GSF,4000.0
S_AutJeans,AUTOG CI JEANS,3F5L,1392.0
S_AutLevapan,AUTOG CELSIA SOLAR LEVAPAN,3E7C,4990.0
S_AutPintuco,AUTOG PINTUCO,3F5N,1406.0
S_AutSolla,AUTOG BUGA I SOLLA,3HS9,6400.0
S_BSBolvr503,BSB 503,3K8C,-1.0
S_BSBolvr504,BSB 504,3K8E,-1.0
S_BSLI,TRINA-VATIA BSLI,2ZP9,19900.0
S_BSLII,TRINA-VATIA BSLII,TR2G,19900.0
S_BSLIII,TRINA-VATIA BSLIII,TR3G,19900.0
S_BSLlanos4,BOSQUES SOLARES DE LOS LLANOS 4,3EFY,19900.0
S_BSLlanos5,BOSQUES SOLARES DE LOS LLANOS 5,3EDL,17900.0
S_Baranoa,AGPE ARA BARANOA CENTRO,3NG5,-1.0
S_BayuncaI,PLANTA SOLAR BAYUNCA I,3A44,3000.0
S_Belmonte,GRANJA SOLAR BELMONTE,3B4L,5060.0
S_Cabelleros,LOS CABALLEROS,3EV1,11500.0
S_CaracoliI,CARACOLI I,3INX,-1.0
S_Carmelo,CELSIA SOLAR CARMELO,3ACC,9900.0
S_Cauca,AUTOG COLOMBINA DEL CAUCA,3E98,-1.0
S_Cerrito,CERRITOS,3EXB,11500.0
S_Cienaguero,CAIMAN CIENAGUERO,3J4D,9000.0
S_Dulima,CELSIA SOLAR DULIMA,3GVK,21900.0
S_El_Paso,EL PASO,EPFV,68000.0
S_Escobal6,ESCOBAL 6,XXXX,-1.0
S_Espinal,CELSIA SOLAR ESPINAL,2ZHY,9900.0
S_Ferch2,AGPE FERCH2,3GFQ,6.75
S_Flandes,GRANJA SOLAR FLANDES,3GVI,21900.0
S_Fundacion,FUNDACION,3HF5,-1.0
S_Girasoles,LOS GIRASOLES,3HLD,9500.0
S_Guayepo,GUAYEPO,GYPO,-1.0
S_Harinas,AUTOG CELSIA SOLAR HARINAS,3EP6,2450.0
S_HeliosI,HELIOS I,3DSO,16000.0
S_LaLoma,LATAM SOLAR LA LOMA,3DDT,-1.0
S_LaMata,LA MATA,MATA,-1.0
S_Lanceros,GRANJA SOLAR LANCEROS,3FCF,9100.0
S_Medin,LA MEDINA,3EV3,11500.0
S_Montelibano,MONTELIBANO,3GPZ,9900.0
S_Nabusimake,NABUSIMAKE,XXXX,-1.0
S_Numbana,NUMBANA,3J85,-1.0
S_Paila,CELSIA SOLAR LA PAILA,3BZB,9900.0
S_Palmira3,AUTOG CELSIA SOLAR PALMIRA 3,3FCD,7400.0
S_Palmira3_Franca,AUTOG CELSIA SOLAR PALMIRA 3 ZONA FRANCA,3HE8,2900.0
S_ParqueUrra,PARQUE SOLAR URRA,XXXX,-1.0
S_PetaCesaII,PETALO DEL MAGDALENA,3HWM,9900.0
S_PetaloCesa,PETALO DE CORDOBA II,3J2H,9900.0
S_PlanetaRic,SOLAR PLANETA RICA,3J2B,19900.0
S_PortonSol,PORTON DEL SOL,3IRX,102000.0
S_Salado,GRANJA SOLAR EL SALADO,3GI6,100.0
S_SalvadorI,COMUNIDAD EL SALVADOR I,3HG7,12.699999999999998
S_SalvadorII,COMUNIDAD EL SALVADOR II,3HG9,3.7000000000000006
S_SanFelipe,GRANJA SOLAR SAN FELIPE,3GRD,9100.0
S_Sierpe,LA SIERPE,3C3Z,19900.0
S_Since,SINCE,3ENE,18500.0
S_SolBolivar,CELSIA SOLAR BOLIVAR,2VJS,8060.0
S_Sunnorte,SUNNORTE,3IQA,-1.0
S_Tepuy,PARQUE SOLAR TEPUY,TPUY,-1.0
S_Termotasajero,TERMOTASAJERO DOS SOLAR,3GJQ,4000.0
S_TierraLind,TIERRA LINDA,3HBN,9900.0
S_Tolua,LA TOLUA,3HBP,19900.0
S_Tucanes,GR PARQUE SOLAR TUCANES,3EBN,9900.0
S_Union,PARQUE SOLAR LA UNION,3IZ6,-1.0
S_Uruaco,URUACO,3HYG,996.0
S_Victoria_I,CELSIA SOLAR LA VICTORIA I,3HF9,21900.0
S_Victoria_II,CELSIA SOLAR LA VICTORIA II,3HF7,21900.0
S_Yuma,CELSIA SOLAR YUMA,3GVM,9100.0
S_Yumbo,AUTOG CELSIA SOLAR YUMBO,2TYI,9800.0
TASAJERO 1,TASAJERO 1,TSJ1,165000.0
TASAJERO 2,TASAJERO 2,TSJ2,170000.0
TC_GECELCA3,GECELCA 3,GEC3,164000.0
TC_GECELCA32,GECELCA 32,GE32,270000.0
TEBSAB,TEBSAB CC,TBST,791000.0
TEQUEND1-4,TEQUENDAMA 1,2UPJ,14200.0
TERMO YOPAL2,TERMOYOPAL 2,TYP2,28000.0
TERMOCENTRO,TERMOCENTRO CC,TRM1,272000.0
TERMODORADA1,TERMODORADA 1,TDR1,50000.0
TERMOEMCALI,TERMOEMCALI CC,TEC1,229000.0
TERMONORTE,TERMONORTE,TRN1,88000.0
TERMORUBIALE,TERMOEBR,RUB1,-1.0
TERMOSIERRA,TERMOSIERRA CC,TSR1,433000.0
TERMOVALLE,TERMOVALLE CC,TVL1,241000.0
TERMOYOPALG3,TERMOYOPAL G3,TYP3,50000.0
TERMOYOPALG4,TERMOYOPAL G4,TYP4,50000.0
TERMOYOPALG5,TERMOYOPAL G5,TYP5,50000.0
TERMO_JAGUEY,TERMOPROYECTOS,JAG1,-1.0
T_ArgoCartag,AUTOG ARGOS CARTAGENA 1,ARG1,16000.0
T_ArgosYumbo,AUTOG ARGOS YUMBO,2S6S,9900.0
T_AutArCairo,AUTOG ARGOS EL CAIRO,2S6U,6500.0
T_AutCostayaco,AUTOG COSTAYACO,3IJF,2000.0
T_AutFertico,AUTOG FERTICOL,2YQO,-1.0
T_AutHormiga,AGPE - ECOPETROL LA HORMIGA,2XXR,1000.0
T_AutLuisa,AUTOG INGENIO MARIA LUISA 1,3C3X,1800.0
T_AutOcciden,AGPE INGENIO DE OCCIDENTE,3AXV,1000.0
T_AutToluviejo,AUTOG ARGOS TOLUVIEJO,2S8G,-1.0
T_AutTurgas,AUTOG TURGAS,2YWY,3500.0
T_AutoFamili,AUTOG FAMILIA,2W4Y,-1.0
T_AutoSogamo,AUTOG ARGOS SOGAMOSO 1,2V25,15000.0
T_AutoYaguar,AUTOG YAGUARITO,2S6Q,1600.0
T_AutogCDSTM,AUTOG CDS TM2500,2Y2T,-1.0
T_Bello,AUTOG PTAR BELLO,3ADA,5000.0
T_Bioenergy,BIOENERGY,2SXQ,19900.0
T_BiogDJuana,DOÑA JUANA,2S8S,1700.0
T_Castilla1,CENTRAL CASTILLA 1,CAS1,3000.0
T_CoCocaCola,AUTOG COCA-COLA FEMSA 1,2V27,2440.0
T_CoColtejer,COGENERADOR COLTEJER 1,CLTJ,-1.0
T_CoIngscarl,INGENIO SAN CARLOS 1,CIS1,2000.0
T_CoManuelit,COGENERADOR MANUELITA 2,2UP2,12000.0
T_CoMayagues,MAYAGUEZ 1,CGM1,19900.0
T_CoProviden,INGENIO PROVIDENCIA 2,CIP1,19900.0
T_CoRioPaila,INGENIO RIOPAILA 1,RPL1,16000.0
T_CoRisarald,INGENIO RISARALDA 1,IRG1,19900.0
T_CogIncauca,INCAUCA 1,INC1,60000.0
T_CogPapeles,PAPELES NACIONALES,PPN1,-1.0
T_CogProenca,COGENERADOR PROENCA,PNC1,19900.0
T_EgipPalmas,AGPE ENTREPALMAS,3AL6,500.0
T_IngCarmerI,AUTOG INGENIO CARMELITA,3GJU,4990.0
T_IngPichich,INGENIO PICHICHI 1,PIC1,-1.0
T_Mechero4,TERMOMECHERO 4,2U93,19300.0
T_Mechero5,TERMOMECHERO 5,2U8Y,19300.0
T_Mechero6,TERMOMECHERO 6,2U91,19300.0
T_Piedras,TERMOPIEDRAS,TPD1,3750.0
T_ProencaII,PROENCA II,2U5P,17000.0
T_Reficar,AUTOG REFICAR 1,2S8I,9900.0
T_Tequendama,TEQUENDAMA BIOGAS,2S9Q,2250.0
T_TerBolivar,TERMOBOLIVAR 1,TMB1,9700.0
T_TerCapacho,TERMOCAPACHOS,2WFN,9900.0
T_TermYopal1,TERMOYOPAL 1,TYP1,8000.0
T_Termotame,AUTOG TERMOTAME,3C4V,5000.0
T_UatOrito,AUTOG ECOPETROL ORITO,2YB9,-1.0
TermoCaribe3,TERMOCARIBE III 1,TCBE,52000.0
URRA,URRA,URA1,338000.0
ZIPAEMG2,ZIPAEMG 2,ZPA2,36000.0
ZIPAEMG3,ZIPAEMG 3,ZPA3,63000.0
ZIPAEMG4,ZIPAEMG 4,ZPA4,64000.0
ZIPAEMG5,ZIPAEMG 5,ZPA5,63000.0
