PERIOD,carbon_cap_tco2_per_yr,carbon_cost_dollar_per_tco2
2023,14.26,.
2024,13.77,.
2025,13.28,.
2026,12.79,.
2027,12.30,.
2028,11.80,.
2029,11.31,.
2030,10.82,.
2031,10.33,.
2032,9.84,.
2033,9.35,.
2034,8.86,.
2035,8.37,.
2036,7.88,.
2037,7.38,.
2038,6.89,.
2039,6.40,.
2040,5.91,.
2041,5.42,.
2042,4.93,.
2043,4.44,.
2044,3.95,.
2045,3.46,.
2046,2.96,.
2047,2.47,.
2048,1.98,.
2049,1.49,.
2050,1.00,.
