GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
CARTAGENA2,2030,Thermal,Caribe,COMBUSTOLEO,60,0,6.8742e+06,8.5932e+06
CARTAGENA2,2035,Thermal,Caribe,COMBUSTOLEO,60,0,6.8742e+06,8.5932e+06
CARTAGENA2,2040,Thermal,Caribe,COMBUSTOLEO,60,0,6.8742e+06,8.5932e+06
CARTAGENA2,2045,Thermal,Caribe,COMBUSTOLEO,60,0,6.8742e+06,8.5932e+06
CARTAGENA2,2050,Thermal,Caribe,COMBUSTOLEO,60,0,6.8742e+06,8.5932e+06
CARTAGENA3,2023,Thermal,Caribe,COMBUSTOLEO,66,0,7.5735e+06,9.45252e+06
CARTAGENA3,2025,Thermal,Caribe,COMBUSTOLEO,66,0,7.5735e+06,9.45252e+06
CARTAGENA3,2030,Thermal,Caribe,COMBUSTOLEO,66,0,7.5735e+06,9.45252e+06
CARTAGENA3,2035,Thermal,Caribe,COMBUSTOLEO,66,0,7.5735e+06,9.45252e+06
CARTAGENA3,2040,Thermal,Caribe,COMBUSTOLEO,66,0,7.5735e+06,9.45252e+06
CARTAGENA3,2045,Thermal,Caribe,COMBUSTOLEO,66,0,7.5735e+06,9.45252e+06
CARTAGENA3,2050,Thermal,Caribe,COMBUSTOLEO,66,0,7.5735e+06,9.45252e+06
CHARQUITO,2023,Hidro,Oriental,Water,19.4,0,5.38292e+06,849332
CHARQUITO,2025,Hidro,Oriental,Water,19.4,0,5.38292e+06,849332
CHARQUITO,2030,Hidro,Oriental,Water,19.4,0,5.38292e+06,849332
CHARQUITO,2035,Hidro,Oriental,Water,19.4,0,5.38292e+06,849332
CHARQUITO,2040,Hidro,Oriental,Water,19.4,0,5.38292e+06,849332
CHARQUITO,2045,Hidro,Oriental,Water,19.4,0,5.38292e+06,849332
CHARQUITO,2050,Hidro,Oriental,Water,19.4,0,5.38292e+06,849332
CHIVOR,2023,Hidro,Oriental,Water,1000,0,1.1529e+08,4.378e+07
CHIVOR,2025,Hidro,Oriental,Water,1000,0,1.1529e+08,4.378e+07
CHIVOR,2030,Hidro,Oriental,Water,1000,0,1.1529e+08,4.378e+07
CHIVOR,2035,Hidro,Oriental,Water,1000,0,1.1529e+08,4.378e+07
CHIVOR,2040,Hidro,Oriental,Water,1000,0,1.1529e+08,4.378e+07
CHIVOR,2045,Hidro,Oriental,Water,1000,0,1.1529e+08,4.378e+07
CHIVOR,2050,Hidro,Oriental,Water,1000,0,1.1529e+08,4.378e+07
CUCUANA,2023,RunOfRiver,Surocciden,Water,56,0,6.51168e+06,2.45168e+06
CUCUANA,2025,RunOfRiver,Surocciden,Water,56,0,6.51168e+06,2.45168e+06
CUCUANA,2030,RunOfRiver,Surocciden,Water,56,0,6.51168e+06,2.45168e+06
CUCUANA,2035,RunOfRiver,Surocciden,Water,56,0,6.51168e+06,2.45168e+06
CUCUANA,2040,RunOfRiver,Surocciden,Water,56,0,6.51168e+06,2.45168e+06
CUCUANA,2045,RunOfRiver,Surocciden,Water,56,0,6.51168e+06,2.45168e+06
CUCUANA,2050,RunOfRiver,Surocciden,Water,56,0,6.51168e+06,2.45168e+06
DARIO VALENC,2023,RunOfRiver,Oriental,Water,150,0,1.74555e+07,6.567e+06
DARIO VALENC,2025,RunOfRiver,Oriental,Water,150,0,1.74555e+07,6.567e+06
DARIO VALENC,2030,RunOfRiver,Oriental,Water,150,0,1.74555e+07,6.567e+06
DARIO VALENC,2035,RunOfRiver,Oriental,Water,150,0,1.74555e+07,6.567e+06
DARIO VALENC,2040,RunOfRiver,Oriental,Water,150,0,1.74555e+07,6.567e+06
DARIO VALENC,2045,RunOfRiver,Oriental,Water,150,0,1.74555e+07,6.567e+06
DARIO VALENC,2050,RunOfRiver,Oriental,Water,150,0,1.74555e+07,6.567e+06
EL QUIMBO,2023,Hidro,Surocciden,Water,400,0,4.6728e+07,1.7512e+07
EL QUIMBO,2025,Hidro,Surocciden,Water,400,0,4.6728e+07,1.7512e+07
EL QUIMBO,2030,Hidro,Surocciden,Water,400,0,4.6728e+07,1.7512e+07
EL QUIMBO,2035,Hidro,Surocciden,Water,400,0,4.6728e+07,1.7512e+07
EL QUIMBO,2040,Hidro,Surocciden,Water,400,0,4.6728e+07,1.7512e+07
EL QUIMBO,2045,Hidro,Surocciden,Water,400,0,4.6728e+07,1.7512e+07
EL QUIMBO,2050,Hidro,Surocciden,Water,400,0,4.6728e+07,1.7512e+07
ELTESORITO,2023,Thermal,Caribe,GASNACIO,200,0,5.5368e+07,2.8644e+07
ELTESORITO,2025,Thermal,Caribe,GASNACIO,200,0,5.5368e+07,2.8644e+07
ELTESORITO,2030,Thermal,Caribe,GASNACIO,200,0,5.5368e+07,2.8644e+07
ELTESORITO,2035,Thermal,Caribe,GASNACIO,200,0,5.5368e+07,2.8644e+07
ELTESORITO,2040,Thermal,Caribe,GASNACIO,200,0,5.5368e+07,2.8644e+07
ELTESORITO,2045,Thermal,Caribe,GASNACIO,200,0,5.5368e+07,2.8644e+07
ELTESORITO,2050,Thermal,Caribe,GASNACIO,200,0,5.5368e+07,2.8644e+07
ESCUELAMINAS,2023,RunOfRiver,Antioquia,Water,55,0,1.52609e+07,2.4079e+06
ESCUELAMINAS,2025,RunOfRiver,Antioquia,Water,55,0,1.52609e+07,2.4079e+06
ESCUELAMINAS,2030,RunOfRiver,Antioquia,Water,55,0,1.52609e+07,2.4079e+06
ESCUELAMINAS,2035,RunOfRiver,Antioquia,Water,55,0,1.52609e+07,2.4079e+06
ESCUELAMINAS,2040,RunOfRiver,Antioquia,Water,55,0,1.52609e+07,2.4079e+06
