load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw,StorageNetCharge
Antioquia,2023_Q2_holidays_8h,3227.51,0,-2313.43,914.074,0
Antioquia,2023_Q2_holidays_9h,3320.78,0,-2357.66,963.115,0
Antioquia,2023_Q2_holidays_10h,3410.75,0,-2402.33,1008.42,0
Antioquia,2023_Q2_holidays_11h,3490.22,0,-2444.69,1045.53,0
Antioquia,2023_Q2_holidays_12h,3562.53,0,-2486.49,1076.04,0
Antioquia,2023_Q2_holidays_13h,3601.16,0,-2511.73,1089.43,0
Antioquia,2023_Q2_holidays_14h,3614.35,0,-2525.61,1088.74,0
Antioquia,2023_Q2_holidays_15h,3600.35,0,-2525.96,1074.39,0
Antioquia,2023_Q2_holidays_16h,3590.47,0,-2527.19,1063.29,0
Antioquia,2023_Q2_holidays_17h,3587.2,0,-2532.91,1054.29,0
Antioquia,2023_Q2_holidays_18h,3599.62,0,-2543.3,1056.32,0
Antioquia,2023_Q2_holidays_19h,3801.11,0,-2657.63,1143.48,0
Antioquia,2023_Q2_holidays_20h,3888.33,0,-2705.86,1182.47,0
Antioquia,2023_Q2_holidays_21h,3855.47,0,-2687.73,1167.74,0
Antioquia,2023_Q2_holidays_22h,3771.95,0,-2642.03,1129.91,0
Antioquia,2023_Q2_holidays_23h,3649.82,0,-2574.01,1075.81,0
Antioquia,2023_Q3_labor_0h,3759.11,0,-2633.76,1125.36,0
Antioquia,2023_Q3_labor_1h,3503.32,0,-2442.84,1060.48,0
Antioquia,2023_Q3_labor_2h,3354.26,0,-2330.73,1023.53,0
Antioquia,2023_Q3_labor_3h,3246.7,0,-2249.52,997.183,0
Antioquia,2023_Q3_labor_4h,3195.16,0,-2210.49,984.67,0
Antioquia,2023_Q3_labor_5h,3258.79,0,-2258.37,1000.42,0
Antioquia,2023_Q3_labor_6h,3383.49,0,-2346.51,1036.99,0
Antioquia,2023_Q3_labor_7h,3428.3,0,-2367.74,1060.56,0
Antioquia,2023_Q3_labor_8h,3641.21,0,-2513.58,1127.63,0
Antioquia,2023_Q3_labor_9h,3850.52,0,-2656.65,1193.87,0
Antioquia,2023_Q3_labor_10h,3977.11,0,-2740.63,1236.48,0
Antioquia,2023_Q3_labor_11h,4126.79,0,-2844.49,1282.3,0
Antioquia,2023_Q3_labor_12h,4216.07,0,-2899.61,1316.46,0
Antioquia,2023_Q3_labor_13h,4207.63,0,-2898.52,1309.11,0
Antioquia,2023_Q3_labor_14h,4233.09,0,-2917.04,1316.05,0
Antioquia,2023_Q3_labor_15h,4275.98,0,-2945.25,1330.74,0
Antioquia,2023_Q3_labor_16h,4282.1,0,-2954.59,1327.51,0
Antioquia,2023_Q3_labor_17h,4253.57,0,-2945.87,1307.7,0
Antioquia,2023_Q3_labor_18h,4183.16,0,-2912.18,1270.98,0
Antioquia,2023_Q3_labor_19h,4288.04,0,-2966.58,1321.46,0
Antioquia,2023_Q3_labor_20h,4364.84,0,-3005.13,1359.72,0
Antioquia,2023_Q3_labor_21h,4317.01,0,-2982.9,1334.11,0
Antioquia,2023_Q3_labor_22h,4197.31,0,-2919.78,1277.53,0
Antioquia,2023_Q3_labor_23h,4029.95,0,-2830.57,1199.38,0
Antioquia,2023_Q3_holidays_0h,3523.71,0,-2473.37,1050.34,0
Antioquia,2023_Q3_holidays_1h,3497.9,0,-2459.49,1038.41,0
Antioquia,2023_Q3_holidays_2h,3411.9,0,-2411.42,1000.49,0
Antioquia,2023_Q3_holidays_3h,3342.93,0,-2372.93,970.004,0
Antioquia,2023_Q3_holidays_4h,3291.09,0,-2344.05,947.031,0
Antioquia,2023_Q3_holidays_5h,3261.74,0,-2327.38,934.365,0
Antioquia,2023_Q3_holidays_6h,3219.76,0,-2300.56,919.195,0
Antioquia,2023_Q3_holidays_7h,3150.21,0,-2252.74,897.468,0
Antioquia,2023_Q3_holidays_8h,3211.9,0,-2276.16,935.741,0
Antioquia,2023_Q3_holidays_9h,3298.09,0,-2314.01,984.078,0
Antioquia,2023_Q3_holidays_10h,3375.07,0,-2349.48,1025.59,0
Antioquia,2023_Q3_holidays_11h,3443.39,0,-2383.72,1059.68,0
Antioquia,2023_Q3_holidays_12h,3511.58,0,-2423.36,1088.22,0
Antioquia,2023_Q3_holidays_13h,3558.79,0,-2453.84,1104.95,0
Antioquia,2023_Q3_holidays_14h,3577.95,0,-2471.94,1106.01,0
Antioquia,2023_Q3_holidays_15h,3568.04,0,-2475.54,1092.5,0
Antioquia,2023_Q3_holidays_16h,3559.68,0,-2479.16,1080.52,0
Antioquia,2023_Q3_holidays_17h,3558.18,0,-2486.68,1071.5,0
Antioquia,2023_Q3_holidays_18h,3565.42,0,-2492.75,1072.67,0
Antioquia,2023_Q3_holidays_19h,3748.27,0,-2596.99,1151.28,0
Antioquia,2023_Q3_holidays_20h,3870.37,0,-2667.46,1202.91,0
Antioquia,2023_Q3_holidays_21h,3844.07,0,-2652.81,1191.27,0
Antioquia,2023_Q3_holidays_22h,3771.89,0,-2612.08,1159.81,0
Antioquia,2023_Q3_holidays_23h,3650.64,0,-2542.89,1107.75,0
Antioquia,2023_Q4_labor_0h,4229.3,0,-3052.88,1176.42,0
Antioquia,2023_Q4_labor_1h,3992.43,0,-2882.89,1109.54,0
Antioquia,2023_Q4_labor_2h,3854.62,0,-2783.01,1071.61,0
Antioquia,2023_Q4_labor_3h,3756.41,0,-2711.06,1045.35,0
Antioquia,2023_Q4_labor_4h,3706.75,0,-2674.26,1032.49,0
Antioquia,2023_Q4_labor_5h,3770.81,0,-2721.5,1049.31,0
Antioquia,2023_Q4_labor_6h,3898.83,0,-2811.58,1087.25,0
Antioquia,2023_Q4_labor_7h,3952.54,0,-2840.21,1112.33,0
Antioquia,2023_Q4_labor_8h,4154.67,0,-2973.55,1181.12,0
Antioquia,2023_Q4_labor_9h,4351.29,0,-3103.08,1248.21,0
Antioquia,2023_Q4_labor_10h,4474.77,0,-3182.87,1291.9,0
Antioquia,2023_Q4_labor_11h,4619.18,0,-3281.31,1337.87,0
Antioquia,2023_Q4_labor_12h,4708.05,0,-3336.47,1371.58,0
Antioquia,2023_Q4_labor_13h,4701.59,0,-3335.69,1365.9,0
Antioquia,2023_Q4_labor_14h,4717.69,0,-3343.84,1373.85,0
Antioquia,2023_Q4_labor_15h,4744.45,0,-3355.45,1388.99,0
Antioquia,2023_Q4_labor_16h,4742.65,0,-3356.58,1386.07,0
Antioquia,2023_Q4_labor_17h,4716.44,0,-3348.71,1367.73,0
Antioquia,2023_Q4_labor_18h,4693.67,0,-3340.74,1352.94,0
Antioquia,2023_Q4_labor_19h,4798.83,0,-3379.21,1419.62,0
Antioquia,2023_Q4_labor_20h,4795.27,0,-3377.98,1417.29,0
Antioquia,2023_Q4_labor_21h,4747.74,0,-3360.55,1387.2,0
Antioquia,2023_Q4_labor_22h,4657.54,0,-3328.04,1329.51,0
Antioquia,2023_Q4_labor_23h,4489.23,0,-3238.49,1250.74,0
Antioquia,2023_Q4_holidays_0h,4275.68,0,-3182.32,1093.37,0
Antioquia,2023_Q4_holidays_1h,4239,0,-3168.46,1070.54,0
Antioquia,2023_Q4_holidays_2h,4177.16,0,-3144.72,1032.44,0
Antioquia,2023_Q4_holidays_3h,4123.16,0,-3122.66,1000.5,0
Antioquia,2023_Q4_holidays_4h,4070.72,0,-3098.18,972.546,0
Antioquia,2023_Q4_holidays_5h,4046.24,0,-3085.62,960.625,0
Antioquia,2023_Q4_holidays_6h,4007.49,0,-3061.5,945.987,0
Antioquia,2023_Q4_holidays_7h,3934.99,0,-3008.91,926.082,0
Antioquia,2023_Q4_holidays_8h,4014.82,0,-3051.02,963.802,0
Antioquia,2023_Q4_holidays_9h,4115.35,0,-3101.21,1014.14,0
Antioquia,2023_Q4_holidays_10h,4196.82,0,-3136.79,1060.04,0
Antioquia,2023_Q4_holidays_11h,4266.22,0,-3164.89,1101.33,0
Antioquia,2023_Q4_holidays_12h,4323.76,0,-3188.66,1135.1,0
Antioquia,2023_Q4_holidays_13h,4353.25,0,-3201.91,1151.34,0
Antioquia,2023_Q4_holidays_14h,4356.35,0,-3205.06,1151.3,0
Antioquia,2023_Q4_holidays_15h,4339.44,0,-3201.18,1138.26,0
Antioquia,2023_Q4_holidays_16h,4329.84,0,-3199.6,1130.25,0
Antioquia,2023_Q4_holidays_17h,4320.22,0,-3197.91,1122.31,0
Antioquia,2023_Q4_holidays_18h,4353.39,0,-3210.01,1143.38,0
Antioquia,2023_Q4_holidays_19h,4506.03,0,-3266.77,1239.26,0
Antioquia,2023_Q4_holidays_20h,4535.11,0,-3277.82,1257.29,0
Antioquia,2023_Q4_holidays_21h,4510.61,0,-3268.62,1241.99,0
Antioquia,2023_Q4_holidays_22h,4456.01,0,-3248.29,1207.72,0
Antioquia,2023_Q4_holidays_23h,4372.02,0,-3217.47,1154.55,0
Antioquia,2025_Q1_labor_0h,3781.12,0,-2646,1135.12,0
Antioquia,2025_Q1_labor_1h,3593.33,0,-2515.19,1078.15,0
Antioquia,2025_Q1_labor_2h,3464.1,0,-2422.28,1041.82,0
Antioquia,2025_Q1_labor_3h,3359.69,0,-2344.5,1015.18,0
Antioquia,2025_Q1_labor_4h,3307.24,0,-2305.67,1001.57,0
Antioquia,2025_Q1_labor_5h,3352.12,0,-2339.71,1012.41,0
Antioquia,2025_Q1_labor_6h,3421.36,0,-2375.59,1045.77,0
Antioquia,2025_Q1_labor_7h,3296.56,0,-2235.19,1061.37,0
Antioquia,2025_Q1_labor_8h,3296.09,0,-2174.85,1121.24,0
Antioquia,2025_Q1_labor_9h,3362.45,0,-2171.82,1190.63,0
Antioquia,2025_Q1_labor_10h,3385.86,0,-2149.28,1236.58,0
Antioquia,2025_Q1_labor_11h,3485.22,0,-2204.96,1280.26,0
Antioquia,2025_Q1_labor_12h,3612.32,0,-2297.95,1314.37,0
Antioquia,2025_Q1_labor_13h,3681.11,0,-2369.6,1311.52,0
Antioquia,2025_Q1_labor_14h,3818.15,0,-2505.16,1312.99,0
Antioquia,2025_Q1_labor_15h,4001.5,0,-2680.2,1321.3,0
Antioquia,2025_Q1_labor_16h,4143.12,0,-2826.22,1316.9,0
Antioquia,2025_Q1_labor_17h,4149.39,0,-2853.11,1296.28,0
Antioquia,2025_Q1_labor_18h,4110.06,0,-2834.32,1275.74,0
Antioquia,2025_Q1_labor_19h,4279.58,0,-2930.99,1348.59,0
Antioquia,2025_Q1_labor_20h,4326.66,0,-2959.84,1366.81,0
Antioquia,2025_Q1_labor_21h,4258.17,0,-2923.27,1334.9,0
Antioquia,2025_Q1_labor_22h,4137.73,0,-2858.13,1279.6,0
Antioquia,2025_Q1_labor_23h,3980.66,0,-2775.39,1205.27,0
Antioquia,2025_Q1_holidays_0h,3569.04,0,-2408.92,1160.12,0
Antioquia,2025_Q1_holidays_1h,3288.14,0,-2196.62,1091.52,0
Antioquia,2025_Q1_holidays_2h,3112.53,0,-2060.2,1052.33,0
Antioquia,2025_Q1_holidays_3h,3003.23,0,-1977.48,1025.75,0
Antioquia,2025_Q1_holidays_4h,2929.56,0,-1919.73,1009.82,0
Antioquia,2025_Q1_holidays_5h,3002.44,0,-1976.29,1026.14,0
Antioquia,2025_Q1_holidays_6h,3130.18,0,-2060.48,1069.7,0
Antioquia,2025_Q1_holidays_7h,3037.8,0,-1942.65,1095.15,0
Antioquia,2025_Q1_holidays_8h,3071.02,0,-1911.13,1159.89,0
Antioquia,2025_Q1_holidays_9h,3159.34,0,-1931.27,1228.07,0
Antioquia,2025_Q1_holidays_10h,3171.24,0,-1900.72,1270.52,0
Antioquia,2025_Q1_holidays_11h,3279.89,0,-1965.83,1314.07,0
Antioquia,2025_Q1_holidays_12h,3450.3,0,-2096.03,1354.27,0
Antioquia,2025_Q1_holidays_13h,3531.96,0,-2180.96,1351,0
Antioquia,2025_Q1_holidays_14h,3717.99,0,-2360.14,1357.86,0
Antioquia,2025_Q1_holidays_15h,4000.13,0,-2623.39,1376.74,0
Antioquia,2025_Q1_holidays_16h,4136.83,0,-2761.81,1375.02,0
Antioquia,2025_Q1_holidays_17h,4152.16,0,-2799.39,1352.76,0
Antioquia,2025_Q1_holidays_18h,4088.63,0,-2762.76,1325.88,0
Antioquia,2025_Q1_holidays_19h,4292.99,0,-2898.77,1394.21,0
Antioquia,2025_Q1_holidays_20h,4342.13,0,-2932.41,1409.72,0
Antioquia,2025_Q1_holidays_21h,4252.11,0,-2876.65,1375.46,0
Antioquia,2025_Q1_holidays_22h,4090.25,0,-2774.42,1315.83,0
Antioquia,2025_Q1_holidays_23h,3867.42,0,-2629.32,1238.1,0
Antioquia,2025_Q2_labor_0h,3553.9,0,-2415.09,1138.81,0
Antioquia,2025_Q2_labor_1h,3331.77,0,-2252.05,1079.72,0
Antioquia,2025_Q2_labor_2h,3188.68,0,-2145.96,1042.72,0
Antioquia,2025_Q2_labor_3h,3079.85,0,-2063.62,1016.22,0
Antioquia,2025_Q2_labor_4h,3021.97,0,-2019.14,1002.83,0
Antioquia,2025_Q2_labor_5h,3090.87,0,-2072.48,1018.39,0
Antioquia,2025_Q2_labor_6h,3203.23,0,-2146.14,1057.09,0
Antioquia,2025_Q2_labor_7h,3076.18,0,-2003.91,1072.27,0
Antioquia,2025_Q2_labor_8h,3122.11,0,-1987.81,1134.31,0
Antioquia,2025_Q2_labor_9h,3181.79,0,-1981.85,1199.95,0
Antioquia,2025_Q2_labor_10h,3209.48,0,-1965.26,1244.22,0
Antioquia,2025_Q2_labor_11h,3322.1,0,-2032.87,1289.23,0
Antioquia,2025_Q2_labor_12h,3476.25,0,-2153.11,1323.13,0
Antioquia,2025_Q2_labor_13h,3544.65,0,-2227.51,1317.14,0
Antioquia,2025_Q2_labor_14h,3705,0,-2382.88,1322.12,0
Antioquia,2025_Q2_labor_15h,3893.93,0,-2562.38,1331.55,0
Antioquia,2025_Q2_labor_16h,3964.84,0,-2636,1328.84,0
Antioquia,2025_Q2_labor_17h,3968.43,0,-2659.53,1308.9,0
Antioquia,2025_Q2_labor_18h,3910.94,0,-2630.04,1280.9,0
Antioquia,2025_Q2_labor_19h,4090.28,0,-2739.71,1350.58,0
Antioquia,2025_Q2_labor_20h,4175.51,0,-2795,1380.51,0
Antioquia,2025_Q2_labor_21h,4099.8,0,-2748.47,1351.32,0
Antioquia,2025_Q2_labor_22h,3952.93,0,-2660.67,1292.26,0
Antioquia,2025_Q2_labor_23h,3760.01,0,-2547.87,1212.14,0
Antioquia,2025_Q2_holidays_0h,3773.03,0,-2615.78,1157.25,0
Antioquia,2025_Q2_holidays_1h,3541.62,0,-2442.09,1099.53,0
Antioquia,2025_Q2_holidays_2h,3372.94,0,-2311.03,1061.91,0
Antioquia,2025_Q2_holidays_3h,3253.94,0,-2220.31,1033.63,0
Antioquia,2025_Q2_holidays_4h,3207.07,0,-2185.96,1021.11,0
Antioquia,2025_Q2_holidays_5h,3305.7,0,-2260.89,1044.8,0
Antioquia,2025_Q2_holidays_6h,3528.48,0,-2422.94,1105.53,0
Antioquia,2025_Q2_holidays_7h,3424.65,0,-2299.23,1125.42,0
Antioquia,2025_Q2_holidays_8h,3448.99,0,-2264.01,1184.98,0
Antioquia,2025_Q2_holidays_9h,3501.6,0,-2252.81,1248.79,0
Antioquia,2025_Q2_holidays_10h,3511.72,0,-2224.53,1287.19,0
Antioquia,2025_Q2_holidays_11h,3634.17,0,-2301.19,1332.98,0
Antioquia,2025_Q2_holidays_12h,3799.13,0,-2428.55,1370.57,0
Antioquia,2025_Q2_holidays_13h,3840.34,0,-2483.38,1356.97,0
Antioquia,2025_Q2_holidays_14h,4038.72,0,-2670.47,1368.25,0
Antioquia,2025_Q2_holidays_15h,4236.3,0,-2845.35,1390.95,0
Antioquia,2025_Q2_holidays_16h,4336.64,0,-2944.71,1391.92,0
Antioquia,2025_Q2_holidays_17h,4360.79,0,-2991.06,1369.72,0
Antioquia,2025_Q2_holidays_18h,4239.84,0,-2910.29,1329.55,0
Antioquia,2025_Q2_holidays_19h,4441.28,0,-3047.89,1393.39,0
Antioquia,2025_Q2_holidays_20h,4529.84,0,-3106.45,1423.4,0
Antioquia,2025_Q2_holidays_21h,4438.32,0,-3049.35,1388.98,0
Antioquia,2025_Q2_holidays_22h,4248.66,0,-2925.24,1323.43,0
Antioquia,2025_Q2_holidays_23h,3989.86,0,-2754.28,1235.58,0
Antioquia,2025_Q3_labor_0h,3521.64,0,-2343.72,1177.92,0
Antioquia,2025_Q3_labor_1h,3320.77,0,-2203.32,1117.44,0
Antioquia,2025_Q3_labor_2h,3174.03,0,-2095.64,1078.39,0
Antioquia,2025_Q3_labor_3h,3052.84,0,-2003.25,1049.59,0
Antioquia,2025_Q3_labor_4h,2988.93,0,-1954.22,1034.71,0
Antioquia,2025_Q3_labor_5h,3011.72,0,-1965.57,1046.15,0
Antioquia,2025_Q3_labor_6h,3056.67,0,-1982.05,1074.62,0
Antioquia,2025_Q3_labor_7h,2981.18,0,-1889.51,1091.67,0
Antioquia,2025_Q3_labor_8h,3061.5,0,-1903.31,1158.19,0
Antioquia,2025_Q3_labor_9h,3155.42,0,-1929.31,1226.11,0
Antioquia,2025_Q3_labor_10h,3202.67,0,-1930.85,1271.82,0
Antioquia,2025_Q3_labor_11h,3318.31,0,-1999.83,1318.48,0
Antioquia,2025_Q3_labor_12h,3486.51,0,-2132.78,1353.73,0
Antioquia,2025_Q3_labor_13h,3581.66,0,-2230.95,1350.72,0
Antioquia,2025_Q3_labor_14h,3757.22,0,-2401.15,1356.07,0
Antioquia,2025_Q3_labor_15h,3825.12,0,-2460.01,1365.11,0
Antioquia,2025_Q3_labor_16h,3847.85,0,-2488.26,1359.59,0
Antioquia,2025_Q3_labor_17h,3839.97,0,-2499.48,1340.49,0
Antioquia,2025_Q3_labor_18h,3786.66,0,-2477.57,1309.09,0
Antioquia,2025_Q3_labor_19h,3906.06,0,-2538.34,1367.72,0
Antioquia,2025_Q3_labor_20h,3992.33,0,-2581.95,1410.38,0
Antioquia,2025_Q3_labor_21h,3943.44,0,-2557.71,1385.72,0
Antioquia,2025_Q3_labor_22h,3832.41,0,-2502.2,1330.21,0
Antioquia,2025_Q3_labor_23h,3674.26,0,-2421.63,1252.63,0
Antioquia,2025_Q3_holidays_0h,3818.3,0,-2609.33,1208.98,0
Antioquia,2025_Q3_holidays_1h,3632.68,0,-2486.89,1145.79,0
Antioquia,2025_Q3_holidays_2h,3471.96,0,-2367.18,1104.78,0
Antioquia,2025_Q3_holidays_3h,3354.22,0,-2276.71,1077.51,0
Antioquia,2025_Q3_holidays_4h,3339.01,0,-2276.15,1062.86,0
Antioquia,2025_Q3_holidays_5h,3431.25,0,-2350.33,1080.92,0
Antioquia,2025_Q3_holidays_6h,3526.66,0,-2400.38,1126.28,0
Antioquia,2025_Q3_holidays_7h,3461.22,0,-2310.18,1151.04,0
Antioquia,2025_Q3_holidays_8h,3537.43,0,-2317.81,1219.63,0
Antioquia,2025_Q3_holidays_9h,3587.55,0,-2302.15,1285.4,0
Antioquia,2025_Q3_holidays_10h,3613.46,0,-2286.79,1326.67,0
Antioquia,2025_Q3_holidays_11h,3741.13,0,-2366.5,1374.63,0
Antioquia,2025_Q3_holidays_12h,3894.36,0,-2483.53,1410.83,0
Antioquia,2025_Q3_holidays_13h,3948.52,0,-2548.43,1400.08,0
Antioquia,2025_Q3_holidays_14h,4143.8,0,-2730.95,1412.86,0
Antioquia,2025_Q3_holidays_15h,4232.39,0,-2795.3,1437.09,0
Antioquia,2025_Q3_holidays_16h,4264.42,0,-2827.69,1436.72,0
Antioquia,2025_Q3_holidays_17h,4250.04,0,-2834.38,1415.65,0
Antioquia,2025_Q3_holidays_18h,4165.98,0,-2794.07,1371.91,0
Antioquia,2025_Q3_holidays_19h,4278.07,0,-2853.11,1424.96,0
Antioquia,2025_Q3_holidays_20h,4364.19,0,-2897.05,1467.13,0
Antioquia,2025_Q3_holidays_21h,4309.96,0,-2870.21,1439.76,0
Antioquia,2025_Q3_holidays_22h,4183.92,0,-2804.59,1379.33,0
Antioquia,2025_Q3_holidays_23h,3994.86,0,-2702.47,1292.4,0
Antioquia,2025_Q4_labor_0h,4059.13,0,-2829.75,1229.37,0
Antioquia,2025_Q4_labor_1h,3892.62,0,-2725.43,1167.19,0
Antioquia,2025_Q4_labor_2h,3782.79,0,-2656.03,1126.76,0
Antioquia,2025_Q4_labor_3h,3700.65,0,-2602.56,1098.09,0
Antioquia,2025_Q4_labor_4h,3652.7,0,-2570.89,1081.82,0
Antioquia,2025_Q4_labor_5h,3690.47,0,-2596.68,1093.79,0
Antioquia,2025_Q4_labor_6h,3757.35,0,-2634.14,1123.21,0
Antioquia,2025_Q4_labor_7h,3754.46,0,-2612.99,1141.47,0
Antioquia,2025_Q4_labor_8h,3872.13,0,-2663.1,1209.03,0
Antioquia,2025_Q4_labor_9h,3992.12,0,-2713.72,1278.4,0
