HYDRO_GEN_TPS_1,HYDRO_GEN_TPS_2,SpillHydro
AMOYA,417,0.0
AMOYA,418,0.0
AMOYA,419,9.68565770006417e-08
AMOYA,420,0.0
AMOYA,421,0.0
AMOYA,422,0.0
AMOYA,423,0.0
AMOYA,424,0.0
AMOYA,425,0.0
AMOYA,426,0.0
AMOYA,427,0.0
AMOYA,428,0.0
AMOYA,429,0.0
AMOYA,430,0.0
AMOYA,431,0.0
AMOYA,432,0.0
AMOYA,433,0.0
AMOYA,434,0.0
AMOYA,435,0.0
AMOYA,436,0.0
AMOYA,437,0.0
AMOYA,438,0.0
AMOYA,439,0.0
AMOYA,440,0.0
AMOYA,441,0.0
AMOYA,442,0.0
AMOYA,443,0.0
AMOYA,444,0.0
AMOYA,445,1.9356524284376363e-08
AMOYA,446,0.0
AMOYA,447,0.0
AMOYA,448,0.0
AMOYA,449,0.0
AMOYA,450,0.0
AMOYA,451,0.0
AMOYA,452,0.0
AMOYA,453,0.0
AMOYA,454,0.0
AMOYA,455,0.0
AMOYA,456,0.0
AMOYA,457,0.0
AMOYA,458,0.0
AMOYA,459,0.0
AMOYA,460,0.0
AMOYA,461,0.0
AMOYA,462,0.0
AMOYA,463,0.0
AMOYA,464,0.0
AMOYA,465,0.0
AMOYA,466,0.0
AMOYA,467,0.0
AMOYA,468,0.0
AMOYA,469,0.0
AMOYA,470,0.0
AMOYA,471,0.0
AMOYA,472,0.0
AMOYA,473,0.0
AMOYA,474,0.0
AMOYA,475,0.0
AMOYA,476,0.0
AMOYA,477,0.0
AMOYA,478,9.686483352199897e-08
AMOYA,479,0.0
AMOYA,480,0.0
AMOYA,481,0.0
AMOYA,482,0.0
AMOYA,483,0.0
AMOYA,484,0.0
AMOYA,485,0.0
AMOYA,486,0.0
AMOYA,487,0.0
AMOYA,488,0.0
AMOYA,489,0.0
AMOYA,490,0.0
AMOYA,491,0.0
AMOYA,492,0.0
AMOYA,493,0.0
AMOYA,494,1.799366222577942e-08
AMOYA,495,0.0
AMOYA,496,0.0
AMOYA,497,0.0
AMOYA,498,0.0
AMOYA,499,0.0
AMOYA,500,0.0
AMOYA,501,0.0
AMOYA,502,0.0
AMOYA,503,0.0
AMOYA,504,0.0
AMOYA,505,0.0
AMOYA,506,0.0
AMOYA,507,9.241911622993022e-08
AMOYA,508,0.0
AMOYA,509,0.0
AMOYA,510,0.0
AMOYA,511,0.0
AMOYA,512,0.0
AMOYA,513,0.0
AMOYA,514,0.0
AMOYA,515,0.0
AMOYA,516,0.0
AMOYA,517,0.0
AMOYA,518,0.0
AMOYA,519,0.0
AMOYA,520,0.0
AMOYA,521,0.0
AMOYA,522,0.0
AMOYA,523,0.0
AMOYA,524,0.0
AMOYA,525,0.0
AMOYA,526,0.0
AMOYA,527,0.0
AMOYA,528,0.0
AMOYA,529,0.0
AMOYA,530,0.0
AMOYA,531,0.0
AMOYA,532,0.0
AMOYA,533,0.0
AMOYA,534,0.0
AMOYA,535,0.0
AMOYA,536,0.0
AMOYA,537,0.0
AMOYA,538,0.0
AMOYA,539,1.615291151905594e-08
AMOYA,540,0.0
AMOYA,541,0.0
AMOYA,542,0.0
AMOYA,543,0.0
AMOYA,544,0.0
AMOYA,545,0.0
AMOYA,546,0.0
AMOYA,547,0.0
AMOYA,548,0.0
AMOYA,549,0.0
AMOYA,550,0.0
AMOYA,551,0.0
AMOYA,552,0.0
AMOYA,553,0.0
AMOYA,554,0.0
AMOYA,555,0.0
AMOYA,556,0.0
AMOYA,557,0.0
AMOYA,558,0.0
AMOYA,559,0.0
AMOYA,560,0.0
AMOYA,561,0.0
AMOYA,562,0.0
AMOYA,563,0.0
AMOYA,564,0.0
AMOYA,565,0.0
AMOYA,566,0.0
AMOYA,567,0.0
AMOYA,568,0.0
AMOYA,569,0.0
AMOYA,570,0.0
AMOYA,571,0.0
AMOYA,572,0.0
AMOYA,573,0.0
AMOYA,574,8.796245972582032e-08
AMOYA,575,0.0
AMOYA,576,0.0
AMOYA,1345,0.0
AMOYA,1346,0.0
AMOYA,1347,0.0
AMOYA,1348,0.0
AMOYA,1349,0.0
AMOYA,1350,0.0
