GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
BARRANQUILL3,100,GASIMPOR,2.3364595444338526e-07
BARRANQUILL3,101,GASIMPOR,2.3364559920620334e-07
BARRANQUILL3,102,GASIMPOR,2.336459596784619e-07
BARRANQUILL3,103,GASIMPOR,2.3364679439373145e-07
BARRANQUILL3,104,GASIMPOR,2.3364700639101055e-07
BARRANQUILL3,105,GASIMPOR,2.3364871631218056e-07
BARRANQUILL3,106,GASIMPOR,2.3365118527615488e-07
BARRANQUILL3,107,GASIMPOR,2.3365341472444232e-07
BARRANQUILL3,108,GASIMPOR,2.3365908773652655e-07
BARRANQUILL3,109,GASIMPOR,2.3366644340373186e-07
BARRANQUILL3,110,GASIMPOR,2.3366669862045514e-07
BARRANQUILL3,111,GASIMPOR,2.336695423750861e-07
BARRANQUILL3,112,GASIMPOR,2.3367377224157882e-07
BARRANQUILL3,113,GASIMPOR,2.3367711315079656e-07
BARRANQUILL3,114,GASIMPOR,2.3367626571329207e-07
BARRANQUILL3,115,GASIMPOR,2.3367152927940662e-07
BARRANQUILL3,116,GASIMPOR,2.336856166134558e-07
BARRANQUILL3,117,GASIMPOR,2.346120352841644e-07
BARRANQUILL3,118,GASIMPOR,2.346041819050913e-07
BARRANQUILL3,119,GASIMPOR,2.336724279284499e-07
BARRANQUILL3,120,GASIMPOR,2.3366051792531556e-07
BARRANQUILL3,121,GASIMPOR,1.4012720819990496e-06
BARRANQUILL3,122,GASIMPOR,1.4012652809299713e-06
BARRANQUILL3,123,GASIMPOR,1.4012434296113756e-06
BARRANQUILL3,124,GASIMPOR,1.4012242920074205e-06
BARRANQUILL3,125,GASIMPOR,1.4012082932490562e-06
BARRANQUILL3,126,GASIMPOR,1.401197793120271e-06
BARRANQUILL3,127,GASIMPOR,1.401176359198501e-06
BARRANQUILL3,128,GASIMPOR,1.4011300678060276e-06
BARRANQUILL3,129,GASIMPOR,1.4011540075268671e-06
BARRANQUILL3,130,GASIMPOR,1.401184836241562e-06
BARRANQUILL3,131,GASIMPOR,1.401207598891906e-06
BARRANQUILL3,132,GASIMPOR,1.4012263156564862e-06
BARRANQUILL3,133,GASIMPOR,1.4012444468573993e-06
BARRANQUILL3,134,GASIMPOR,1.4012592997965427e-06
BARRANQUILL3,135,GASIMPOR,1.4012686333062495e-06
BARRANQUILL3,136,GASIMPOR,1.4012718364050445e-06
BARRANQUILL3,137,GASIMPOR,1.401275961076693e-06
BARRANQUILL3,138,GASIMPOR,1.4012799853013332e-06
BARRANQUILL3,139,GASIMPOR,1.4012840756005368e-06
BARRANQUILL3,140,GASIMPOR,1.4013394000067994e-06
BARRANQUILL3,141,GASIMPOR,1.4013925241038848e-06
BARRANQUILL3,142,GASIMPOR,1.401379013736638e-06
BARRANQUILL3,143,GASIMPOR,1.4013473085137012e-06
BARRANQUILL3,144,GASIMPOR,1.4013069288309797e-06
BARRANQUILL3,145,GASIMPOR,2.3509710482859422e-07
BARRANQUILL3,146,GASIMPOR,2.3509405105166398e-07
BARRANQUILL3,147,GASIMPOR,2.350927890249481e-07
BARRANQUILL3,148,GASIMPOR,2.3509201436802874e-07
BARRANQUILL3,149,GASIMPOR,2.3509165162948463e-07
BARRANQUILL3,150,GASIMPOR,2.350920617825016e-07
BARRANQUILL3,151,GASIMPOR,2.350930599907497e-07
BARRANQUILL3,152,GASIMPOR,2.350933752838309e-07
BARRANQUILL3,153,GASIMPOR,2.35095265641104e-07
BARRANQUILL3,154,GASIMPOR,2.3509789079683328e-07
BARRANQUILL3,155,GASIMPOR,2.3510017941337058e-07
BARRANQUILL3,156,GASIMPOR,2.3510496457640832e-07
BARRANQUILL3,157,GASIMPOR,2.3511173671715833e-07
BARRANQUILL3,158,GASIMPOR,2.3511223097695915e-07
BARRANQUILL3,159,GASIMPOR,2.3511512135745072e-07
BARRANQUILL3,160,GASIMPOR,2.351185580044531e-07
BARRANQUILL3,161,GASIMPOR,2.351201676433676e-07
BARRANQUILL3,162,GASIMPOR,2.3511976466978336e-07
BARRANQUILL3,163,GASIMPOR,2.351186604741994e-07
BARRANQUILL3,164,GASIMPOR,2.3512655220333492e-07
BARRANQUILL3,165,GASIMPOR,2.3512621230225694e-07
BARRANQUILL3,166,GASIMPOR,2.3512239326151698e-07
BARRANQUILL3,167,GASIMPOR,2.3511638265544202e-07
BARRANQUILL3,168,GASIMPOR,2.3510403585449862e-07
BARRANQUILL3,169,GASIMPOR,1.4013262423475528e-06
BARRANQUILL3,170,GASIMPOR,1.401309921343549e-06
BARRANQUILL3,171,GASIMPOR,1.401286049271859e-06
BARRANQUILL3,172,GASIMPOR,1.401267555103874e-06
BARRANQUILL3,173,GASIMPOR,1.4012511338903148e-06
BARRANQUILL3,174,GASIMPOR,1.40124348254785e-06
BARRANQUILL3,175,GASIMPOR,1.401230856555216e-06
BARRANQUILL3,176,GASIMPOR,1.4012035537754137e-06
BARRANQUILL3,177,GASIMPOR,1.4012185552978101e-06
BARRANQUILL3,178,GASIMPOR,1.4012409520728327e-06
BARRANQUILL3,179,GASIMPOR,1.401260259315815e-06
BARRANQUILL3,180,GASIMPOR,1.4012797609511732e-06
BARRANQUILL3,181,GASIMPOR,1.4013005935927515e-06
BARRANQUILL3,182,GASIMPOR,1.4013174290379334e-06
BARRANQUILL3,183,GASIMPOR,1.4013286556645112e-06
BARRANQUILL3,184,GASIMPOR,1.401332861633173e-06
BARRANQUILL3,185,GASIMPOR,1.4013414432275932e-06
BARRANQUILL3,186,GASIMPOR,1.4013469987442318e-06
BARRANQUILL3,187,GASIMPOR,1.4013715173869405e-06
BARRANQUILL3,188,GASIMPOR,1.4015120955222263e-06
BARRANQUILL3,189,GASIMPOR,1.4015467095509888e-06
BARRANQUILL3,190,GASIMPOR,1.4015170289126958e-06
BARRANQUILL3,191,GASIMPOR,1.4014588411994033e-06
BARRANQUILL3,192,GASIMPOR,1.4013844323113256e-06
BARRANQUILL3,385,GASIMPOR,1.0001155057570622e-07
BARRANQUILL3,386,GASIMPOR,1.0000768737918766e-07
BARRANQUILL3,387,GASIMPOR,1.0000679820725873e-07
BARRANQUILL3,388,GASIMPOR,1.000064851649797e-07
BARRANQUILL3,389,GASIMPOR,1.000064031314173e-07
BARRANQUILL3,390,GASIMPOR,1.0000631417089877e-07
BARRANQUILL3,391,GASIMPOR,1.0000638402781327e-07
BARRANQUILL3,392,GASIMPOR,1.0000577630967702e-07
BARRANQUILL3,393,GASIMPOR,1.0000544856932533e-07
BARRANQUILL3,394,GASIMPOR,1.0000528159421783e-07
BARRANQUILL3,395,GASIMPOR,1.0000507524946814e-07
BARRANQUILL3,396,GASIMPOR,1.0000524589041271e-07
BARRANQUILL3,397,GASIMPOR,1.0000561212765636e-07
BARRANQUILL3,398,GASIMPOR,1.0000591187692831e-07
BARRANQUILL3,399,GASIMPOR,1.00006622735854e-07
BARRANQUILL3,400,GASIMPOR,1.0000812727362494e-07
BARRANQUILL3,401,GASIMPOR,1.000361701914987e-07
BARRANQUILL3,402,GASIMPOR,1.0184287639219404e-07
BARRANQUILL3,403,GASIMPOR,1.0184403904449594e-07
BARRANQUILL3,404,GASIMPOR,1.0184275498775554e-07
BARRANQUILL3,405,GASIMPOR,1.0184282763313552e-07
BARRANQUILL3,406,GASIMPOR,1.0184319666627661e-07
BARRANQUILL3,407,GASIMPOR,1.0183857860711826e-07
BARRANQUILL3,408,GASIMPOR,1.0003549496481746e-07
BARRANQUILL3,409,GASIMPOR,7.260465697156586e-07
BARRANQUILL3,410,GASIMPOR,7.260115864989298e-07
BARRANQUILL3,411,GASIMPOR,7.259963636374774e-07
BARRANQUILL3,412,GASIMPOR,7.259879116955369e-07
BARRANQUILL3,413,GASIMPOR,7.259819757863815e-07
BARRANQUILL3,414,GASIMPOR,7.259863971289231e-07
BARRANQUILL3,415,GASIMPOR,7.259943788469854e-07
BARRANQUILL3,416,GASIMPOR,7.259802799344227e-07
BARRANQUILL3,417,GASIMPOR,7.259738613679752e-07
BARRANQUILL3,418,GASIMPOR,7.2597263264929e-07
BARRANQUILL3,419,GASIMPOR,7.259653772988641e-07
BARRANQUILL3,420,GASIMPOR,7.259722475665513e-07
BARRANQUILL3,421,GASIMPOR,7.2598604601234e-07
BARRANQUILL3,422,GASIMPOR,7.25994514502041e-07
BARRANQUILL3,423,GASIMPOR,7.260118181038413e-07
BARRANQUILL3,424,GASIMPOR,7.26060973221463e-07
BARRANQUILL3,425,GASIMPOR,7.487991560086984e-07
BARRANQUILL3,426,GASIMPOR,7.488418609923012e-07
BARRANQUILL3,427,GASIMPOR,7.488261110709919e-07
BARRANQUILL3,428,GASIMPOR,7.48878549502048e-07
BARRANQUILL3,429,GASIMPOR,7.488941260358838e-07
BARRANQUILL3,430,GASIMPOR,7.488756011861186e-07
BARRANQUILL3,431,GASIMPOR,7.488440423178689e-07
BARRANQUILL3,432,GASIMPOR,7.487629071061933e-07
BARRANQUILL3,433,GASIMPOR,1.082452858399164e-07
BARRANQUILL3,434,GASIMPOR,1.0824230315864147e-07
BARRANQUILL3,435,GASIMPOR,1.0824144341009758e-07
BARRANQUILL3,436,GASIMPOR,1.0824122670693667e-07
BARRANQUILL3,437,GASIMPOR,1.0824099933403205e-07
BARRANQUILL3,438,GASIMPOR,1.0824106251479465e-07
BARRANQUILL3,439,GASIMPOR,1.082412807845366e-07
BARRANQUILL3,440,GASIMPOR,1.082404812596143e-07
BARRANQUILL3,441,GASIMPOR,1.082402435043449e-07
BARRANQUILL3,442,GASIMPOR,1.0824012486759068e-07
BARRANQUILL3,443,GASIMPOR,1.0824000964131465e-07
BARRANQUILL3,444,GASIMPOR,1.0824019195804424e-07
BARRANQUILL3,445,GASIMPOR,1.0824058259160074e-07
BARRANQUILL3,446,GASIMPOR,1.082409738362665e-07
BARRANQUILL3,447,GASIMPOR,1.0824191262337522e-07
BARRANQUILL3,448,GASIMPOR,1.0825251349123757e-07
BARRANQUILL3,449,GASIMPOR,1.1077745135693914e-07
BARRANQUILL3,450,GASIMPOR,1.1078003823742454e-07
BARRANQUILL3,451,GASIMPOR,1.1077873760274221e-07
BARRANQUILL3,452,GASIMPOR,1.1078448069456677e-07
BARRANQUILL3,453,GASIMPOR,1.1078757091921176e-07
BARRANQUILL3,454,GASIMPOR,1.1078520606091119e-07
BARRANQUILL3,455,GASIMPOR,1.1078009811526332e-07
BARRANQUILL3,456,GASIMPOR,1.1077604636388728e-07
BARRANQUILL3,457,GASIMPOR,7.262354713473469e-07
BARRANQUILL3,458,GASIMPOR,7.26089715131092e-07
BARRANQUILL3,459,GASIMPOR,7.26066648593711e-07
BARRANQUILL3,460,GASIMPOR,7.260555403626512e-07
BARRANQUILL3,461,GASIMPOR,7.260517346806794e-07
BARRANQUILL3,462,GASIMPOR,7.260589035958653e-07
BARRANQUILL3,463,GASIMPOR,7.26083389409731e-07
BARRANQUILL3,464,GASIMPOR,7.260595215853775e-07
BARRANQUILL3,465,GASIMPOR,7.260531858582441e-07
BARRANQUILL3,466,GASIMPOR,7.260504211138552e-07
BARRANQUILL3,467,GASIMPOR,7.260468943272876e-07
BARRANQUILL3,468,GASIMPOR,7.260534703744704e-07
BARRANQUILL3,469,GASIMPOR,7.260650342137922e-07
BARRANQUILL3,470,GASIMPOR,7.260714470119117e-07
BARRANQUILL3,471,GASIMPOR,7.261048568036178e-07
BARRANQUILL3,472,GASIMPOR,7.488313386465412e-07
BARRANQUILL3,473,GASIMPOR,7.489082738251574e-07
BARRANQUILL3,474,GASIMPOR,7.489386852872873e-07
BARRANQUILL3,475,GASIMPOR,7.489066550337362e-07
BARRANQUILL3,476,GASIMPOR,7.48962335312509e-07
BARRANQUILL3,477,GASIMPOR,7.49029913834901e-07
BARRANQUILL3,478,GASIMPOR,7.489710526271927e-07
BARRANQUILL3,479,GASIMPOR,7.48919411693431e-07
BARRANQUILL3,480,GASIMPOR,7.488569485831489e-07
BARRANQUILL3,481,GASIMPOR,1.1280725184203218e-07
BARRANQUILL3,482,GASIMPOR,1.127976349039812e-07
BARRANQUILL3,483,GASIMPOR,1.1279597989018725e-07
BARRANQUILL3,484,GASIMPOR,1.1279527009554711e-07
BARRANQUILL3,485,GASIMPOR,1.1279500523002726e-07
BARRANQUILL3,486,GASIMPOR,1.1279485979694555e-07
BARRANQUILL3,487,GASIMPOR,1.1279486802174979e-07
BARRANQUILL3,488,GASIMPOR,1.1279435453137609e-07
BARRANQUILL3,489,GASIMPOR,1.1279433542386579e-07
BARRANQUILL3,490,GASIMPOR,1.1279437485336908e-07
BARRANQUILL3,491,GASIMPOR,1.1279433065106133e-07
BARRANQUILL3,492,GASIMPOR,1.1279456376151756e-07
BARRANQUILL3,493,GASIMPOR,1.127951682865587e-07
BARRANQUILL3,494,GASIMPOR,1.1279590851040226e-07
BARRANQUILL3,495,GASIMPOR,1.1280272402512363e-07
BARRANQUILL3,496,GASIMPOR,1.1281162431346255e-07
BARRANQUILL3,497,GASIMPOR,1.1281739834006701e-07
BARRANQUILL3,498,GASIMPOR,1.1281841584054867e-07
BARRANQUILL3,499,GASIMPOR,1.1281609189021992e-07
BARRANQUILL3,500,GASIMPOR,1.128195766491692e-07
BARRANQUILL3,501,GASIMPOR,1.1282164215420179e-07
BARRANQUILL3,502,GASIMPOR,1.128203930736873e-07
BARRANQUILL3,503,GASIMPOR,1.1281793732206114e-07
BARRANQUILL3,504,GASIMPOR,1.1281185483138455e-07
BARRANQUILL3,505,GASIMPOR,7.679651520085598e-07
BARRANQUILL3,506,GASIMPOR,7.521020723953605e-07
BARRANQUILL3,507,GASIMPOR,7.520701708191812e-07
BARRANQUILL3,508,GASIMPOR,7.520575363234904e-07
BARRANQUILL3,509,GASIMPOR,7.520587047150572e-07
BARRANQUILL3,510,GASIMPOR,7.520695565394334e-07
BARRANQUILL3,511,GASIMPOR,7.520746229258286e-07
BARRANQUILL3,512,GASIMPOR,7.520573237027533e-07
