GEN_TPS_1,GEN_TPS_2,DispatchGen
AMOYA,391,30.686657836115575
AMOYA,392,30.42743570366479
AMOYA,393,30.52568048252442
AMOYA,394,30.76935214971808
AMOYA,395,30.886142885348647
AMOYA,396,31.14706521611839
AMOYA,397,31.475627457192083
AMOYA,398,31.633848497266182
AMOYA,399,31.99672259197515
AMOYA,400,32.57298058094332
AMOYA,401,33.033788808689245
AMOYA,402,33.12641878358326
AMOYA,403,32.9943241421223
AMOYA,404,33.67321820444548
AMOYA,405,33.86162303523934
AMOYA,406,33.587916068847086
AMOYA,407,33.09664289916953
AMOYA,408,32.43912600221253
AMOYA,409,32.810211637987415
AMOYA,410,31.941696946674007
AMOYA,411,31.33782763148871
AMOYA,412,30.913426719233062
AMOYA,413,30.62806854100596
AMOYA,414,30.91528787247237
AMOYA,415,31.411181761500448
AMOYA,416,31.136873463157574
AMOYA,417,31.347630153568808
AMOYA,418,31.719850631400686
AMOYA,419,31.823074467233006
AMOYA,420,32.208503147999195
AMOYA,421,32.75546923258499
AMOYA,422,32.96370836509204
AMOYA,423,33.44277825238127
AMOYA,424,34.15399455158613
AMOYA,425,34.56652736637384
AMOYA,426,34.670309765440976
AMOYA,427,34.477559867497
AMOYA,428,35.225643196300915
AMOYA,429,35.414349122773075
AMOYA,430,35.05354099732509
AMOYA,431,34.4470256170378
AMOYA,432,33.669481056212575
AMOYA,433,40.510731079758074
AMOYA,434,39.76981769690647
AMOYA,435,39.313384985048046
AMOYA,436,38.97647782787252
AMOYA,437,38.79972210397901
AMOYA,438,39.02122739550955
AMOYA,439,39.36046979827364
AMOYA,440,39.051599347054704
AMOYA,441,39.273059065138035
AMOYA,442,39.54549166883038
AMOYA,443,39.694921088517745
AMOYA,444,40.04604383542052
AMOYA,445,40.485636124113306
AMOYA,446,40.65357880893585
AMOYA,447,41.13472568135346
AMOYA,448,41.78251845481578
AMOYA,449,42.12653276686278
AMOYA,450,42.21170127746097
AMOYA,451,41.99348199622169
AMOYA,452,42.74507362892756
AMOYA,453,43.08785843094912
AMOYA,454,42.78828496127102
AMOYA,455,42.163934539682394
AMOYA,456,41.31140787198778
AMOYA,457,43.78099591253211
AMOYA,458,42.80352383193698
AMOYA,459,42.055435571271644
AMOYA,460,41.48614816593141
AMOYA,461,41.234656011315174
AMOYA,462,41.718137508335474
AMOYA,463,42.70702251961808
AMOYA,464,42.352644443100466
AMOYA,465,42.63753123578536
AMOYA,466,43.08253879591899
AMOYA,467,43.2694689454414
AMOYA,468,43.882598568501294
AMOYA,469,44.57972300601789
AMOYA,470,44.62940500607534
AMOYA,471,45.26884425785911
AMOYA,472,46.12845451344028
AMOYA,473,46.6576137225481
AMOYA,474,46.78788884236761
AMOYA,475,46.268456207519364
AMOYA,476,47.3771782264988
AMOYA,477,47.92188660118248
AMOYA,478,47.33788426823879
AMOYA,479,46.27376707704213
AMOYA,480,44.91539711583062
AMOYA,481,56.617279411375684
AMOYA,482,56.191973975049144
AMOYA,483,55.90468233369247
AMOYA,484,55.67420525877448
AMOYA,485,55.549930923556786
AMOYA,486,55.61708597121925
AMOYA,487,55.713629403465255
AMOYA,488,55.56017504132764
AMOYA,489,55.72305221206873
AMOYA,490,55.9148527166789
AMOYA,491,56.01779384547415
AMOYA,492,56.2424309070068
AMOYA,493,56.55148046321281
AMOYA,494,56.714830729772906
AMOYA,495,57.05915821596691
AMOYA,496,57.304985106419444
AMOYA,497,57.4416349715504
AMOYA,498,57.485514246517056
AMOYA,499,57.35132078080397
AMOYA,500,57.71109758618393
AMOYA,501,57.99759203742204
AMOYA,502,57.83834635989745
AMOYA,503,57.490907655264486
AMOYA,504,57.03012027029447
AMOYA,505,55.735505850912894
AMOYA,506,55.23223676622455
AMOYA,507,54.87377392334972
AMOYA,508,54.62877336611332
AMOYA,509,54.556618222783314
AMOYA,510,54.73514410371621
AMOYA,511,54.966498875184385
AMOYA,512,54.84077234376328
AMOYA,513,55.03458062466519
AMOYA,514,55.20776135445698
AMOYA,515,55.29616256465562
AMOYA,516,55.61380055158463
AMOYA,517,56.013859486686165
AMOYA,518,56.10359046319684
AMOYA,519,56.609336003013574
AMOYA,520,57.15012857411323
AMOYA,521,57.46742317177089
AMOYA,522,57.538678788526624
AMOYA,523,57.13177811130669
AMOYA,524,57.76523761304412
AMOYA,525,58.36302803220435
AMOYA,526,57.98705601422217
AMOYA,527,57.246423100460724
AMOYA,528,56.3771924441756
AMOYA,529,47.40515035586176
AMOYA,530,46.758233068806724
AMOYA,531,46.322734700448336
AMOYA,532,46.00152899822891
AMOYA,533,45.8163653019357
AMOYA,534,45.96823799638019
AMOYA,535,46.199060054350284
AMOYA,536,46.116863993428225
AMOYA,537,46.49943551851062
AMOYA,538,46.907501092048705
AMOYA,539,47.15099279756588
AMOYA,540,47.51088686921762
AMOYA,541,47.88803893115117
AMOYA,542,48.03543616608395
AMOYA,543,48.35540762114735
AMOYA,544,48.69737895806696
AMOYA,545,48.88154534082357
AMOYA,546,48.93187843531345
AMOYA,547,48.90996747745668
AMOYA,548,49.59418802168766
AMOYA,549,49.62021064253797
AMOYA,550,49.360326558052705
AMOYA,551,48.8649939499134
AMOYA,552,48.151157583246004
AMOYA,553,45.27789689231342
AMOYA,554,40.00370500636663
AMOYA,555,32.736629660191
AMOYA,556,23.763050188133207
AMOYA,557,18.706193482818712
AMOYA,558,26.713769193138106
AMOYA,559,37.31022855929711
AMOYA,560,38.57979769865806
AMOYA,561,43.34283347247622
AMOYA,562,45.30192848733933
AMOYA,563,46.29567743960552
AMOYA,564,47.48390622042029
AMOYA,565,48.91958218216045
AMOYA,566,49.10515648856894
AMOYA,567,50.108754611661666
AMOYA,568,51.362198092679
AMOYA,569,51.84266956360565
AMOYA,570,51.81582185524558
AMOYA,571,51.5134691448982
AMOYA,572,52.60378269801287
AMOYA,573,52.523213112552114
AMOYA,574,52.09364050092369
AMOYA,575,50.84028529290657
AMOYA,576,48.07177051952667
AMOYA,1345,31.793234399785398
AMOYA,1346,31.063795478249947
AMOYA,1347,30.549095077348557
AMOYA,1348,30.13550227875765
AMOYA,1349,29.88656536812198
AMOYA,1350,30.07332620944931
AMOYA,1351,30.36689228187382
AMOYA,1352,29.894625079940784
AMOYA,1353,29.943511803156213
AMOYA,1354,30.257020220507613
AMOYA,1355,30.38693754577087
AMOYA,1356,30.760335257371498
AMOYA,1357,31.275684217166948
AMOYA,1358,31.544385003930554
AMOYA,1359,32.069783262993234
AMOYA,1360,32.77961439694576
AMOYA,1361,33.30191713587121
AMOYA,1362,33.56511488028889
AMOYA,1363,33.47428869198486
AMOYA,1364,34.47063932971534
AMOYA,1365,34.75593984908636
AMOYA,1366,34.32338222660876
AMOYA,1367,33.60077703518008
AMOYA,1368,32.66819321908914
AMOYA,1369,32.642737867676665
AMOYA,1370,31.238226873231312
AMOYA,1371,30.442798897660808
AMOYA,1372,29.842542769197927
AMOYA,1373,29.53339053909416
AMOYA,1374,29.959903454661582
AMOYA,1375,30.714922527180146
AMOYA,1376,30.274872994452284
AMOYA,1377,30.55623426989927
AMOYA,1378,31.240075728379328
AMOYA,1379,31.333821331949533
AMOYA,1380,31.91392590684748
AMOYA,1381,32.65461716592949
AMOYA,1382,32.92509327404799
AMOYA,1383,33.60369412808706
AMOYA,1384,34.67774728105639
AMOYA,1385,35.48195028924345
AMOYA,1386,35.814670339124724
AMOYA,1387,35.433030802885355
AMOYA,1388,36.66857891766359
AMOYA,1389,36.920344972928376
AMOYA,1390,36.2172319456812
AMOYA,1391,35.13395722410883
AMOYA,1392,33.809650785740274
AMOYA,1393,40.52504776086902
AMOYA,1394,39.409047501975216
AMOYA,1395,38.6063417422526
AMOYA,1396,37.99056868806569
AMOYA,1397,37.65695229807113
AMOYA,1398,38.04200693032972
AMOYA,1399,38.632899910134014
AMOYA,1400,38.15742504038385
AMOYA,1401,38.545763911402176
AMOYA,1402,38.96782259782724
