TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Antioquia,Caribe,145,1100.808225764646
Antioquia,Caribe,146,1100.80822575713
Antioquia,Caribe,147,1100.808225758444
Antioquia,Caribe,148,1100.8082257544245
Antioquia,Caribe,149,1100.8082257540486
Antioquia,Caribe,150,1100.8082257570425
Antioquia,Caribe,151,1100.808225758077
Antioquia,Caribe,152,1100.808225759487
Antioquia,Caribe,153,1100.808225760609
Antioquia,Caribe,154,1100.8082257643123
Antioquia,Caribe,155,1100.8082257625124
Antioquia,Caribe,156,1100.8082257660922
Antioquia,Caribe,157,1100.8082257732187
Antioquia,Caribe,158,1100.8082257701485
Antioquia,Caribe,159,1100.8082257719016
Antioquia,Caribe,160,1100.8082257805147
Antioquia,Caribe,161,1100.8082257771152
Antioquia,Caribe,162,1100.8082257827082
Antioquia,Caribe,163,1100.8082257837784
Antioquia,Caribe,164,1100.8082258900165
Antioquia,Caribe,165,1100.8082258879601
Antioquia,Caribe,166,1100.8082257863055
Antioquia,Caribe,167,1100.8082257797214
Antioquia,Caribe,168,1100.8082257615645
Antioquia,Caribe,169,1100.8082240387084
Antioquia,Caribe,170,1100.8082240788501
Antioquia,Caribe,171,1100.808224011975
Antioquia,Caribe,172,1100.8082239553592
Antioquia,Caribe,173,1100.8082239149671
Antioquia,Caribe,174,1100.808223897491
Antioquia,Caribe,175,1100.8082238677841
Antioquia,Caribe,176,1100.8082238043762
Antioquia,Caribe,177,1100.8082238394993
Antioquia,Caribe,178,1100.808223890247
Antioquia,Caribe,179,1100.8082239340556
Antioquia,Caribe,180,1100.808223985369
Antioquia,Caribe,181,1100.8082240785952
Antioquia,Caribe,182,1100.8082240459437
Antioquia,Caribe,183,1100.808224038534
Antioquia,Caribe,184,1100.8082240439862
Antioquia,Caribe,185,1100.8082240531264
Antioquia,Caribe,186,1100.8082240578367
Antioquia,Caribe,187,1100.8082240716399
Antioquia,Caribe,188,1100.808225311594
Antioquia,Caribe,189,1100.8082253162256
Antioquia,Caribe,190,1100.8082253126834
Antioquia,Caribe,191,1100.808225322083
Antioquia,Caribe,192,1100.8082240769527
Caribe,Antioquia,1,6.601521118100145e-08
Caribe,Antioquia,2,1.3273547871467546e-07
Caribe,Antioquia,3,1.3433203737381702e-07
Caribe,Antioquia,4,1.3490392565573314e-07
Caribe,Antioquia,5,1.3505644538216294e-07
Caribe,Antioquia,6,1.349323230280754e-07
Caribe,Antioquia,7,1.3419043836711158e-07
Caribe,Antioquia,8,1.342080381996783e-07
Caribe,Antioquia,9,1.32605824670314e-07
Caribe,Antioquia,10,7.701590851325284e-08
Caribe,Antioquia,11,6.578498398661931e-08
Caribe,Antioquia,12,6.355461058294906e-08
Caribe,Antioquia,13,6.498957401017898e-08
Caribe,Antioquia,14,6.461831716998496e-08
Caribe,Antioquia,15,6.382677454537825e-08
Caribe,Antioquia,16,6.459170727994985e-08
Caribe,Antioquia,17,6.44453816711753e-08
Caribe,Antioquia,18,6.440457514901138e-08
Caribe,Antioquia,19,6.447529269017526e-08
Caribe,Antioquia,20,5.884545721518412e-08
Caribe,Antioquia,21,5.851214602800028e-08
Caribe,Antioquia,22,5.912086131313708e-08
Caribe,Antioquia,23,6.453048616269308e-08
Caribe,Antioquia,24,6.475480622100274e-08
Caribe,Antioquia,25,5.604327628090167e-07
Caribe,Antioquia,26,5.682689404440955e-07
Caribe,Antioquia,27,5.766002369281654e-07
Caribe,Antioquia,28,5.892256001351845e-07
Caribe,Antioquia,29,5.924743332116875e-07
Caribe,Antioquia,30,5.950881533317728e-07
Caribe,Antioquia,31,6.004135071740426e-07
Caribe,Antioquia,32,6.27557644411897e-07
Caribe,Antioquia,33,6.280625376105288e-07
Caribe,Antioquia,34,6.212522779762125e-07
Caribe,Antioquia,35,6.006950254804977e-07
Caribe,Antioquia,36,5.928444077451181e-07
Caribe,Antioquia,37,5.799343345585492e-07
Caribe,Antioquia,38,5.74353645519855e-07
Caribe,Antioquia,39,5.694563506303427e-07
Caribe,Antioquia,40,5.644273950736243e-07
Caribe,Antioquia,41,5.571036616669997e-07
Caribe,Antioquia,42,5.52541003002681e-07
Caribe,Antioquia,43,5.55041228391973e-07
Caribe,Antioquia,44,3.2097968767969617e-07
Caribe,Antioquia,45,3.193129928368368e-07
Caribe,Antioquia,46,3.2001007287191773e-07
Caribe,Antioquia,47,3.2250940127699215e-07
Caribe,Antioquia,48,3.1001511385856363e-07
Caribe,Antioquia,49,7.929351676195886e-08
Caribe,Antioquia,50,1.3002032313143463e-07
Caribe,Antioquia,51,1.3055308112076156e-07
Caribe,Antioquia,52,1.3084448557531684e-07
Caribe,Antioquia,53,1.3097716898827174e-07
Caribe,Antioquia,54,1.3083427886632663e-07
Caribe,Antioquia,55,1.3031983859784296e-07
Caribe,Antioquia,56,1.3032729924667947e-07
Caribe,Antioquia,57,1.2944026563422596e-07
Caribe,Antioquia,58,7.818863489558531e-08
Caribe,Antioquia,59,8.216533030551429e-08
Caribe,Antioquia,60,8.04943805190531e-08
Caribe,Antioquia,61,8.014973334214288e-08
Caribe,Antioquia,62,8.011775335566354e-08
Caribe,Antioquia,63,7.990696153064125e-08
Caribe,Antioquia,64,8.073367718222167e-08
Caribe,Antioquia,65,8.03048733370576e-08
Caribe,Antioquia,66,8.038401730456177e-08
Caribe,Antioquia,67,8.069668905994311e-08
Caribe,Antioquia,68,7.160773005339865e-08
Caribe,Antioquia,69,7.082639508749836e-08
Caribe,Antioquia,70,7.170109578377289e-08
Caribe,Antioquia,71,8.064913514575784e-08
Caribe,Antioquia,72,8.081968191862814e-08
Caribe,Antioquia,73,7.161754972263879e-07
Caribe,Antioquia,74,7.185135846392982e-07
Caribe,Antioquia,75,7.323684230493498e-07
Caribe,Antioquia,76,7.550464268849805e-07
Caribe,Antioquia,77,7.578824095081393e-07
Caribe,Antioquia,78,7.614090457375858e-07
Caribe,Antioquia,79,7.657432599141146e-07
Caribe,Antioquia,80,7.810682625770487e-07
Caribe,Antioquia,81,7.757932237930532e-07
