component,npv_cost
TotalGenFixedCosts,4268421178.670166
StorageEnergyFixedCost,0
TxFixedCosts,288835161.7768466
EmissionsCosts,0
GenVariableOMCostsInTP,211890241.905708
FuelCostsPerTP,635929216.4719191
