GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
H_Chorrera,2023,Hidro,Antioquia,Water,0,0,0
H_Chorrera,2024,Hidro,Antioquia,Water,0,0,0
H_PalmasSanGil,2023,Hidro,Nordeste,Water,0,0,0
H_PalmasSanGil,2024,Hidro,Nordeste,Water,0,0,0
H_Coconuco,2023,Hidro,Surocciden,Water,0,0,0
H_Coconuco,2024,Hidro,Surocciden,Water,0,0,0
H_Cocuyo,2023,Hidro,Surocciden,Water,0,0,0
H_Cocuyo,2024,Hidro,Surocciden,Water,0,0,0
H_Coello,2023,Hidro,Surocciden,Water,0,0,0
H_Coello,2024,Hidro,Surocciden,Water,0,0,0
H_Currucucue,2023,Hidro,Surocciden,Water,0,0,0
H_Currucucue,2024,Hidro,Surocciden,Water,0,0,0
H_ElBosque,2023,Hidro,Surocciden,Water,0,0,0
H_ElBosque,2024,Hidro,Surocciden,Water,0,0,0
H_ElEden,2023,Hidro,Surocciden,Water,0,0,0
H_ElEden,2024,Hidro,Surocciden,Water,0,0,0
H_ElLimonar,2023,Hidro,Oriental,Water,0,0,0
H_ElLimonar,2024,Hidro,Oriental,Water,0,0,0
H_LAGUNETA,2023,Hidro,Oriental,Water,0,0,0
H_LAGUNETA,2024,Hidro,Oriental,Water,0,0,0
H_ElMolino,2023,Hidro,Antioquia,Water,0,0,0
H_ElMolino,2024,Hidro,Antioquia,Water,0,0,0
H_ElPopal,2023,Hidro,Antioquia,Water,0,0,0
H_ElPopal,2024,Hidro,Antioquia,Water,0,0,0
H_Florida,2023,RunOfRiver,Surocciden,Water,0,0,0
H_Florida,2024,RunOfRiver,Surocciden,Water,0,0,0
H_Frisolera,2023,Hidro,Surocciden,Water,0,0,0
H_Frisolera,2024,Hidro,Surocciden,Water,0,0,0
H_Guacaica,2023,Hidro,Surocciden,Water,0,0,0
H_Guacaica,2024,Hidro,Surocciden,Water,0,0,0
H_Guanaquita,2023,Hidro,Antioquia,Water,0,0,0
H_Guanaquita,2024,Hidro,Antioquia,Water,0,0,0
H_Guaviomeno,2023,Hidro,Oriental,Water,0,0,0
H_Guaviomeno,2024,Hidro,Oriental,Water,0,0,0
H_Herradura,2023,RunOfRiver,Antioquia,Water,0,0,0
H_Herradura,2024,RunOfRiver,Antioquia,Water,0,0,0
H_Inza,2023,Hidro,Surocciden,Water,0,0,0
H_Inza,2024,Hidro,Surocciden,Water,0,0,0
H_IquiraI,2023,Hidro,Surocciden,Water,0,0,0
H_IquiraI,2024,Hidro,Surocciden,Water,0,0,0
H_IquiraII,2023,Hidro,Surocciden,Water,0,0,0
H_IquiraII,2024,Hidro,Surocciden,Water,0,0,0
H_JuanGarcia,2023,Hidro,Antioquia,Water,0,0,0
H_JuanGarcia,2024,Hidro,Antioquia,Water,0,0,0
H_La_Vuelta,2023,Hidro,Antioquia,Water,0,0,0
H_La_Vuelta,2024,Hidro,Antioquia,Water,0,0,0
H_LaPita,2023,Hidro,Surocciden,Water,0,0,0
H_LaPita,2024,Hidro,Surocciden,Water,0,0,0
H_LaRebusca,2023,Hidro,Antioquia,Water,0,0,0
H_LaRebusca,2024,Hidro,Antioquia,Water,0,0,0
H_LasPalmas,2023,Hidro,Antioquia,Water,0,0,0
H_LasPalmas,2024,Hidro,Antioquia,Water,0,0,0
H_Libertad,2023,Hidro,Nordeste,Water,0,0,0
H_Libertad,2024,Hidro,Nordeste,Water,0,0,0
H_LuzMaI,2023,Hidro,Antioquia,Water,0,0,0
H_LuzMaI,2024,Hidro,Antioquia,Water,0,0,0
H_LuzMaII,2023,Hidro,Antioquia,Water,0,0,0
H_LuzMaII,2024,Hidro,Antioquia,Water,0,0,0
H_Magallo,2023,Hidro,Antioquia,Water,0,0,0
H_Magallo,2024,Hidro,Antioquia,Water,0,0,0
H_Mirolindo,2023,Hidro,Surocciden,Water,0,0,0
H_Mirolindo,2024,Hidro,Surocciden,Water,0,0,0
H_Mondomo,2023,Hidro,Surocciden,Water,0,0,0
H_Mondomo,2024,Hidro,Surocciden,Water,0,0,0
H_Montanitas,2023,RunOfRiver,Antioquia,Water,0,0,0
H_Montanitas,2024,RunOfRiver,Antioquia,Water,0,0,0
H_MorroAzul,2023,Hidro,Surocciden,Water,0,0,0
H_MorroAzul,2024,Hidro,Surocciden,Water,0,0,0
H_Municipal,2023,Hidro,Surocciden,Water,0,0,0
H_Municipal,2024,Hidro,Surocciden,Water,0,0,0
H_Naveta,2023,Hidro,Oriental,Water,0,0,0
H_Naveta,2024,Hidro,Oriental,Water,0,0,0
H_Nima,2023,Hidro,Surocciden,Water,0,0,0
H_Nima,2024,Hidro,Surocciden,Water,0,0,0
H_Niquia,2023,Hidro,Antioquia,Water,0,0,0
H_Niquia,2024,Hidro,Antioquia,Water,0,0,0
H_Nuevoliba,2023,Hidro,Surocciden,Water,0,0,0
H_Nuevoliba,2024,Hidro,Surocciden,Water,0,0,0
H_Oibita,2023,Hidro,Nordeste,Water,19.9,0,6.13517e+07
H_Oibita,2024,Hidro,Nordeste,Water,0,0,0
H_Ovejas,2023,Hidro,Surocciden,Water,0,0,0
H_Ovejas,2024,Hidro,Surocciden,Water,0,0,0
H_Pajarito,2023,Hidro,Antioquia,Water,0,0,0
H_Pajarito,2024,Hidro,Antioquia,Water,0,0,0
H_Pastales,2023,Hidro,Surocciden,Water,0,0,0
H_Pastales,2024,Hidro,Surocciden,Water,0,0,0
H_PaticoCab,2023,Hidro,Surocciden,Water,0,0,0
H_PaticoCab,2024,Hidro,Surocciden,Water,0,0,0
H_Pocune,2023,Hidro,Antioquia,Water,0,0,0
H_Pocune,2024,Hidro,Antioquia,Water,0,0,0
H_Porce3Meno,2023,Hidro,Antioquia,Water,0,0,0
H_Porce3Meno,2024,Hidro,Antioquia,Water,0,0,0
H_ProvidencI,2023,Hidro,Caribe,Water,0,0,0
H_ProvidencI,2024,Hidro,Caribe,Water,0,0,0
H_Puente_Gui,2023,Hidro,Nordeste,Water,0,0,0
H_Puente_Gui,2024,Hidro,Nordeste,Water,0,0,0
H_Remedios,2023,Hidro,Antioquia,Water,0,0,0
H_Remedios,2024,Hidro,Antioquia,Water,0,0,0
H_Rio_Recio,2023,Hidro,Surocciden,Water,0,0,0
H_Rio_Recio,2024,Hidro,Surocciden,Water,0,0,0
H_RioBobo,2023,Hidro,Surocciden,Water,0,0,0
H_RioBobo,2024,Hidro,Surocciden,Water,0,0,0
H_RioCali,2023,Hidro,Surocciden,Water,0,0,0
H_RioCali,2024,Hidro,Surocciden,Water,0,0,0
H_RioFrioI,2023,Hidro,Surocciden,Water,0,0,0
H_RioFrioI,2024,Hidro,Surocciden,Water,0,0,0
H_RioFrioII,2023,RunOfRiver,Surocciden,Water,0,0,0
H_RioFrioII,2024,RunOfRiver,Surocciden,Water,0,0,0
H_RioFrioTam,2023,Hidro,Antioquia,Water,0,0,0
H_RioFrioTam,2024,Hidro,Antioquia,Water,0,0,0
H_RioGrande,2023,Hidro,Surocciden,Water,0,0,0
H_RioGrande,2024,Hidro,Surocciden,Water,0,0,0
H_RioMayo,2023,RunOfRiver,Surocciden,Water,0,0,0
H_RioMayo,2024,RunOfRiver,Surocciden,Water,0,0,0
H_RioMulato2,2023,Hidro,Antioquia,Water,0,0,0
H_RioMulato2,2024,Hidro,Antioquia,Water,0,0,0
H_RioNegro,2023,Hidro,Surocciden,Water,0,0,0
H_RioNegro,2024,Hidro,Surocciden,Water,0,0,0
H_RioPalo,2023,Hidro,Surocciden,Water,0,0,0
H_RioPalo,2024,Hidro,Surocciden,Water,0,0,0
H_RioPiedras,2023,RunOfRiver,Antioquia,Water,0,0,0
H_RioPiedras,2024,RunOfRiver,Antioquia,Water,0,0,0
H_RioSapuye,2023,Hidro,Surocciden,Water,0,0,0
H_RioSapuye,2024,Hidro,Surocciden,Water,0,0,0
H_Rumor,2023,Hidro,Surocciden,Water,0,0,0
H_Rumor,2024,Hidro,Surocciden,Water,0,0,0
H_Sajandi,2023,Hidro,Surocciden,Water,0,0,0
H_Sajandi,2024,Hidro,Surocciden,Water,0,0,0
H_SanAndres2,2023,Hidro,Antioquia,Water,0,0,0
H_SanAndres2,2024,Hidro,Antioquia,Water,0,0,0
H_SanCancio,2023,Hidro,Surocciden,Water,0,0,0
H_SanCancio,2024,Hidro,Surocciden,Water,0,0,0
H_SanJose,2023,Hidro,Surocciden,Water,0,0,0
H_SanJose,2024,Hidro,Surocciden,Water,0,0,0
H_SanJosMoII,2023,Hidro,Antioquia,Water,0,0,0
H_SanJosMoII,2024,Hidro,Antioquia,Water,0,0,0
H_SanMatias,2023,Hidro,Antioquia,Water,0,0,0
H_SanMatias,2024,Hidro,Antioquia,Water,0,0,0
H_SantaAna,2023,Hidro,Oriental,Water,0,0,0
H_SantaAna,2024,Hidro,Oriental,Water,0,0,0
H_SantaRita,2023,Hidro,Antioquia,Water,0,0,0
H_SantaRita,2024,Hidro,Antioquia,Water,0,0,0
H_Santiago,2023,Hidro,Antioquia,Water,0,0,0
H_Santiago,2024,Hidro,Antioquia,Water,0,0,0
H_SBartolome,2023,Hidro,Nordeste,Water,19.9,0,6.13517e+07
H_SBartolome,2024,Hidro,Nordeste,Water,0,0,0
H_SFrancisPu,2023,Hidro,Surocciden,Water,0,0,0
H_SFrancisPu,2024,Hidro,Surocciden,Water,0,0,0
H_Silvia,2023,Hidro,Surocciden,Water,0,0,0
H_Silvia,2024,Hidro,Surocciden,Water,0,0,0
H_Suba,2023,Hidro,Oriental,Water,0,0,0
H_Suba,2024,Hidro,Oriental,Water,0,0,0
H_Sueva2,2023,Hidro,Oriental,Water,0,0,0
H_Sueva2,2024,Hidro,Oriental,Water,0,0,0
H_TuluaAlto,2023,Hidro,Surocciden,Water,0,0,0
H_TuluaAlto,2024,Hidro,Surocciden,Water,0,0,0
H_TuluaBajo,2023,Hidro,Surocciden,Water,0,0,0
H_TuluaBajo,2024,Hidro,Surocciden,Water,0,0,0
H_Tunjita,2023,Hidro,Oriental,Water,0,0,0
H_Tunjita,2024,Hidro,Oriental,Water,0,0,0
H_Union,2023,Hidro,Surocciden,Water,0,0,0
H_Union,2024,Hidro,Surocciden,Water,0,0,0
H_Urrao,2023,Hidro,Antioquia,Water,0,0,0
H_Urrao,2024,Hidro,Antioquia,Water,0,0,0
H_Usaquen,2023,Hidro,Oriental,Water,0,0,0
H_Usaquen,2024,Hidro,Oriental,Water,0,0,0
H_AutGold,2023,Hidro,Antioquia,Water,0,0,0
H_AutGold,2024,Hidro,Antioquia,Water,0,0,0
H_VentanaA,2023,Hidro,Surocciden,Water,0,0,0
H_VentanaA,2024,Hidro,Surocciden,Water,0,0,0
H_VentanaB,2023,Hidro,Surocciden,Water,0,0,0
H_VentanaB,2024,Hidro,Surocciden,Water,0,0,0
H_Violetas,2023,Hidro,Antioquia,Water,0,0,0
H_Violetas,2024,Hidro,Antioquia,Water,0,0,0
H_Zeus,2023,Hidro,Antioquia,Water,0,0,0
H_Zeus,2024,Hidro,Antioquia,Water,0,0,0
INSULA,2023,Hidro,Surocciden,Water,0,0,0
INSULA,2024,Hidro,Surocciden,Water,0,0,0
ITUANGO,2023,Hidro,Antioquia,Water,0,0,0
ITUANGO,2024,Hidro,Antioquia,Water,0,0,0
H_PAGUA,2023,Hidro,Surocciden,Water,0,0,0
H_PAGUA,2024,Hidro,Surocciden,Water,0,0,0
H_GUATRON,2023,Hidro,Antioquia,Water,0,0,0
H_GUATRON,2024,Hidro,Antioquia,Water,0,0,0
H_ALBAN,2023,Hidro,Surocciden,Water,0,0,0
H_ALBAN,2024,Hidro,Surocciden,Water,0,0,0
S_Dulima,2023,pv_solar,Surocciden,Solar,21.9,0,2.90613e+07
S_Dulima,2024,pv_solar,Surocciden,Solar,0,0,0
S_Cauca,2023,pv_solar,Surocciden,Solar,0,0,0
S_Cauca,2024,pv_solar,Surocciden,Solar,0,0,0
S_Ferch2,2023,pv_solar,Nordeste,Solar,0,0,0
S_Ferch2,2024,pv_solar,Nordeste,Solar,0,0,0
S_Salado,2023,pv_solar,Surocciden,Solar,0.1,0,132700
S_Salado,2024,pv_solar,Surocciden,Solar,0,0,0
S_AutJeans,2023,pv_solar,Antioquia,Solar,1.39,0,1.84453e+06
S_AutJeans,2024,pv_solar,Antioquia,Solar,0,0,0
S_AutPintuco,2023,pv_solar,Antioquia,Solar,1.41,0,1.87107e+06
S_AutPintuco,2024,pv_solar,Antioquia,Solar,0,0,0
S_Palmira3,2023,pv_solar,Surocciden,Solar,7.4,0,9.8198e+06
S_Palmira3,2024,pv_solar,Surocciden,Solar,0,0,0
S_Belmonte,2023,pv_solar,Surocciden,Solar,0,0,0
S_Belmonte,2024,pv_solar,Surocciden,Solar,0,0,0
S_Termotasajero,2023,pv_solar,Nordeste,Solar,0,0,0
S_Termotasajero,2024,pv_solar,Nordeste,Solar,0,0,0
S_Victoria_I,2023,pv_solar,Surocciden,Solar,21.9,0,2.90613e+07
S_Victoria_I,2024,pv_solar,Surocciden,Solar,0,0,0
S_Victoria_II,2023,pv_solar,Surocciden,Solar,21.9,0,2.90613e+07
S_Victoria_II,2024,pv_solar,Surocciden,Solar,0,0,0
S_Flandes,2023,pv_solar,Surocciden,Solar,21.9,0,2.90613e+07
S_Flandes,2024,pv_solar,Surocciden,Solar,0,0,0
S_BSLI,2023,pv_solar,Oriental,Solar,0,0,0
S_BSLI,2024,pv_solar,Oriental,Solar,0,0,0
S_BSLII,2023,pv_solar,Oriental,Solar,0,0,0
S_BSLII,2024,pv_solar,Oriental,Solar,0,0,0
S_BSLIII,2023,pv_solar,Oriental,Solar,0,0,0
S_BSLIII,2024,pv_solar,Oriental,Solar,0,0,0
S_Espinal,2023,pv_solar,Antioquia,Solar,0,0,0
S_Espinal,2024,pv_solar,Antioquia,Solar,0,0,0
JAGUAS,2023,Hidro,Antioquia,Water,0,0,0
JAGUAS,2024,Hidro,Antioquia,Water,0,0,0
LA TASAJERA,2023,Hidro,Antioquia,Water,0,0,0
LA TASAJERA,2024,Hidro,Antioquia,Water,0,0,0
MERILECTRICA,2023,Thermal,Nordeste,GASNACIO,0,0,0
MERILECTRICA,2024,Thermal,Nordeste,GASNACIO,0,0,0
MIEL I,2023,Hidro,Surocciden,Water,0,0,0
MIEL I,2024,Hidro,Surocciden,Water,0,0,0
PAIPA 1,2023,Thermal,Nordeste,CARBON,0,0,0
PAIPA 1,2024,Thermal,Nordeste,CARBON,0,0,0
PAIPA 2,2023,Thermal,Nordeste,CARBON,0,0,0
PAIPA 2,2024,Thermal,Nordeste,CARBON,0,0,0
PAIPA 3,2023,Thermal,Nordeste,CARBON,0,0,0
PAIPA 3,2024,Thermal,Nordeste,CARBON,0,0,0
PAIPA 4,2023,Thermal,Nordeste,CARBON,0,0,0
PAIPA 4,2024,Thermal,Nordeste,CARBON,0,0,0
PLAYAS,2023,Hidro,Antioquia,Water,0,0,0
PLAYAS,2024,Hidro,Antioquia,Water,0,0,0
PORCE II,2023,Hidro,Antioquia,Water,0,0,0
PORCE II,2024,Hidro,Antioquia,Water,0,0,0
PORCE III,2023,Hidro,Antioquia,Water,0,0,0
PORCE III,2024,Hidro,Antioquia,Water,0,0,0
PRADO,2023,Hidro,Surocciden,Water,0,0,0
PRADO,2024,Hidro,Surocciden,Water,0,0,0
PRADO4,2023,Hidro,Surocciden,Water,0,0,0
PRADO4,2024,Hidro,Surocciden,Water,0,0,0
PROELECTRIC1,2023,Thermal,Caribe,GASNACIO,0,0,0
PROELECTRIC1,2024,Thermal,Caribe,GASNACIO,0,0,0
PROELECTRIC2,2023,Thermal,Caribe,GASNACIO,0,0,0
PROELECTRIC2,2024,Thermal,Caribe,GASNACIO,0,0,0
RIOGRANDE 1,2023,Hidro,Antioquia,Water,0,0,0
RIOGRANDE 1,2024,Hidro,Antioquia,Water,0,0,0
SALTO II,2023,RunOfRiver,Oriental,Water,0,0,0
SALTO II,2024,RunOfRiver,Oriental,Water,0,0,0
SALVAJINA,2023,Hidro,Surocciden,Water,0,0,0
SALVAJINA,2024,Hidro,Surocciden,Water,0,0,0
SAN CARLOS,2023,Hidro,Antioquia,Water,0,0,0
SAN CARLOS,2024,Hidro,Antioquia,Water,0,0,0
SANFRANCISCO,2023,RunOfRiver,Surocciden,Water,0,0,0
SANFRANCISCO,2024,RunOfRiver,Surocciden,Water,0,0,0
SNMIGUEL,2023,RunOfRiver,Antioquia,Water,0,0,0
SNMIGUEL,2024,RunOfRiver,Antioquia,Water,0,0,0
SOGAMOSO,2023,Hidro,Nordeste,Water,0,0,0
SOGAMOSO,2024,Hidro,Nordeste,Water,0,0,0
T_AutArCairo,2023,Thermal,Antioquia,CARBON,0,0,0
T_AutArCairo,2024,Thermal,Antioquia,CARBON,0,0,0
T_TermYopal1,2023,Thermal,Nordeste,CARBON,0,0,0
T_TermYopal1,2024,Thermal,Nordeste,CARBON,0,0,0
TASAJERO 1,2023,Thermal,Nordeste,CARBON,0,0,0
TASAJERO 1,2024,Thermal,Nordeste,CARBON,0,0,0
TASAJERO 2,2023,Thermal,Nordeste,CARBON,0,0,0
TASAJERO 2,2024,Thermal,Nordeste,CARBON,0,0,0
TC_GECELCA3,2023,Thermal,Caribe,CARBON,0,0,0
TC_GECELCA3,2024,Thermal,Caribe,CARBON,0,0,0
TC_GECELCA32,2023,Thermal,Caribe,CARBON,0,0,0
TC_GECELCA32,2024,Thermal,Caribe,CARBON,0,0,0
TEBSAB,2023,Thermal,Caribe,GASNACIO,0,0,0
