generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,ChargeStorage_MW,Store_GWh_typical_yr,Discharge_GWh_typical_yr,is_storage
AMOYA,2023_Q1_holidays_0h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,37.10264832466312,0.48365952280364427,672.2867366970655,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_1h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,36.9079101992655,0.48112097224042527,668.7581514141912,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_2h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,36.62904095953183,0.4774857125081828,663.7051403863741,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_3h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,36.395911356738324,0.4744467016146246,659.4809152443281,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_4h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,36.22234310095536,0.47218411542316807,656.3359204382035,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_5h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,36.115610815955826,0.4707927838508527,654.4019695526853,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_6h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,35.991534271387216,0.4691753574662976,652.1537468781537,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_7h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,35.61580036815917,0.4642773976563606,645.3455827423412,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_8h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,35.71761489616817,0.4656046227536208,647.1904256275329,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_9h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,36.02448925167951,0.46960494917367934,652.7508793514143,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_10h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,36.321464583430526,0.4734762347482908,658.1319663001242,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_11h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,36.577297149963215,0.47681119499059194,662.7675610369228,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_12h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,36.84479559466955,0.4802982282876566,667.6145373198427,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_13h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,37.023871893812206,0.48263261575862343,670.8593359044866,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_14h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,37.11809584238944,0.48386089223114803,672.5666402012957,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_15h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,37.167950550943026,0.4845107839676502,673.4699897150338,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_16h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,37.21770351166684,0.4851593493485142,674.3714955944347,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_17h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,37.271705521927366,0.4858633041251246,675.3499927339232,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_18h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,37.3657427816033,0.48708914697447164,677.0539142945155,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_19h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,38.20197644592545,0.4979900500986711,692.2061696371528,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_20h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,38.51669266444018,0.5020926008043095,697.9087151179901,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_21h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,38.37495205530862,0.5002449107209873,695.3404259021725,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_22h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,38.03742371290323,0.49584498768605995,689.2245328836233,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_23h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,37.57046835631734,0.4897578910734225,680.7634685920573,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_0h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,50.61428041736723,3.9587597897869378,5502.676107803843,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_1h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,50.10625308688038,3.919024795009573,5447.444465063306,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_2h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,49.8245565324775,3.8969921002187764,5416.819019304098,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_3h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,49.62023980985705,3.881011613699534,5394.6061430423515,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_4h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,49.52582985635437,3.873627406622003,5384.3420952045835,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_5h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,49.679193122712235,3.885622604954993,5401.01542088744,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_6h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,50.017809778721244,3.9121072648356976,5437.829098121619,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_7h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,50.05606179460324,3.9150991189350393,5441.987775319704,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_8h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,50.40559219345967,3.9424373894170244,5479.987971289664,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_9h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,50.77206010068252,3.9711004150176694,5519.829576874559,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_10h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,50.956349489454325,3.985514477925178,5539.865124315997,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_11h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,51.198034085882504,4.004417666002953,5566.140555744105,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_12h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,51.414275264258926,4.02133081531168,5589.649833283235,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_13h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,51.39251325894149,4.019628715610067,5587.283914697992,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_14h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,51.516532793247144,4.029328814900402,5600.767052711558,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_15h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,51.71681804147826,4.044993982529907,5622.54163571657,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_16h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,51.80400180393429,4.05181299823629,5632.020067548442,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_17h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,51.75504303097522,4.047983722779848,5626.697374663989,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_18h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,51.566944205824385,4.033271707526979,5606.247673462501,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_19h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,51.98357789945991,4.0658584142791865,5651.5431958480685,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_20h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,52.15690980419979,4.0794154453999125,5670.387469105878,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_21h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,51.971077919415215,4.064880737268548,5650.184224803281,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_22h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,51.587830338841286,4.03490530150223,5608.518369088099,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_23h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,51.05953960463591,3.9935854190768802,5551.083732516863,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_holidays_0h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,51.176589870711325,0.6671234036717726,927.301531103764,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_holidays_1h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,51.12878328988398,0.6665002107431304,926.4352929329513,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_holidays_2h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,50.79081694456525,0.6620945780273685,920.3114634580421,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_holidays_3h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,50.53024485972828,0.6586978347786008,915.5899903422551,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_holidays_4h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,50.33563395997431,0.6561609426925222,912.0637103426059,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_holidays_5h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,50.235246935710094,0.6548523261262209,910.244733315447,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_holidays_6h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,50.05530509477279,0.6525066556997168,906.9842514226062,0.0,80.0,8978400.293696908,3502400.0,,,,False
