GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
BARRANQUILL3,88,GASIMPOR,5.671811670292007e-07
BARRANQUILL3,89,GASIMPOR,5.677499451996091e-07
BARRANQUILL3,90,GASIMPOR,5.68164506629313e-07
BARRANQUILL3,91,GASIMPOR,5.682549110869426e-07
BARRANQUILL3,92,GASIMPOR,6.083768672499137e-07
BARRANQUILL3,93,GASIMPOR,6.09081007192102e-07
BARRANQUILL3,94,GASIMPOR,6.088504819609608e-07
BARRANQUILL3,95,GASIMPOR,6.080433042951948e-07
BARRANQUILL3,96,GASIMPOR,6.099704567993603e-07
BARRANQUILL3,97,GASIMPOR,1.1510877393687066e-07
BARRANQUILL3,98,GASIMPOR,1.1055019426205174e-07
BARRANQUILL3,99,GASIMPOR,1.1045756694546815e-07
BARRANQUILL3,100,GASIMPOR,1.1042559909685545e-07
BARRANQUILL3,101,GASIMPOR,1.1041445257901694e-07
BARRANQUILL3,102,GASIMPOR,1.1040983375340424e-07
BARRANQUILL3,103,GASIMPOR,1.1044676103197685e-07
BARRANQUILL3,104,GASIMPOR,1.1045790259595836e-07
BARRANQUILL3,105,GASIMPOR,1.148851082616866e-07
BARRANQUILL3,106,GASIMPOR,1.1510713921401369e-07
BARRANQUILL3,107,GASIMPOR,1.1516334459306151e-07
BARRANQUILL3,108,GASIMPOR,1.1530789523858794e-07
BARRANQUILL3,109,GASIMPOR,1.1477288836758761e-07
BARRANQUILL3,110,GASIMPOR,1.1502464577306648e-07
BARRANQUILL3,111,GASIMPOR,1.1466014942690128e-07
BARRANQUILL3,112,GASIMPOR,1.1450343272795582e-07
BARRANQUILL3,113,GASIMPOR,1.1466126735378378e-07
BARRANQUILL3,114,GASIMPOR,1.1457770680653534e-07
BARRANQUILL3,115,GASIMPOR,1.152202633003411e-07
BARRANQUILL3,116,GASIMPOR,1.1491565773297407e-07
BARRANQUILL3,117,GASIMPOR,1.1404533625953226e-07
BARRANQUILL3,118,GASIMPOR,1.145233265327543e-07
BARRANQUILL3,119,GASIMPOR,1.1464815568278662e-07
BARRANQUILL3,120,GASIMPOR,1.148934481685193e-07
BARRANQUILL3,121,GASIMPOR,5.64616924895882e-07
BARRANQUILL3,122,GASIMPOR,5.643510152400117e-07
BARRANQUILL3,123,GASIMPOR,5.636744852663944e-07
BARRANQUILL3,124,GASIMPOR,5.632551448961344e-07
BARRANQUILL3,125,GASIMPOR,5.629555255274529e-07
BARRANQUILL3,126,GASIMPOR,5.62664714108174e-07
BARRANQUILL3,127,GASIMPOR,5.621318217774059e-07
BARRANQUILL3,128,GASIMPOR,5.602856750253486e-07
BARRANQUILL3,129,GASIMPOR,5.616779235055948e-07
BARRANQUILL3,130,GASIMPOR,5.623302932768817e-07
BARRANQUILL3,131,GASIMPOR,5.628208328196996e-07
BARRANQUILL3,132,GASIMPOR,5.631677457826817e-07
BARRANQUILL3,133,GASIMPOR,5.635622841594686e-07
BARRANQUILL3,134,GASIMPOR,5.639811523402762e-07
BARRANQUILL3,135,GASIMPOR,5.64324784361206e-07
BARRANQUILL3,136,GASIMPOR,5.644663185797088e-07
BARRANQUILL3,137,GASIMPOR,5.646038371529917e-07
BARRANQUILL3,138,GASIMPOR,5.646241221698008e-07
BARRANQUILL3,139,GASIMPOR,5.655697808722958e-07
BARRANQUILL3,140,GASIMPOR,5.68330692538998e-07
BARRANQUILL3,141,GASIMPOR,6.123990952617039e-07
BARRANQUILL3,142,GASIMPOR,6.021410183363709e-07
BARRANQUILL3,143,GASIMPOR,5.687645322745043e-07
BARRANQUILL3,144,GASIMPOR,5.666156033326881e-07
BARRANQUILL3,145,GASIMPOR,1.1453842521246441e-07
BARRANQUILL3,146,GASIMPOR,1.1453161451403996e-07
BARRANQUILL3,147,GASIMPOR,1.1461454013487634e-07
BARRANQUILL3,148,GASIMPOR,1.1457487947148045e-07
BARRANQUILL3,149,GASIMPOR,1.1455953999806621e-07
BARRANQUILL3,150,GASIMPOR,1.1456725622130035e-07
BARRANQUILL3,151,GASIMPOR,1.1461753111576826e-07
BARRANQUILL3,152,GASIMPOR,1.1461984341328098e-07
BARRANQUILL3,153,GASIMPOR,1.145473477220317e-07
BARRANQUILL3,154,GASIMPOR,1.146075124615637e-07
BARRANQUILL3,155,GASIMPOR,1.1440499600453508e-07
BARRANQUILL3,156,GASIMPOR,1.141025608994104e-07
BARRANQUILL3,157,GASIMPOR,1.1409566774767536e-07
BARRANQUILL3,158,GASIMPOR,1.1410083179115461e-07
BARRANQUILL3,159,GASIMPOR,1.1415319548545164e-07
BARRANQUILL3,160,GASIMPOR,1.1431133675691572e-07
BARRANQUILL3,161,GASIMPOR,1.1434827571517462e-07
BARRANQUILL3,162,GASIMPOR,1.1434422289998045e-07
BARRANQUILL3,163,GASIMPOR,1.1432304907064054e-07
BARRANQUILL3,164,GASIMPOR,1.1573912128073426e-07
BARRANQUILL3,165,GASIMPOR,1.1574214614190726e-07
BARRANQUILL3,166,GASIMPOR,1.1442884799085517e-07
BARRANQUILL3,167,GASIMPOR,1.142255680114981e-07
BARRANQUILL3,168,GASIMPOR,1.1408521444399552e-07
BARRANQUILL3,169,GASIMPOR,5.848442234056912e-07
BARRANQUILL3,170,GASIMPOR,5.850295421441114e-07
BARRANQUILL3,171,GASIMPOR,5.838356295050505e-07
BARRANQUILL3,172,GASIMPOR,5.830916388028219e-07
BARRANQUILL3,173,GASIMPOR,5.825806352286071e-07
BARRANQUILL3,174,GASIMPOR,5.822820310582105e-07
BARRANQUILL3,175,GASIMPOR,5.819745560296059e-07
BARRANQUILL3,176,GASIMPOR,5.814631116610258e-07
BARRANQUILL3,177,GASIMPOR,5.817302492917743e-07
BARRANQUILL3,178,GASIMPOR,5.822264372313106e-07
BARRANQUILL3,179,GASIMPOR,5.82760987187411e-07
BARRANQUILL3,180,GASIMPOR,5.834415896226276e-07
BARRANQUILL3,181,GASIMPOR,5.845978408822673e-07
BARRANQUILL3,182,GASIMPOR,5.845926716611719e-07
BARRANQUILL3,183,GASIMPOR,5.848102434691245e-07
BARRANQUILL3,184,GASIMPOR,5.849968134239077e-07
BARRANQUILL3,185,GASIMPOR,5.853054689965443e-07
BARRANQUILL3,186,GASIMPOR,5.854824144360735e-07
BARRANQUILL3,187,GASIMPOR,5.860901526760743e-07
BARRANQUILL3,188,GASIMPOR,6.092831682269231e-07
BARRANQUILL3,189,GASIMPOR,6.094932262279673e-07
BARRANQUILL3,190,GASIMPOR,6.093140984125338e-07
BARRANQUILL3,191,GASIMPOR,6.106222953927554e-07
BARRANQUILL3,192,GASIMPOR,5.864048353132441e-07
BARRANQUILL4,1,GASIMPOR,1.1048226675254265e-07
BARRANQUILL4,2,GASIMPOR,1.0375904037724694e-07
BARRANQUILL4,3,GASIMPOR,1.0362875155022723e-07
BARRANQUILL4,4,GASIMPOR,1.0359742142962447e-07
BARRANQUILL4,5,GASIMPOR,1.0359231221271743e-07
BARRANQUILL4,6,GASIMPOR,1.0360136230711471e-07
BARRANQUILL4,7,GASIMPOR,1.0364477803995572e-07
BARRANQUILL4,8,GASIMPOR,1.0364275239133957e-07
BARRANQUILL4,9,GASIMPOR,1.0376440259737065e-07
BARRANQUILL4,10,GASIMPOR,1.0631849345161571e-07
BARRANQUILL4,11,GASIMPOR,1.0954114145216295e-07
BARRANQUILL4,12,GASIMPOR,1.1062109394838465e-07
BARRANQUILL4,13,GASIMPOR,1.098777007306382e-07
BARRANQUILL4,14,GASIMPOR,1.0996643199586466e-07
BARRANQUILL4,15,GASIMPOR,1.1038105474919868e-07
BARRANQUILL4,16,GASIMPOR,1.0969356526847372e-07
BARRANQUILL4,17,GASIMPOR,1.0969753163993857e-07
BARRANQUILL4,18,GASIMPOR,1.0971405713139177e-07
BARRANQUILL4,19,GASIMPOR,1.0959846479068142e-07
BARRANQUILL4,20,GASIMPOR,1.1108899427042766e-07
BARRANQUILL4,21,GASIMPOR,1.1122058275648389e-07
BARRANQUILL4,22,GASIMPOR,1.1103238220007083e-07
BARRANQUILL4,23,GASIMPOR,1.0964564125744137e-07
BARRANQUILL4,24,GASIMPOR,1.0995871841210504e-07
BARRANQUILL4,25,GASIMPOR,5.427265430461028e-07
BARRANQUILL4,26,GASIMPOR,5.418937415635034e-07
BARRANQUILL4,27,GASIMPOR,5.410206170554689e-07
BARRANQUILL4,28,GASIMPOR,5.399556881524017e-07
BARRANQUILL4,29,GASIMPOR,5.396296625567952e-07
BARRANQUILL4,30,GASIMPOR,5.393199082392613e-07
BARRANQUILL4,31,GASIMPOR,5.38902393830927e-07
BARRANQUILL4,32,GASIMPOR,5.370304679184263e-07
BARRANQUILL4,33,GASIMPOR,5.370188460476489e-07
BARRANQUILL4,34,GASIMPOR,5.37493660390225e-07
BARRANQUILL4,35,GASIMPOR,5.389349776948199e-07
BARRANQUILL4,36,GASIMPOR,5.3958112556902e-07
BARRANQUILL4,37,GASIMPOR,5.406622787925103e-07
