,Values_Code,Values_Name,Values_Type,Values_Disp,Values_RecType,Values_EnerSource,Values_OperStartdate,Values_State,Value
160,3EGO,AGPE INVESA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-06-16,OPERACION,672.0
161,3EGQ,AGPE NACIONAL AVICOLA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-06-16,OPERACION,60.0
162,3EGS,AGPE SURTIPLAZA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-06-16,OPERACION,200.0
163,3EGU,AGPE EL HUECO PAPELERIA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-06-16,OPERACION,41.76
164,3EGW,AGPE EL REFLEJO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-06-16,OPERACION,60.0
165,3EHZ,AGPE RESTAURANTE ORO NEGRO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-06-23,OPERACION,31.03
166,3EJI,AGPE CALARCA 2,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-07-01,OPERACION,15.0
167,3EJK,AGPE CALARCA 1,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-07-01,OPERACION,30.0
168,3EJM,AGPE RETYPACK SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-07-01,OPERACION,25.0
169,3EJO,AGPE SANTIAGO CASTAÑO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-06-30,OPERACION,5.0
170,3EL3,AGPE LABORATORIOS EDO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-07-07,OPERACION,100.0
171,3EL5,AGPE HUGO RESTREPO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-07-07,OPERACION,20.0
172,3EL7,AGPE RED WM IMPRESORES,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-07-07,OPERACION,50.0
173,3EL9,AGPE HOYOSTOOLS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-07-07,OPERACION,100.0
174,3EM4,AGPE IMPORINOX,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-07-14,OPERACION,100.0
175,3EM6,AGPE LAVANDERIA BURBUJAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-07-14,OPERACION,35.0
176,3EM8,AGPE MOLDES Y MECANIZADOS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-07-14,OPERACION,40.0
177,3ENA,TESORITO,TERMICA,DESPACHADO CENTRALMENTE,NORMAL,GAS,2022-09-13,OPERACION,200000.0
178,3ENC,AGPE COLORPLASTIC,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-07-21,OPERACION,89.09999999999998
179,3ENE,SINCE,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2022-09-10,OPERACION,18500.0
180,3EO1,AGPE FRIOGAN 1,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-07-24,OPERACION,86.3
181,3EO3,AGPE FRIOGAN 2,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-07-24,OPERACION,86.3
182,3EO5,AGPE CASA GABRIEL ROSALES,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-07-28,OPERACION,30.0
183,3EO7,AGPE AVICOLA LA ESPERANZA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-07-29,OPERACION,75.0
184,3EP6,AUTOG CELSIA SOLAR HARINAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,RAD SOLAR,2022-09-21,OPERACION,2450.0
185,3EPJ,AGPE DINISSAN,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-08-04,OPERACION,100.0
186,3EPL,AGPE CAMPOALEGRE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-08-04,OPERACION,45.6
187,3EPN,AGPE JAIME QUINTERO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-08-04,OPERACION,6.0
188,3ESO,AGPE EXPOFUTURO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-08-18,OPERACION,90.0
189,3EV1,LOS CABALLEROS,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2022-09-15,OPERACION,11500.0
190,3EV3,LA MEDINA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2022-09-15,OPERACION,11500.0
191,3EX9,AGPE FRIGORINUS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-09-01,OPERACION,100.0
192,3EXB,CERRITOS,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2022-09-19,OPERACION,11500.0
193,3F2N,AGPE SENA DOSQUEBRADAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-09-15,OPERACION,72.0
194,3F2P,AGPE PETROCASINOS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-09-15,OPERACION,72.0
195,3F3A,AGPE VITALBAQ,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-09-22,OPERACION,60.0
196,3F3C,AGPE INDUNILO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-09-22,OPERACION,264.0
197,3F4K,AGPE SERVIPAN,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-09-29,OPERACION,45.0
198,3F4M,AGPE GIMNASIO LA COLINA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-09-29,OPERACION,36.0
199,3F5L,AUTOG CI JEANS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,RAD SOLAR,2023-08-25,OPERACION,1392.0
200,3F5N,AUTOG PINTUCO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,RAD SOLAR,2023-08-25,OPERACION,1406.0
201,3F7M,AGPE CHAMORRO PORTILLA MISTER POLLO IPIALES,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-10-06,OPERACION,72.0
202,3F81,AGPE COLOMBO BRITANICO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-10-13,OPERACION,45.0
203,3F83,AGPE SARY SAS JAIRO P,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-10-13,OPERACION,100.0
204,3F8W,AGPE GUIRNALDAS INNOVAFLORA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-10-13,OPERACION,200.0
205,3F9S,AGPE ELECTROFACIL LORICA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-10-20,OPERACION,30.0
206,3F9U,AGPE HOSPICLEAN,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-10-20,OPERACION,90.0
207,3FC7,AGPE GRANJA SARATANO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-10-27,OPERACION,20.0
208,3FC9,AGPE SOL Y CIELO SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-10-27,OPERACION,9.95
209,3FCB,AGPE PLASTICOS CALIBRADOS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-10-27,OPERACION,105.83999999999999
210,3FCD,AUTOG CELSIA SOLAR PALMIRA 3,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,RAD SOLAR,2023-03-30,OPERACION,7400.0
211,3FCF,GRANJA SOLAR LANCEROS,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2023-01-30,OPERACION,9100.0
212,3FD6,AGPE DEPOSITO YONATAN GONZALES,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-11-01,OPERACION,25.0
213,3FD8,AGPE COOMPRORIENTE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-11-01,OPERACION,96.0
214,3FEI,AGPE CASA 43 ALFEREZ REAL III,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-11-03,OPERACION,3.6
215,3FEK,AGPE PALERMO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-11-03,OPERACION,99.0
216,3GFD,AGPE RAPIASEO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-11-17,OPERACION,18.0
217,3GFI,AGPE HERMECO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-11-17,OPERACION,30.0
218,3GFK,AGPE JAVIER HOYOS RESTREPO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-11-17,OPERACION,13.5
219,3GFM,AGPE JORGE EUSSE RESTREPO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-11-17,OPERACION,22.5
220,3GFO,AGPE DONA MANUELA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-11-17,OPERACION,99.0
221,3GFQ,AGPE FERCH2,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-11-17,OPERACION,6.75
222,3GHQ,AGPE MUGDEN,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-11-24,OPERACION,15.0
223,3GI4,AGPE HIDROMANA SEDE 1,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-11-24,OPERACION,40.0
224,3GI6,GRANJA SOLAR EL SALADO,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2023-06-17,OPERACION,100.0
225,3GI8,AGPE SECAR INGENIEROS SA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-11-24,OPERACION,3.6
226,3GJQ,TERMOTASAJERO DOS SOLAR,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2022-12-26,OPERACION,4000.0
227,3GJS,AGPE SOLUCIONES ADHESIVAS LG,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-12-01,OPERACION,100.0
228,3GJU,AUTOG INGENIO CARMELITA,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,BAGAZO,2022-12-30,OPERACION,4990.0
229,3GPX,AGPE VAQUITA MELOSA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-12-08,OPERACION,10.0
230,3GPZ,MONTELIBANO,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2022-12-21,OPERACION,9900.0
231,3GRD,GRANJA SOLAR SAN FELIPE,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2023-01-30,OPERACION,9100.0
232,3GSD,AGPE LABORATORIOS ERMA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-12-15,OPERACION,225.0
233,3GSF,AUTOG BUGA I GRASAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,RAD SOLAR,2023-04-15,OPERACION,4000.0
234,3GTQ,AGPE IMPOCALI BODEGAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-12-22,OPERACION,40.5
235,3GTS,AGPE GASCOL SA PUNTO GAS CALLE 17,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-12-22,OPERACION,48.0
236,3GTU,AGPE LA UNION ESTACION DE SERVICIO TERPEL,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-12-22,OPERACION,48.0
237,3GUT,AGPE GRUPO ALIMENTICIO ALBA DEL FONCE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-12-22,OPERACION,90.8
238,3GVE,AGPE SERVIGRAFIC,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-12-29,OPERACION,100.0
239,3GVG,AGPE IMPOCALI OFICINAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-12-29,OPERACION,40.5
240,3GVI,GRANJA SOLAR FLANDES,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2023-03-27,OPERACION,21900.0
241,3GVK,CELSIA SOLAR DULIMA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2023-03-27,OPERACION,21900.0
242,3GVM,CELSIA SOLAR YUMA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2023-03-27,OPERACION,9100.0
243,3GWG,AGPE SUAZAPAWA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-12-29,OPERACION,40.5
244,3GX5,AGPE ORGANIZACION LA MERCED,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-01-05,OPERACION,65.4
245,3GX7,AGPE CASA JAVIER MERINO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-01-05,OPERACION,3.0
246,3GZQ,AGPE ORION,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-01-19,OPERACION,90.0
247,3GZS,AGPE RINO MATERIALES,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-01-19,OPERACION,15.0
248,3GZU,AGPE GRANJA EL RHIN,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-01-19,OPERACION,40.0
249,3H2A,AGPE GRUPO DECOR,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-01-26,OPERACION,100.0
250,3H2I,AGPE BURO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-01-26,OPERACION,30.0
251,3H2W,AGPE AUTO ROBLE LTDA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-02-01,OPERACION,96.12
252,3H31,AGPE HYR DISTRIBUCIONES,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-02-02,OPERACION,100.0
253,3H5W,AGPE INVERSIONES SAN GABRIEL SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-02-16,OPERACION,22.5
254,3H5Y,AGPE SUMINTEGRALES SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-02-16,OPERACION,15.0
255,3H61,AGPE EDS EL EDEN,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-02-16,OPERACION,15.0
256,3H7S,AGPE FARMACOS DE LA COSTA LTDA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-02-23,OPERACION,27.0
257,3H9C,AGPE JUAN CARLOS VILARINO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-02-23,OPERACION,30.0
258,3H9E,AGPE INVERSIONES MIL VARIEDADES SEDE 2,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-02-23,OPERACION,24.0
259,3HBJ,AGPE COLEGIO BOLIVAR,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-03-02,OPERACION,100.0
260,3HBL,AGPE INVERSIONES SANTA FE SEDE II,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-03-02,OPERACION,15.0
261,3HBN,TIERRA LINDA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2023-04-04,OPERACION,9900.0
262,3HBP,LA TOLUA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2023-04-04,OPERACION,19900.0
263,3HBR,AGPE GATO DUMAS BOGOTA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-03-02,OPERACION,44.79999999999999
264,3HBT,AGPE HERMECO2,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-03-02,OPERACION,30.0
265,3HDE,SAN BARTOLOME,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2023-05-14,OPERACION,19900.0
266,3HDG,OIBITA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2023-05-14,OPERACION,19900.0
267,3HE4,AGPE INVERSIONES LJC SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-03-16,OPERACION,36.0
268,3HE8,AUTOG CELSIA SOLAR PALMIRA 3 ZONA FRANCA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,RAD SOLAR,2023-04-30,OPERACION,2900.0
269,3HF7,CELSIA SOLAR LA VICTORIA II,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2023-08-30,OPERACION,21900.0
270,3HF9,CELSIA SOLAR LA VICTORIA I,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2023-08-30,OPERACION,21900.0
271,3HFV,AGPE COMERCIPOL SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-03-23,OPERACION,60.0
272,3HG5,AGPE OIKOS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-03-23,OPERACION,42.51
273,3HG7,COMUNIDAD EL SALVADOR I,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,RAD SOLAR,2023-03-24,OPERACION,12.699999999999998
274,3HG9,COMUNIDAD EL SALVADOR II,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,RAD SOLAR,2023-03-24,OPERACION,3.7000000000000006
275,3HGI,AGPE CENTRO ADMINISTRATIVO FASE I,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-03-30,OPERACION,72.0
276,3HH7,AGPE NUTRIAVICOLA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-03-30,OPERACION,180.0
277,3HH9,AGPE TVAPAN 500 SA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-03-30,OPERACION,100.0
278,3HIA,AGPE SFV FLORES DE BRITANIA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-04-06,OPERACION,236.0
279,3HKK,AGPE LA FABRICA DE LA FELICIDAD,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-04-20,OPERACION,90.0
280,3HL2,AGPE CC EL DIAMANTE CLL 52 107,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-04-20,OPERACION,72.0
281,3HL9,AGPE ARA BARRANQUILLA CHIQUINQUIRA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-04-27,OPERACION,60.0
282,3HLB,AGPE ARA SOLEDAD MANUELA BELTRAN,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-04-27,OPERACION,60.0
283,3HLD,LOS GIRASOLES,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2023-08-05,OPERACION,9500.0
284,3HQW,AGPE SOCIEDAD DE ONCOLOGIA Y HEMATOLOGIA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-05-11,OPERACION,45.0
285,3HQY,AGPE GEORGES NOBLE SCHOOL SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-05-15,OPERACION,37.8
286,3HR1,AGPE RESTAURANTE GUACARI,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-05-15,OPERACION,13.5
287,3HRC,AGPE CENTRO COMERCIAL PUNTO CLAVE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-05-18,OPERACION,216.0
288,3HRU,AGPE EDIFICIO CITY,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-05-18,OPERACION,50.0
289,3HS5,AGPE TAPUSH,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-05-25,OPERACION,100.0
290,3HS7,AGPE LAVANDERIA SUPER,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-05-25,OPERACION,80.0
291,3HS9,AUTOG BUGA I SOLLA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,RAD SOLAR,2023-06-16,OPERACION,6400.0
292,3HTH,AGPE MERCADEO Y MODA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-06-01,OPERACION,100.0
293,3HTJ,AGPE DIOCESIS JARDINES DEL ECCE HOMO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-06-01,OPERACION,15.0
294,3HTL,AGPE LACTEOS RIOGRANDE SEDE PLATO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-06-01,OPERACION,72.0
295,3HTN,AGPE FOTOLITO CENTRO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-06-01,OPERACION,55.080000000000005
296,3HWK,AGPE EL ENCANTO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-06-08,OPERACION,986.0
297,3HWM,PETALO DEL MAGDALENA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2023-08-05,OPERACION,9900.0
298,3HYG,URUACO,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2023-06-18,OPERACION,996.0
299,3I3I,AGPE CORPORACION EMPRESARIAL CARRERA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-07-06,OPERACION,216.0
300,3I3K,AGPE DELIPAVO TENJO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-07-06,OPERACION,49.0
301,3I3M,AGPE COLEGIO LA MEDALLA MILAGROSA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-07-06,OPERACION,66.0
302,3I3O,AGPE EDIFICIO DUBO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-07-06,OPERACION,50.0
303,3I3Q,AGPE SURTITODO PALMIRA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-07-06,OPERACION,60.0
304,3I4A,AGPE ARMENIA HOTEL SA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-07-06,OPERACION,60.0
305,3I4C,AGPE ICOLTRANS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-07-06,OPERACION,180.0
306,3I6L,AGPE COMERCIALIZADORA BZUL SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-07-13,OPERACION,15.0
307,3I6N,AGPE MGL INVERSIONES SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-07-13,OPERACION,10.0
308,3I6P,AGPE CONSTRUCTORA LINDARAJA SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-07-13,OPERACION,10.0
309,3I6R,AGPE CFZ MEDICINA ESTETICA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-07-13,OPERACION,10.0
310,3I6V,AGPE EL CARRIEL FUNZA 2,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-07-13,OPERACION,17.0
311,3I6X,AGPE NELSON SEGUNDO GNECCO CERCHIARO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-07-13,OPERACION,10.0
312,3I71,AGPE COOTRASUR FLORIDABLANCA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-07-13,OPERACION,40.0
313,3I73,AGPE BOLTEN BARRANQUILLA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-07-13,OPERACION,192.0
314,3ICX,AGPE MGL INVERSIONES SAS II,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2023-07-27,OPERACION,10.0
