,Values_Code,Values_Name,Values_Type,Values_Disp,Values_RecType,Values_EnerSource,Values_OperStartdate,Values_State,Value
41,2VJS,CELSIA SOLAR BOLIVAR,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2019-02-03,OPERACION,8060.0
42,2WC5,MULATOS II,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2019-08-26,OPERACION,7340.0
43,2WFN,TERMOCAPACHOS,TERMICA,NO DESPACHADO CENTRALMENTE,NORMAL,GAS,2019-08-04,OPERACION,9900.0
44,2XXR,AGPE - ECOPETROL LA HORMIGA,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GAS,2019-09-16,OPERACION,1000.0
45,2YIR,PCH LA LIBERTAD,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2020-03-14,OPERACION,1200.0
46,2YMA,AGPE NAFERTEX,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2019-11-27,OPERACION,19.8
47,2YNA,HIDROBARRANCAS,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2020-11-26,OPERACION,4700.0
48,2YQM,AGPE TECNOEMPAQUES DE OCCIDENTE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2019-12-19,OPERACION,96.0
49,2YWY,AUTOG TURGAS,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,GAS,2020-02-08,OPERACION,3500.0
50,2Z66,AGPE SFV MCDONALDS SOLEDAD,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-02-27,OPERACION,89.0
51,2ZCF,SAN ANDRES DE CUERQUIA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2020-06-11,OPERACION,19900.0
52,2ZHY,CELSIA SOLAR ESPINAL,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2020-05-31,OPERACION,9900.0
53,2ZJT,AGPE HOTEL HACIENDA CASONA DEL SALITRE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-05-21,OPERACION,14.5
54,2ZM3,AGPE DIEGO MONTESDEOCA ASSEFF,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-06-11,OPERACION,2.5
55,2ZMH,AGPE DEVIMED MARINILLA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-06-18,OPERACION,30.0
56,2ZMJ,AGPE DEVIMED ENVIGADO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-06-18,OPERACION,20.0
57,2ZML,AGPE DEVIMED BELLO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-06-18,OPERACION,10.0
58,2ZP9,TRINA-VATIA BSLI,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2020-09-10,OPERACION,19900.0
59,2ZS3,AGPE HERNAN DARIO EUSSE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-07-30,OPERACION,6.599999999999999
60,2ZXL,AGPE JUAN CARLOS CALDERON GARCIA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-08-20,OPERACION,7.0
61,2ZXN,AGPE DEVIMED COPACABANACASETA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-08-27,OPERACION,30.0
62,3A44,PLANTA SOLAR BAYUNCA I,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2020-09-30,OPERACION,3000.0
63,3A45,AGPE  BOSQUES RIVERA II,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-09-24,OPERACION,15.0
64,3A47,AGPE EDIFICIO CHICO 103-PH,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-09-24,OPERACION,9.0
65,3A4R,AGPE CALZATODO ACOPI YUMBO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-10-01,OPERACION,50.0
66,3A7F,AGPE LICEO NUEVA GENERACIÓN,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-10-15,OPERACION,18.2
67,3AB6,AGPE MADOCO SIGLO XXI,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-10-29,OPERACION,17.0
68,3AB8,AGPE VENTANAR I,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-10-29,OPERACION,190.0
69,3ACC,CELSIA SOLAR CARMELO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,RAD SOLAR,2020-12-27,OPERACION,9900.0
70,3ADA,AUTOG PTAR BELLO,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,BIOGAS,2020-11-30,OPERACION,5000.0
71,3AFQ,POCUNE,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2020-12-01,OPERACION,1000.0
